"Delivery Date","Hour Ending","Repeated Hour Flag","Settlement Point","Settlement Point Price"
"01/01/2013","01:00","N","HB_BUSAVG","23.11"
"01/01/2013","01:00","N","HB_HOUSTON","23.09"
"01/01/2013","01:00","N","HB_HUBAVG","23.10"
"01/01/2013","01:00","N","HB_NORTH","23.12"
"01/01/2013","01:00","N","HB_SOUTH","23.09"
"01/01/2013","01:00","N","HB_WEST","23.12"
"01/01/2013","01:00","N","LZ_AEN","23.09"
"01/01/2013","01:00","N","LZ_CPS","23.10"
"01/01/2013","01:00","N","LZ_HOUSTON","23.09"
"01/01/2013","01:00","N","LZ_LCRA","23.10"
"01/01/2013","01:00","N","LZ_NORTH","23.12"
"01/01/2013","01:00","N","LZ_RAYBN","23.12"
"01/01/2013","01:00","N","LZ_SOUTH","23.09"
"01/01/2013","01:00","N","LZ_WEST","23.31"
"01/01/2013","02:00","N","HB_BUSAVG","21.14"
"01/01/2013","02:00","N","HB_HOUSTON","21.11"
"01/01/2013","02:00","N","HB_HUBAVG","21.13"
"01/01/2013","02:00","N","HB_NORTH","21.16"
"01/01/2013","02:00","N","HB_SOUTH","21.11"
"01/01/2013","02:00","N","HB_WEST","21.16"
"01/01/2013","02:00","N","LZ_AEN","21.12"
"01/01/2013","02:00","N","LZ_CPS","21.12"
"01/01/2013","02:00","N","LZ_HOUSTON","21.11"
"01/01/2013","02:00","N","LZ_LCRA","21.12"
"01/01/2013","02:00","N","LZ_NORTH","21.16"
"01/01/2013","02:00","N","LZ_RAYBN","21.17"
"01/01/2013","02:00","N","LZ_SOUTH","21.11"
"01/01/2013","02:00","N","LZ_WEST","21.42"
"01/01/2013","03:00","N","HB_BUSAVG","19.83"
"01/01/2013","03:00","N","HB_HOUSTON","19.81"
"01/01/2013","03:00","N","HB_HUBAVG","19.82"
"01/01/2013","03:00","N","HB_NORTH","19.83"
"01/01/2013","03:00","N","HB_SOUTH","19.81"
"01/01/2013","03:00","N","HB_WEST","19.83"
"01/01/2013","03:00","N","LZ_AEN","19.82"
"01/01/2013","03:00","N","LZ_CPS","19.82"
"01/01/2013","03:00","N","LZ_HOUSTON","19.82"
"01/01/2013","03:00","N","LZ_LCRA","19.82"
"01/01/2013","03:00","N","LZ_NORTH","19.84"
"01/01/2013","03:00","N","LZ_RAYBN","19.84"
"01/01/2013","03:00","N","LZ_SOUTH","19.81"
"01/01/2013","03:00","N","LZ_WEST","20.05"
"01/01/2013","04:00","N","HB_BUSAVG","19.93"
"01/01/2013","04:00","N","HB_HOUSTON","19.90"
"01/01/2013","04:00","N","HB_HUBAVG","19.92"
"01/01/2013","04:00","N","HB_NORTH","19.95"
"01/01/2013","04:00","N","HB_SOUTH","19.90"
"01/01/2013","04:00","N","HB_WEST","19.95"
"01/01/2013","04:00","N","LZ_AEN","19.91"
"01/01/2013","04:00","N","LZ_CPS","19.91"
"01/01/2013","04:00","N","LZ_HOUSTON","19.90"
"01/01/2013","04:00","N","LZ_LCRA","19.91"
"01/01/2013","04:00","N","LZ_NORTH","19.95"
"01/01/2013","04:00","N","LZ_RAYBN","19.96"
"01/01/2013","04:00","N","LZ_SOUTH","19.90"
"01/01/2013","04:00","N","LZ_WEST","20.16"
"01/01/2013","05:00","N","HB_BUSAVG","20.10"
"01/01/2013","05:00","N","HB_HOUSTON","20.07"
"01/01/2013","05:00","N","HB_HUBAVG","20.10"
"01/01/2013","05:00","N","HB_NORTH","20.12"
"01/01/2013","05:00","N","HB_SOUTH","20.08"
"01/01/2013","05:00","N","HB_WEST","20.12"
"01/01/2013","05:00","N","LZ_AEN","20.08"
"01/01/2013","05:00","N","LZ_CPS","20.08"
"01/01/2013","05:00","N","LZ_HOUSTON","20.07"
"01/01/2013","05:00","N","LZ_LCRA","20.08"
"01/01/2013","05:00","N","LZ_NORTH","20.13"
"01/01/2013","05:00","N","LZ_RAYBN","20.13"
"01/01/2013","05:00","N","LZ_SOUTH","20.07"
"01/01/2013","05:00","N","LZ_WEST","20.33"
"01/01/2013","06:00","N","HB_BUSAVG","22.01"
"01/01/2013","06:00","N","HB_HOUSTON","21.97"
"01/01/2013","06:00","N","HB_HUBAVG","21.99"
"01/01/2013","06:00","N","HB_NORTH","22.02"
"01/01/2013","06:00","N","HB_SOUTH","21.98"
"01/01/2013","06:00","N","HB_WEST","22.01"
"01/01/2013","06:00","N","LZ_AEN","21.98"
"01/01/2013","06:00","N","LZ_CPS","21.98"
"01/01/2013","06:00","N","LZ_HOUSTON","21.97"
"01/01/2013","06:00","N","LZ_LCRA","21.98"
"01/01/2013","06:00","N","LZ_NORTH","22.03"
"01/01/2013","06:00","N","LZ_RAYBN","22.03"
"01/01/2013","06:00","N","LZ_SOUTH","21.97"
"01/01/2013","06:00","N","LZ_WEST","22.47"
"01/01/2013","07:00","N","HB_BUSAVG","20.41"
"01/01/2013","07:00","N","HB_HOUSTON","20.40"
"01/01/2013","07:00","N","HB_HUBAVG","20.40"
"01/01/2013","07:00","N","HB_NORTH","20.41"
"01/01/2013","07:00","N","HB_SOUTH","20.39"
"01/01/2013","07:00","N","HB_WEST","20.39"
"01/01/2013","07:00","N","LZ_AEN","20.39"
"01/01/2013","07:00","N","LZ_CPS","20.40"
"01/01/2013","07:00","N","LZ_HOUSTON","20.40"
"01/01/2013","07:00","N","LZ_LCRA","20.40"
"01/01/2013","07:00","N","LZ_NORTH","20.42"
"01/01/2013","07:00","N","LZ_RAYBN","20.42"
"01/01/2013","07:00","N","LZ_SOUTH","20.40"
"01/01/2013","07:00","N","LZ_WEST","21.06"
"01/01/2013","08:00","N","HB_BUSAVG","21.47"
"01/01/2013","08:00","N","HB_HOUSTON","21.47"
"01/01/2013","08:00","N","HB_HUBAVG","21.47"
"01/01/2013","08:00","N","HB_NORTH","21.48"
"01/01/2013","08:00","N","HB_SOUTH","21.46"
"01/01/2013","08:00","N","HB_WEST","21.46"
"01/01/2013","08:00","N","LZ_AEN","21.47"
"01/01/2013","08:00","N","LZ_CPS","21.47"
"01/01/2013","08:00","N","LZ_HOUSTON","21.47"
"01/01/2013","08:00","N","LZ_LCRA","21.47"
"01/01/2013","08:00","N","LZ_NORTH","21.48"
"01/01/2013","08:00","N","LZ_RAYBN","21.48"
"01/01/2013","08:00","N","LZ_SOUTH","21.46"
"01/01/2013","08:00","N","LZ_WEST","22.14"
"01/01/2013","09:00","N","HB_BUSAVG","23.26"
"01/01/2013","09:00","N","HB_HOUSTON","23.26"
"01/01/2013","09:00","N","HB_HUBAVG","23.26"
"01/01/2013","09:00","N","HB_NORTH","23.27"
"01/01/2013","09:00","N","HB_SOUTH","23.25"
"01/01/2013","09:00","N","HB_WEST","23.24"
"01/01/2013","09:00","N","LZ_AEN","23.26"
"01/01/2013","09:00","N","LZ_CPS","23.26"
"01/01/2013","09:00","N","LZ_HOUSTON","23.26"
"01/01/2013","09:00","N","LZ_LCRA","23.26"
"01/01/2013","09:00","N","LZ_NORTH","23.27"
"01/01/2013","09:00","N","LZ_RAYBN","23.27"
"01/01/2013","09:00","N","LZ_SOUTH","23.25"
"01/01/2013","09:00","N","LZ_WEST","24.09"
"01/01/2013","10:00","N","HB_BUSAVG","24.56"
"01/01/2013","10:00","N","HB_HOUSTON","24.55"
"01/01/2013","10:00","N","HB_HUBAVG","24.55"
"01/01/2013","10:00","N","HB_NORTH","24.56"
"01/01/2013","10:00","N","HB_SOUTH","24.55"
"01/01/2013","10:00","N","HB_WEST","24.53"
