"Delivery Date","Hour Ending","Repeated Hour Flag","Settlement Point","Settlement Point Price"
"01/01/2018","01:00","N","HB_BUSAVG","27.18"
"01/01/2018","01:00","N","HB_HOUSTON","26.85"
"01/01/2018","01:00","N","HB_HUBAVG","27.18"
"01/01/2018","01:00","N","HB_NORTH","27.23"
"01/01/2018","01:00","N","HB_SOUTH","27.14"
"01/01/2018","01:00","N","HB_WEST","27.51"
"01/01/2018","01:00","N","LZ_AEN","27.15"
"01/01/2018","01:00","N","LZ_CPS","27.46"
"01/01/2018","01:00","N","LZ_HOUSTON","26.84"
"01/01/2018","01:00","N","LZ_LCRA","27.17"
"01/01/2018","01:00","N","LZ_NORTH","27.22"
"01/01/2018","01:00","N","LZ_RAYBN","27.23"
"01/01/2018","01:00","N","LZ_SOUTH","29.16"
"01/01/2018","01:00","N","LZ_WEST","29.47"
"01/01/2018","02:00","N","HB_BUSAVG","25.52"
"01/01/2018","02:00","N","HB_HOUSTON","25.11"
"01/01/2018","02:00","N","HB_HUBAVG","25.52"
"01/01/2018","02:00","N","HB_NORTH","25.55"
"01/01/2018","02:00","N","HB_SOUTH","25.56"
"01/01/2018","02:00","N","HB_WEST","25.85"
"01/01/2018","02:00","N","LZ_AEN","25.51"
"01/01/2018","02:00","N","LZ_CPS","25.86"
"01/01/2018","02:00","N","LZ_HOUSTON","25.10"
"01/01/2018","02:00","N","LZ_LCRA","25.53"
"01/01/2018","02:00","N","LZ_NORTH","25.55"
"01/01/2018","02:00","N","LZ_RAYBN","25.55"
"01/01/2018","02:00","N","LZ_SOUTH","28.30"
"01/01/2018","02:00","N","LZ_WEST","27.78"
"01/01/2018","03:00","N","HB_BUSAVG","25.76"
"01/01/2018","03:00","N","HB_HOUSTON","24.98"
"01/01/2018","03:00","N","HB_HUBAVG","25.75"
"01/01/2018","03:00","N","HB_NORTH","25.72"
"01/01/2018","03:00","N","HB_SOUTH","26.23"
"01/01/2018","03:00","N","HB_WEST","26.07"
"01/01/2018","03:00","N","LZ_AEN","25.80"
"01/01/2018","03:00","N","LZ_CPS","26.49"
"01/01/2018","03:00","N","LZ_HOUSTON","24.96"
"01/01/2018","03:00","N","LZ_LCRA","25.86"
"01/01/2018","03:00","N","LZ_NORTH","25.71"
"01/01/2018","03:00","N","LZ_RAYBN","25.72"
"01/01/2018","03:00","N","LZ_SOUTH","31.79"
"01/01/2018","03:00","N","LZ_WEST","27.97"
"01/01/2018","04:00","N","HB_BUSAVG","26.77"
"01/01/2018","04:00","N","HB_HOUSTON","26.07"
