day,hour,% difference
6,19,0.04435388
6,20,0.38184153
6,20,0.06416276
6,21,0.42703978
6,21,0.05171971
6,22,0.42614865
6,22,0.10696734
6,23,0.35160793
6,23,0.08325347
7,0,0.33386453
7,0,0.06764776
7,1,0.30685583
7,1,0.13559043
7,2,0.26935461
7,2,0.08163367
7,3,0.30118835
7,3,0.01456671
7,4,0.33170516
7,4,0.02869798
7,5,0.3265864
7,5,0.03095938
7,6,0.05288783
7,6,0.02405733
7,7,0.17915137
7,7,0.0858715
7,8,0.1121775
7,8,0.01300924
7,9,0.14359191
7,9,0.02062526
7,10,0.21412677
7,10,0.02436565
7,11,0.19559743
7,11,0.01045175
7,12,0.19699986
7,12,0.04173084
7,13,0.16011598
7,13,0.03443774
7,14,0.18388151
7,14,0.00827582
7,15,0.09944819
7,15,0.00905671
7,16,0.10087815
7,16,0.02693356
7,17,0.13916551
7,17,0.04816929
7,18,0.18458412
7,18,0.05718384
7,19,0.19825822
7,19,0.03240524
7,20,0.12040516
7,20,0.03108087
7,21,0.22942239
7,21,0.0450669
7,22,0.16161858
7,22,0.07446827
7,23,0.20575358
7,23,0.04600379
8,0,0.22118659
8,0,0.00340128
8,1,0.20708434
8,1,0.04480045
8,2,0.27734909
8,2,0.04628382
8,3,0.27976446
8,3,0.09547099
8,4,0.36241896
8,4,0.05635702
8,5,0.27327507
8,5,0.09400387
8,6,0.08699438
8,6,0.01149168
8,7,0.2566098
8,7,0.02655854
8,8,0.23598473
8,8,0.02845045
8,9,0.05598053
8,9,0.05091719
8,10,0.09291588
8,10,0.0796439
8,11,0.02373873
8,11,0.14323634
8,12,0.05073066
8,12,0.12634815
8,13,0.0510436
8,13,0.08974488
8,14,0.02557028
8,14,0.0344335
8,15,0.00811032
8,15,0.03821305
8,16,0.01380142
8,16,0.02658314
8,17,0.03518966
8,17,0.02174752
8,18,0.04862624
8,18,0.00603325
8,19,0.06661901
8,19,0.0435037
8,20,0.0458087
8,20,0.0459714
8,21,0.06759462
8,21,0.04117359
8,22,0.06045675
8,22,0.09836031
8,23,0.03822206
8,23,0.07958274
9,0,0.01684173
9,0,0.19604395
9,1,0.00847973
9,1,0.16181523
9,2,0.03068218
9,2,0.16616294
9,3,0.03855523
9,3,0.23013183
9,4,0.0800242
9,4,0.18954444
9,5,0.09645161
9,5,0.23552981
9,6,0.24491714
9,6,0.07292911
9,7,0.18184747
9,7,0.06360208
9,8,0.25985046
9,8,0.07123189
9,9,0.16130112
9,9,0.0107151
9,10,0.16629728
9,10,0.03785056
9,11,0.17506166
9,11,0.06349297
9,12,0.17746517
9,12,0.07759268
9,13,0.19143454
9,13,0.06049431
9,14,0.10817114
9,14,0.08336003
9,15,0.1839823
9,15,0.09436212
9,16,0.15611845
9,16,0.14155597
9,17,0.21116002
9,17,0.16459486
9,18,0.20640298
9,18,0.15281187
9,19,0.2185301
9,19,0.20408616
9,20,0.14800911
9,20,0.15219385
9,21,0.17096531
9,21,0.18826254
9,22,0.1356232
9,22,0.13636214
