day,hour,% difference
6,19,0.00089466
6,20,0.07500041
6,20,0.03196698
6,21,0.08147468
6,21,0.01629626
6,22,0.06335255
6,22,0.00621129
6,23,0.04935183
6,23,0.01507823
7,0,0.05371983
7,0,0.00688102
7,1,0.038452
7,1,0.0111435
7,2,0.02401218
7,2,0.0001814
7,3,0.03946939
7,3,0.00383636
7,4,0.02608746
7,4,0.01649426
7,5,0.00041497
7,5,0.03897644
7,6,0.03758105
7,6,0.00236888
7,7,0.03705584
7,7,0.02185594
7,8,0.01842436
7,8,0.02475906
7,9,0.02214556
7,9,0.02527074
7,10,0.01020544
7,10,0.02085166
7,11,0.00358083
7,11,0.00917181
7,12,0.02306528
7,12,0.00243881
7,13,0.02140552
7,13,0.00756955
7,14,0.01213565
7,14,0.01705591
7,15,0.00439458
7,15,0.03111787
7,16,0.02696332
7,16,0.04401508
7,17,0.02997646
7,17,0.05138639
7,18,0.01142736
7,18,0.05314939
7,19,0.03511492
7,19,0.00949295
7,20,0.0440118
7,20,0.04702668
7,21,0.02010045
7,21,0.00478998
7,22,0.00676642
7,22,0.01228621
7,23,0.01576023
7,23,0.02010046
8,0,0.01243142
8,0,0.04841227
8,1,0.02123693
8,1,0.03994294
8,2,0.01508655
8,2,0.01921614
8,3,0.01040272
8,3,0.00316701
8,4,0.05882651
8,4,0.05171601
8,5,0.08431149
8,5,0.08237304
8,6,0.09059656
8,6,0.05408654
8,7,0.07796445
8,7,0.0464491
8,8,0.09791431
8,8,0.03911414
8,9,0.10184056
8,9,0.04512891
8,10,0.10678805
8,10,0.03878547
8,11,0.12008342
8,11,0.03872526
8,12,0.10179339
8,12,0.04384665
8,13,0.10937295
8,13,0.06795825
8,14,0.09571593
8,14,0.07642405
8,15,0.0941592
8,15,0.08303905
8,16,0.10450906
8,16,0.08441824
8,17,0.07600294
8,17,0.06911674
8,18,0.05612539
8,18,0.04976188
8,19,0.05839604
8,19,0.05793031
8,20,0.05027692
8,20,0.0256171
8,21,0.0413488
8,21,0.03849646
8,22,0.04259997
8,22,0.05083431
8,23,0.03626314
8,23,0.04393908
9,0,0.05813016
9,0,0.04872534
9,1,0.07420441
9,1,0.05474581
9,2,0.06465097
9,2,0.05603594
9,3,0.03850627
9,3,0.01929996
9,4,0.0460851
9,4,0.01543406
9,5,0.04814775
9,5,0.01036748
9,6,0.00817982
9,6,0.06401906
9,7,0.01238428
9,7,0.05339241
9,8,0.03042372
9,8,0.03834467
9,9,0.02442405
9,9,0.03387341
9,10,0.02663998
9,10,0.03857864
9,11,0.02072543
9,11,0.04009478
9,12,0.02294029
9,12,0.0374306
9,13,0.01912992
9,13,0.04016299
9,14,0.04454575
9,14,0.02078666
9,15,0.05831536
9,15,0.00445447
9,16,0.06643196
9,16,0.00148237
9,17,0.05077262
9,17,0.0107892
9,18,0.0255038
9,18,0.03119088
9,19,0.03047858
9,19,0.01616834
9,20,0.02298564
9,20,0.03416721
9,21,0.02210299
9,21,0.02489689
9,22,0.01161601
9,22,0.01966762
9,23,0.01244808
9,23,0.02326146
10,0,0.03121091
10,0,0.01141665
10,1,0.02684067
10,1,0.0145309
10,2,0.01679606
10,2,0.01889319
10,3,0.0327127
10,3,0.01661244
10,4,0.0361352
10,4,0.01761768
10,5,0.05086235
10,5,0.00285737
10,6,0.02397088
10,6,0.01166672
10,7,0.02443767
10,7,0.00474582
10,8,0.05190264
10,8,0.00211061
10,9,0.02667004
10,9,0.00394774
10,10,0.02131729
10,10,0.0182606
10,11,0.01436097
10,11,0.01951472
10,12,0.00747531
10,12,0.00386993
10,13,0.00080077
10,13,0.00515493
10,14,0.01892197
10,14,0.00029942
10,15,0.03298814
10,15,0.01568051
10,16,0.04295246
10,16,0.01297246
10,17,0.02456552
10,17,0.00400237
10,18,0.00917078
10,18,0.01228629
10,19,0.02194959
10,19,0.01014259
10,20,0.00151983
10,20,0.06110467
10,21,0.03729721
10,21,0.10668253
10,22,0.10691958
10,22,0.15852735
10,23,0.09635564
10,23,0.13627104
11,0,0.0584262
11,0,0.11385596
11,1,0.02282795
11,1,0.10572371
11,2,0.0043103
11,2,0.07234242
11,3,0.01278998
11,3,0.06430349
11,4,0.02660246
11,4,0.05097354
11,5,0.04607727
11,5,0.03353346
11,6,0.02463417
11,6,0.01159116
11,7,0.01025024
11,7,0.00675139
11,8,0.00199379
11,8,0.01814285
11,9,0.04626736
11,9,0.0573182
11,10,0.0706391
11,10,0.0806677
11,11,0.07659461
11,11,0.08770416
11,12,0.06340913
11,12,0.04883602
11,13,0.05091678
11,13,0.03766613
11,14,0.02877758
11,14,0.04390192
11,15,0.00132095
11,15,0.01565673
11,16,0.01826746
11,16,0.00454785
11,17,0.02699326
11,17,0.01182272
11,18,0.01198195
11,18,0.00976629
11,19,0.00150553
11,19,0.01454643
11,20,0.01476243
11,20,0.00420386
11,21,0.01826816
11,21,0.00441798
11,22,0.00852641
11,22,0.0229981
11,23,0.03004931
11,23,0.01605165
12,0,0.06437327
12,0,0.04296023
12,1,0.08339008
12,1,0.04786944
12,2,0.08001738
12,2,0.05590964
12,3,0.09576775
12,3,0.05424554
12,4,0.10484908
12,4,0.06085021
12,5,0.12771921
12,5,0.07458568
12,6,0.08522873
12,6,0.05562377
12,7,0.09066209
12,7,0.04698785
12,8,0.09715661
12,8,0.05734407
12,9,0.10256273
12,9,0.06370197
12,10,0.09159878
12,10,0.04213866
12,11,0.09172091
12,11,0.04502069
12,12,0.0869087
12,12,0.04359407
12,13,0.08606093
12,13,0.05527101
12,14,0.07082321
12,14,0.05121756
12,15,0.06421476
12,15,0.05225199
12,16,0.06193937
12,16,0.05479261
12,17,0.0444902
12,17,0.04531457
12,18,0.01757727
12,18,0.01849105
12,19,0.01974451
12,19,0.00778257
12,20,0.02183782
12,20,0.00168513
12,21,0.0275186
12,21,0.02145131
12,22,0.05201959
12,22,0.04061275
12,23,0.03888868
12,23,0.05201375
13,0,0.02022016
13,0,0.05572098
13,1,0.01315341
13,1,0.03675952
13,2,0.03292914
13,2,0.0030286
13,3,0.04959242
13,3,0.00397661
13,4,0.07429595
13,4,0.02234081
13,5,0.09571891
13,5,0.03496138
13,6,0.02968155
13,6,0.02346907
13,7,0.03177139
13,7,0.01219389
13,8,0.0255141
13,8,0.02484533
13,9,0.03573313
13,9,0.01108139
13,10,0.02455216
13,10,0.00700931
13,11,0.03626144
13,11,0.00916908
13,12,0.04588152
13,12,0.00861699
13,13,0.05564088
13,13,0.00091393
13,14,0.05164364
13,14,0.00249
13,15,0.04920562
13,15,0.0037064
13,16,0.0515781
13,16,0.01176765
13,17,0.04169187
13,17,0.0173501
13,18,0.02216044
13,18,0.01816932
13,19,0.00929918
13,19,0.00098824
13,20,0.02907342
13,20,0.00767993
13,21,0.04654609
13,21,0.01970686
13,22,0.05841118
13,22,0.03147649
13,23,0.03234071
13,23,0.02250959
14,0,0.01371031
14,0,0.01148011
14,1,0.03098734
14,1,0.00901898
14,2,0.02841788
14,2,0.00689945
14,3,0.02510832
14,3,0.0045148
14,4,0.04765545
14,4,0.01406078
14,5,0.07175701
14,5,0.03208573
14,6,0.02975563
14,6,0.01238523
14,7,0.04411416
14,7,0.012719
14,8,0.04277528
14,8,0.00704197
14,9,0.05524854
14,9,0.02759331
14,10,0.06512363
14,10,0.01408422
14,11,0.074682
14,11,0.02179981
14,12,0.08754791
14,12,0.03251713
14,13,0.06866724
14,13,0.02507966
14,14,0.03335752
14,14,0.00242809
14,15,0.02059215
14,15,0.0047414
14,16,0.03785137
14,16,0.01441135
14,17,0.02554434
14,17,0.00099845
14,18,0.02127407
14,18,0.002319
14,19,0.01849411
14,19,0.00909206
14,20,0.03115793
14,20,0.02759045
14,21,0.02161554
14,21,0.01924453
14,22,0.00687382
14,22,0.00923381
14,23,0.00150688
14,23,0.01277141
15,0,0.0037751
15,0,0.00680001
15,1,0.01678397
15,1,0.02328055
15,2,0.01811867
15,2,0.0215227
15,3,0.04641193
15,3,0.00835245
15,4,0.05803986
15,4,0.00231935
15,5,0.06992257
15,5,0.02575492
15,6,0.00965688
15,6,0.00653039
15,7,0.01288669
15,7,0.00189393
15,8,0.0045539
15,8,0.00624498
15,9,0.01173466
15,9,0.01064216
15,10,0.00036495
15,10,0.03382875
15,11,0.01159782
15,11,0.03934923
15,12,0.00916905
15,12,0.02476231
15,13,0.02161899
15,13,0.00745345
15,14,0.04679718
15,14,0.00262754
15,15,0.05394641
15,15,0.02714798
15,16,0.06560302
15,16,0.04662007
15,17,0.03143289
15,17,0.01028161
15,18,0.04404421
15,18,0.05242747
15,19,0.04951289
15,19,0.05661581
15,20,0.01210625
15,20,0.00310538
15,21,0.04521633
15,21,0.04944611
15,22,0.06007575
15,22,0.04539711
15,23,0.07287608
15,23,0.0433161
16,0,0.09523793
16,0,0.06875856
16,1,0.1277097
16,1,0.06583091
16,2,0.13523111
16,2,0.07808511
16,3,0.13345324
16,3,0.0803171
16,4,0.13544022
16,4,0.07513971
16,5,0.15653922
16,5,0.10718584
16,6,0.10221045
16,6,0.09264044
16,7,0.10327297
16,7,0.09497754
16,8,0.10986794
16,8,0.08850724
16,9,0.10998246
16,9,0.07552464
16,10,0.09847189
16,10,0.06638019
16,11,0.09805558
16,11,0.07967825
16,12,0.12663743
16,12,0.08320162
16,13,0.12168029
16,13,0.0833581
16,14,0.13324097
16,14,0.07726555
16,15,0.13187503
16,15,0.06285698
16,16,0.15285836
16,16,0.06853725
16,17,0.13994192
16,17,0.06365639
16,18,0.12267395
16,18,0.04789639
16,19,0.11350326
16,19,0.03666103
16,20,0.10628007
16,20,0.0578676
16,21,0.09730092
16,21,0.06332955
16,22,0.08737184
16,22,0.02201099
16,23,0.06217225
16,23,0.002097
17,0,0.04530984
17,0,0.03020152
17,1,0.04556202
17,1,0.07053937
17,2,0.04168837
17,2,0.09972025
17,3,0.04517809
17,3,0.12436495
17,4,0.03831151
17,4,0.15121825
17,5,0.0573599
17,5,0.13470923
17,6,0.12260413
17,6,0.09801398
17,7,0.13916619
17,7,0.13049079
17,8,0.11657873
17,8,0.10577434
17,9,0.12428712
17,9,0.11382086
17,10,0.10931665
17,10,0.15712158
17,11,0.09809561
17,11,0.16900302
17,12,0.0778398
17,12,0.1812524
17,13,0.08850944
17,13,0.19259399
17,14,0.06933294
17,14,0.15075237
17,15,0.0483686
17,15,0.11137291
17,16,0.03110743
17,16,0.07168194
17,17,0.03980313
17,17,0.09029428
17,18,0.03617562
17,18,0.10323772
17,19,0.02628023
17,19,0.10030816
17,20,0.03602423
17,20,0.03729442
17,21,0.02275824
17,21,0.01367002
17,22,0.01138237
17,22,0.08238565
17,23,0.01187002
17,23,0.06294868
18,0,0.05739391
18,0,0.14123939
18,1,0.07892401
18,1,0.17358511
18,2,0.10482939
18,2,0.17277293
18,3,0.10523125
18,3,0.18952838
18,4,0.1148797
18,4,0.2167607
18,5,0.08251629
18,5,0.20459619
18,6,0.22166991
18,6,0.02505551
18,7,0.17301948
18,7,0.02788336
18,8,0.23142797
18,8,0.04441673
18,9,0.23010273
18,9,0.05815431
18,10,0.20073377
18,10,0.08530147
18,11,0.13245053
18,11,0.08254652
18,12,0.08814066
18,12,0.05266218
18,13,0.08971116
18,13,0.04422645
18,14,0.08000613
18,14,0.0510119
18,15,0.07916679
18,15,0.03933784
18,16,0.06737031
18,16,0.01659296
18,17,0.04433943
18,17,0.02534265
18,18,0.07821651
18,18,0.03896086
18,19,0.045341
18,19,0.03478906
18,20,0.06715719
18,20,0.01138435
18,21,0.073417
18,21,0.0019102
18,22,0.09320955
18,22,0.05628673
18,23,0.12865388
18,23,0.03919037
19,0,0.13830176
19,0,0.0432583
19,1,0.13238574
19,1,0.02691519
19,2,0.11250265
19,2,0.01707822
19,3,0.12029481
19,3,0.03881576
19,4,0.13740548
19,4,0.05477232
19,5,0.00230724
19,5,0.04320452
19,6,0.06684564
19,6,0.01721894
19,7,0.04526748
19,7,0.01168586
19,8,0.09610513
19,8,0.0268727
19,9,0.07962088
19,9,0.01924211
19,10,0.10554338
19,10,0.00783219
19,11,0.04901356
19,11,0.00460172
19,12,0.03785316
19,12,0.01145336
19,13,0.02977557
19,13,0.01437537
19,14,0.04388935
19,14,0.01610809
19,15,0.05390382
19,15,0.01360228
19,16,0.05342603
19,16,0.01755561
19,17,0.06094209
19,17,0.04409847
19,18,0.08561275
19,18,0.03874624
19,19,0.06087076
19,19,0.04308278
19,20,0.094925
19,20,0.04135814
19,21,0.10751698
19,21,0.10287277
19,22,0.16706128
19,22,0.12044046
19,23,0.19982155
19,23,0.09353874
20,0,0.17830897
20,0,0.07095459
20,1,0.17634072
20,1,0.078687
20,2,0.13896437
20,2,0.06254905
20,3,0.13238603
20,3,0.05641435
20,4,0.12506081
20,4,0.05628409
20,5,0.11881624
20,5,0.08757705
20,6,0.08228742
20,6,0.0453374
20,7,0.14949504
20,7,0.08153513
20,8,0.1079837
20,8,0.05585016
20,9,0.11602366
20,9,0.05083022
20,10,0.15078286
20,10,0.02506826
20,11,0.14053337
20,11,0.00892114
20,12,0.12282527
20,12,0.00202448
20,13,0.10985676
20,13,0.00189798
20,14,0.09731118
20,14,0.01250154
20,15,0.09488356
20,15,0.01290237
20,16,0.06596454
20,16,0.02340302
20,17,0.08385187
20,17,0.02571558
20,18,0.10836308
20,18,0.02628305
20,19,0.18003167
20,19,0.01860782
20,20,0.1824387
20,20,0.00206546
20,21,0.23896974
20,21,0.0606665
20,22,0.27550815
20,22,0.04696739
20,23,0.27676387
20,23,0.08040865
21,0,0.28468075
21,0,0.07547295
21,1,0.27629949
21,1,0.07703267
21,2,0.20120821
21,2,0.08994338
