Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2019,2,3,N,HB_BUSAVG,SH,14.91
01/01/2019,2,4,N,HB_BUSAVG,SH,15.04
01/01/2019,2,1,N,HB_HOUSTON,HU,14.94
01/01/2019,2,2,N,HB_HOUSTON,HU,15.08
01/01/2019,2,3,N,HB_HOUSTON,HU,15.24
01/01/2019,2,4,N,HB_HOUSTON,HU,15.47
01/01/2019,2,1,N,HB_HUBAVG,AH,14.60
01/01/2019,2,2,N,HB_HUBAVG,AH,14.88
01/01/2019,2,3,N,HB_HUBAVG,AH,14.93
01/01/2019,2,4,N,HB_HUBAVG,AH,15.06
01/01/2019,2,1,N,HB_NORTH,HU,14.33
01/01/2019,2,2,N,HB_NORTH,HU,14.60
01/01/2019,2,3,N,HB_NORTH,HU,14.69
01/01/2019,2,4,N,HB_NORTH,HU,14.75
01/01/2019,2,1,N,HB_SOUTH,HU,15.52
01/01/2019,2,2,N,HB_SOUTH,HU,16.01
01/01/2019,2,3,N,HB_SOUTH,HU,15.76
01/01/2019,2,4,N,HB_SOUTH,HU,16.15
01/01/2019,2,1,N,HB_WEST,HU,13.59
01/01/2019,2,2,N,HB_WEST,HU,13.85
01/01/2019,2,3,N,HB_WEST,HU,14.02
01/01/2019,2,4,N,HB_WEST,HU,13.87
01/01/2019,2,1,N,LZ_AEN,LZ,15.55
01/01/2019,2,1,N,LZ_AEN,LZEW,15.55
01/01/2019,2,2,N,LZ_AEN,LZ,15.94
01/01/2019,2,2,N,LZ_AEN,LZEW,15.94
01/01/2019,2,3,N,LZ_AEN,LZ,15.78
01/01/2019,2,3,N,LZ_AEN,LZEW,15.78
01/01/2019,2,4,N,LZ_AEN,LZ,16.18
01/01/2019,2,4,N,LZ_AEN,LZEW,16.18
01/01/2019,2,1,N,LZ_CPS,LZ,15.75
01/01/2019,2,1,N,LZ_CPS,LZEW,15.74
01/01/2019,2,2,N,LZ_CPS,LZ,16.24
01/01/2019,2,2,N,LZ_CPS,LZEW,16.24
01/01/2019,2,3,N,LZ_CPS,LZ,15.96
01/01/2019,2,3,N,LZ_CPS,LZEW,15.96
01/01/2019,2,4,N,LZ_CPS,LZ,16.42
01/01/2019,2,4,N,LZ_CPS,LZEW,16.42
01/01/2019,2,1,N,LZ_HOUSTON,LZ,14.96
01/01/2019,2,1,N,LZ_HOUSTON,LZEW,14.96
01/01/2019,2,2,N,LZ_HOUSTON,LZ,15.08
01/01/2019,2,2,N,LZ_HOUSTON,LZEW,15.08
01/01/2019,2,3,N,LZ_HOUSTON,LZ,15.25
01/01/2019,2,3,N,LZ_HOUSTON,LZEW,15.25
01/01/2019,2,4,N,LZ_HOUSTON,LZ,15.49
01/01/2019,2,4,N,LZ_HOUSTON,LZEW,15.49
01/01/2019,2,1,N,LZ_LCRA,LZ,16.14
01/01/2019,2,1,N,LZ_LCRA,LZEW,16.14
01/01/2019,2,2,N,LZ_LCRA,LZ,16.62
01/01/2019,2,2,N,LZ_LCRA,LZEW,16.61
01/01/2019,2,3,N,LZ_LCRA,LZ,16.32
01/01/2019,2,3,N,LZ_LCRA,LZEW,16.32
01/01/2019,2,4,N,LZ_LCRA,LZ,16.90
01/01/2019,2,4,N,LZ_LCRA,LZEW,16.90
01/01/2019,2,1,N,LZ_NORTH,LZ,14.31
01/01/2019,2,1,N,LZ_NORTH,LZEW,14.31
01/01/2019,2,2,N,LZ_NORTH,LZ,14.58
01/01/2019,2,2,N,LZ_NORTH,LZEW,14.58
01/01/2019,2,3,N,LZ_NORTH,LZ,14.67
01/01/2019,2,3,N,LZ_NORTH,LZEW,14.67
01/01/2019,2,4,N,LZ_NORTH,LZ,14.72
01/01/2019,2,4,N,LZ_NORTH,LZEW,14.72
01/01/2019,2,1,N,LZ_RAYBN,LZ,14.27
01/01/2019,2,1,N,LZ_RAYBN,LZEW,14.27
01/01/2019,2,2,N,LZ_RAYBN,LZ,14.54
01/01/2019,2,2,N,LZ_RAYBN,LZEW,14.54
01/01/2019,2,3,N,LZ_RAYBN,LZ,14.64
01/01/2019,2,3,N,LZ_RAYBN,LZEW,14.64
01/01/2019,2,4,N,LZ_RAYBN,LZ,14.68
01/01/2019,2,4,N,LZ_RAYBN,LZEW,14.68
01/01/2019,2,1,N,LZ_SOUTH,LZ,15.63
01/01/2019,2,1,N,LZ_SOUTH,LZEW,15.64
01/01/2019,2,2,N,LZ_SOUTH,LZ,16.46
01/01/2019,2,2,N,LZ_SOUTH,LZEW,16.46
01/01/2019,2,3,N,LZ_SOUTH,LZ,15.85
01/01/2019,2,3,N,LZ_SOUTH,LZEW,15.85
01/01/2019,2,4,N,LZ_SOUTH,LZ,16.28
01/01/2019,2,4,N,LZ_SOUTH,LZEW,16.28
01/01/2019,2,1,N,LZ_WEST,LZ,13.47
01/01/2019,2,1,N,LZ_WEST,LZEW,13.47
01/01/2019,2,2,N,LZ_WEST,LZ,13.73
01/01/2019,2,2,N,LZ_WEST,LZEW,13.73
01/01/2019,2,3,N,LZ_WEST,LZ,13.91
01/01/2019,2,3,N,LZ_WEST,LZEW,13.91
01/01/2019,2,4,N,LZ_WEST,LZ,13.73
01/01/2019,2,4,N,LZ_WEST,LZEW,13.73
01/01/2019,3,1,N,HB_BUSAVG,SH,15.35
01/01/2019,3,2,N,HB_BUSAVG,SH,15.48
01/01/2019,3,3,N,HB_BUSAVG,SH,15.60
01/01/2019,3,4,N,HB_BUSAVG,SH,15.56
01/01/2019,3,1,N,HB_HOUSTON,HU,15.50
01/01/2019,3,2,N,HB_HOUSTON,HU,15.77
01/01/2019,3,3,N,HB_HOUSTON,HU,15.60
01/01/2019,3,4,N,HB_HOUSTON,HU,15.25
01/01/2019,3,1,N,HB_HUBAVG,AH,15.36
01/01/2019,3,2,N,HB_HUBAVG,AH,15.50
01/01/2019,3,3,N,HB_HUBAVG,AH,15.60
01/01/2019,3,4,N,HB_HUBAVG,AH,15.55
01/01/2019,3,1,N,HB_NORTH,HU,15.26
01/01/2019,3,2,N,HB_NORTH,HU,15.29
01/01/2019,3,3,N,HB_NORTH,HU,15.60
01/01/2019,3,4,N,HB_NORTH,HU,15.52
