Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2020,1,1,N,HB_BUSAVG,SH,12.46
01/01/2020,1,2,N,HB_BUSAVG,SH,14.22
01/01/2020,1,3,N,HB_BUSAVG,SH,14.06
01/01/2020,1,4,N,HB_BUSAVG,SH,14.09
01/01/2020,1,1,N,HB_HOUSTON,HU,12.46
01/01/2020,1,2,N,HB_HOUSTON,HU,14.22
01/01/2020,1,3,N,HB_HOUSTON,HU,14.06
01/01/2020,1,4,N,HB_HOUSTON,HU,14.09
01/01/2020,1,1,N,HB_HUBAVG,AH,12.46
01/01/2020,1,2,N,HB_HUBAVG,AH,14.22
01/01/2020,1,3,N,HB_HUBAVG,AH,14.06
01/01/2020,1,4,N,HB_HUBAVG,AH,14.09
01/01/2020,1,1,N,HB_NORTH,HU,12.46
01/01/2020,1,2,N,HB_NORTH,HU,14.22
01/01/2020,1,3,N,HB_NORTH,HU,14.06
01/01/2020,1,4,N,HB_NORTH,HU,14.09
01/01/2020,1,1,N,HB_PAN,HU,-6.08
01/01/2020,1,2,N,HB_PAN,HU,-6.24
01/01/2020,1,3,N,HB_PAN,HU,-6.25
01/01/2020,1,4,N,HB_PAN,HU,-6.25
01/01/2020,1,1,N,HB_SOUTH,HU,12.46
01/01/2020,1,2,N,HB_SOUTH,HU,14.22
01/01/2020,1,3,N,HB_SOUTH,HU,14.06
01/01/2020,1,4,N,HB_SOUTH,HU,14.09
01/01/2020,1,1,N,HB_WEST,HU,12.46
01/01/2020,1,2,N,HB_WEST,HU,14.22
01/01/2020,1,3,N,HB_WEST,HU,14.06
01/01/2020,1,4,N,HB_WEST,HU,14.09
01/01/2020,1,1,N,LZ_AEN,LZ,12.46
01/01/2020,1,1,N,LZ_AEN,LZEW,12.46
01/01/2020,1,2,N,LZ_AEN,LZEW,14.22
01/01/2020,1,2,N,LZ_AEN,LZ,14.22
01/01/2020,1,3,N,LZ_AEN,LZ,14.06
01/01/2020,1,3,N,LZ_AEN,LZEW,14.06
01/01/2020,1,4,N,LZ_AEN,LZ,14.09
01/01/2020,1,4,N,LZ_AEN,LZEW,14.09
01/01/2020,1,1,N,LZ_CPS,LZ,12.46
01/01/2020,1,1,N,LZ_CPS,LZEW,12.46
01/01/2020,1,2,N,LZ_CPS,LZEW,14.22
01/01/2020,1,2,N,LZ_CPS,LZ,14.22
01/01/2020,1,3,N,LZ_CPS,LZ,14.06
01/01/2020,1,3,N,LZ_CPS,LZEW,14.06
01/01/2020,1,4,N,LZ_CPS,LZ,14.09
01/01/2020,1,4,N,LZ_CPS,LZEW,14.09
01/01/2020,1,1,N,LZ_HOUSTON,LZ,12.46
01/01/2020,1,1,N,LZ_HOUSTON,LZEW,12.46
01/01/2020,1,2,N,LZ_HOUSTON,LZ,14.22
01/01/2020,1,2,N,LZ_HOUSTON,LZEW,14.22
01/01/2020,1,3,N,LZ_HOUSTON,LZ,14.06
01/01/2020,1,3,N,LZ_HOUSTON,LZEW,14.06
01/01/2020,1,4,N,LZ_HOUSTON,LZ,14.09
01/01/2020,1,4,N,LZ_HOUSTON,LZEW,14.09
01/01/2020,1,1,N,LZ_LCRA,LZ,12.46
01/01/2020,1,1,N,LZ_LCRA,LZEW,12.46
01/01/2020,1,2,N,LZ_LCRA,LZ,14.22
01/01/2020,1,2,N,LZ_LCRA,LZEW,14.22
01/01/2020,1,3,N,LZ_LCRA,LZ,14.06
01/01/2020,1,3,N,LZ_LCRA,LZEW,14.06
01/01/2020,1,4,N,LZ_LCRA,LZ,14.09
01/01/2020,1,4,N,LZ_LCRA,LZEW,14.09
01/01/2020,1,1,N,LZ_NORTH,LZ,12.46
01/01/2020,1,1,N,LZ_NORTH,LZEW,12.46
01/01/2020,1,2,N,LZ_NORTH,LZ,14.22
01/01/2020,1,2,N,LZ_NORTH,LZEW,14.22
01/01/2020,1,3,N,LZ_NORTH,LZ,14.06
01/01/2020,1,3,N,LZ_NORTH,LZEW,14.06
01/01/2020,1,4,N,LZ_NORTH,LZ,14.09
01/01/2020,1,4,N,LZ_NORTH,LZEW,14.09
01/01/2020,1,1,N,LZ_RAYBN,LZ,12.46
01/01/2020,1,1,N,LZ_RAYBN,LZEW,12.46
01/01/2020,1,2,N,LZ_RAYBN,LZ,14.22
01/01/2020,1,2,N,LZ_RAYBN,LZEW,14.22
01/01/2020,1,3,N,LZ_RAYBN,LZ,14.06
01/01/2020,1,3,N,LZ_RAYBN,LZEW,14.06
01/01/2020,1,4,N,LZ_RAYBN,LZ,14.09
01/01/2020,1,4,N,LZ_RAYBN,LZEW,14.09
01/01/2020,1,1,N,LZ_SOUTH,LZ,12.46
01/01/2020,1,1,N,LZ_SOUTH,LZEW,12.46
01/01/2020,1,2,N,LZ_SOUTH,LZEW,14.22
01/01/2020,1,2,N,LZ_SOUTH,LZ,14.22
01/01/2020,1,3,N,LZ_SOUTH,LZ,14.06
01/01/2020,1,3,N,LZ_SOUTH,LZEW,14.06
01/01/2020,1,4,N,LZ_SOUTH,LZ,14.09
01/01/2020,1,4,N,LZ_SOUTH,LZEW,14.09
01/01/2020,1,1,N,LZ_WEST,LZ,12.44
01/01/2020,1,1,N,LZ_WEST,LZEW,12.44
01/01/2020,1,2,N,LZ_WEST,LZ,14.20
01/01/2020,1,2,N,LZ_WEST,LZEW,14.20
01/01/2020,1,3,N,LZ_WEST,LZ,14.04
01/01/2020,1,3,N,LZ_WEST,LZEW,14.04
01/01/2020,1,4,N,LZ_WEST,LZEW,14.07
01/01/2020,1,4,N,LZ_WEST,LZ,14.07
01/01/2020,2,1,N,HB_BUSAVG,SH,13.14
01/01/2020,2,2,N,HB_BUSAVG,SH,13.61
01/01/2020,2,3,N,HB_BUSAVG,SH,13.53
01/01/2020,2,4,N,HB_BUSAVG,SH,12.81
01/01/2020,2,1,N,HB_HOUSTON,HU,13.14
01/01/2020,2,2,N,HB_HOUSTON,HU,13.61
01/01/2020,2,3,N,HB_HOUSTON,HU,13.53
01/01/2020,2,4,N,HB_HOUSTON,HU,12.81
01/01/2020,2,1,N,HB_HUBAVG,AH,13.14
01/01/2020,2,2,N,HB_HUBAVG,AH,13.61
01/01/2020,2,3,N,HB_HUBAVG,AH,13.53
01/01/2020,2,4,N,HB_HUBAVG,AH,12.81
01/01/2020,2,1,N,HB_NORTH,HU,13.14
01/01/2020,2,2,N,HB_NORTH,HU,13.61
01/01/2020,2,3,N,HB_NORTH,HU,13.53
01/01/2020,2,4,N,HB_NORTH,HU,12.81
01/01/2020,2,1,N,HB_PAN,HU,-14.09
01/01/2020,2,2,N,HB_PAN,HU,-18.99
01/01/2020,2,3,N,HB_PAN,HU,-18.99
01/01/2020,2,4,N,HB_PAN,HU,-18.99
01/01/2020,2,1,N,HB_SOUTH,HU,13.14
01/01/2020,2,2,N,HB_SOUTH,HU,13.61
01/01/2020,2,3,N,HB_SOUTH,HU,13.53
01/01/2020,2,4,N,HB_SOUTH,HU,12.81
01/01/2020,2,1,N,HB_WEST,HU,13.14
01/01/2020,2,2,N,HB_WEST,HU,13.61
01/01/2020,2,3,N,HB_WEST,HU,13.53
01/01/2020,2,4,N,HB_WEST,HU,12.81
01/01/2020,2,1,N,LZ_AEN,LZ,13.14
01/01/2020,2,1,N,LZ_AEN,LZEW,13.14
01/01/2020,2,2,N,LZ_AEN,LZ,13.61
01/01/2020,2,2,N,LZ_AEN,LZEW,13.61
01/01/2020,2,3,N,LZ_AEN,LZ,13.53
01/01/2020,2,3,N,LZ_AEN,LZEW,13.53
01/01/2020,2,4,N,LZ_AEN,LZ,12.81
01/01/2020,2,4,N,LZ_AEN,LZEW,12.81
01/01/2020,2,1,N,LZ_CPS,LZ,13.14
01/01/2020,2,1,N,LZ_CPS,LZEW,13.14
01/01/2020,2,2,N,LZ_CPS,LZ,13.61
01/01/2020,2,2,N,LZ_CPS,LZEW,13.61
01/01/2020,2,3,N,LZ_CPS,LZEW,13.53
01/01/2020,2,3,N,LZ_CPS,LZ,13.53
01/01/2020,2,4,N,LZ_CPS,LZ,12.81
01/01/2020,2,4,N,LZ_CPS,LZEW,12.81
01/01/2020,2,1,N,LZ_HOUSTON,LZ,13.14
01/01/2020,2,1,N,LZ_HOUSTON,LZEW,13.14
01/01/2020,2,2,N,LZ_HOUSTON,LZ,13.61
01/01/2020,2,2,N,LZ_HOUSTON,LZEW,13.61
01/01/2020,2,3,N,LZ_HOUSTON,LZ,13.53
01/01/2020,2,3,N,LZ_HOUSTON,LZEW,13.53
01/01/2020,2,4,N,LZ_HOUSTON,LZ,12.81
01/01/2020,2,4,N,LZ_HOUSTON,LZEW,12.81
01/01/2020,2,1,N,LZ_LCRA,LZ,13.14
01/01/2020,2,1,N,LZ_LCRA,LZEW,13.14
01/01/2020,2,2,N,LZ_LCRA,LZ,13.61
01/01/2020,2,2,N,LZ_LCRA,LZEW,13.61
01/01/2020,2,3,N,LZ_LCRA,LZ,13.53
01/01/2020,2,3,N,LZ_LCRA,LZEW,13.53
01/01/2020,2,4,N,LZ_LCRA,LZ,12.81
01/01/2020,2,4,N,LZ_LCRA,LZEW,12.81
01/01/2020,2,1,N,LZ_NORTH,LZ,13.14
01/01/2020,2,1,N,LZ_NORTH,LZEW,13.14
01/01/2020,2,2,N,LZ_NORTH,LZ,13.61
01/01/2020,2,2,N,LZ_NORTH,LZEW,13.61
01/01/2020,2,3,N,LZ_NORTH,LZ,13.53
01/01/2020,2,3,N,LZ_NORTH,LZEW,13.53
01/01/2020,2,4,N,LZ_NORTH,LZEW,12.81
01/01/2020,2,4,N,LZ_NORTH,LZ,12.81
01/01/2020,2,1,N,LZ_RAYBN,LZ,13.14
01/01/2020,2,1,N,LZ_RAYBN,LZEW,13.14
01/01/2020,2,2,N,LZ_RAYBN,LZEW,13.61
01/01/2020,2,2,N,LZ_RAYBN,LZ,13.61
01/01/2020,2,3,N,LZ_RAYBN,LZ,13.53
01/01/2020,2,3,N,LZ_RAYBN,LZEW,13.53
01/01/2020,2,4,N,LZ_RAYBN,LZ,12.81
01/01/2020,2,4,N,LZ_RAYBN,LZEW,12.81
01/01/2020,2,1,N,LZ_SOUTH,LZ,13.14
01/01/2020,2,1,N,LZ_SOUTH,LZEW,13.14
01/01/2020,2,2,N,LZ_SOUTH,LZ,13.61
01/01/2020,2,2,N,LZ_SOUTH,LZEW,13.61
01/01/2020,2,3,N,LZ_SOUTH,LZ,13.53
01/01/2020,2,3,N,LZ_SOUTH,LZEW,13.53
01/01/2020,2,4,N,LZ_SOUTH,LZ,12.81
01/01/2020,2,4,N,LZ_SOUTH,LZEW,12.81
01/01/2020,2,1,N,LZ_WEST,LZ,13.12
01/01/2020,2,1,N,LZ_WEST,LZEW,13.12
01/01/2020,2,2,N,LZ_WEST,LZ,13.58
01/01/2020,2,2,N,LZ_WEST,LZEW,13.58
01/01/2020,2,3,N,LZ_WEST,LZ,13.50
01/01/2020,2,3,N,LZ_WEST,LZEW,13.50
01/01/2020,2,4,N,LZ_WEST,LZ,12.78
01/01/2020,2,4,N,LZ_WEST,LZEW,12.78
01/01/2020,3,1,N,HB_BUSAVG,SH,12.19
01/01/2020,3,2,N,HB_BUSAVG,SH,11.90
01/01/2020,3,3,N,HB_BUSAVG,SH,11.37
01/01/2020,3,4,N,HB_BUSAVG,SH,10.02
01/01/2020,3,1,N,HB_HOUSTON,HU,12.19
01/01/2020,3,2,N,HB_HOUSTON,HU,11.90
01/01/2020,3,3,N,HB_HOUSTON,HU,11.37
01/01/2020,3,4,N,HB_HOUSTON,HU,10.02
01/01/2020,3,1,N,HB_HUBAVG,AH,12.19
01/01/2020,3,2,N,HB_HUBAVG,AH,11.90
01/01/2020,3,3,N,HB_HUBAVG,AH,11.37
01/01/2020,3,4,N,HB_HUBAVG,AH,10.02
01/01/2020,3,1,N,HB_NORTH,HU,12.19
01/01/2020,3,2,N,HB_NORTH,HU,11.90
01/01/2020,3,3,N,HB_NORTH,HU,11.37
01/01/2020,3,4,N,HB_NORTH,HU,10.02
01/01/2020,3,1,N,HB_PAN,HU,-18.99
01/01/2020,3,2,N,HB_PAN,HU,-18.99
01/01/2020,3,3,N,HB_PAN,HU,-18.99
01/01/2020,3,4,N,HB_PAN,HU,-18.99
01/01/2020,3,1,N,HB_SOUTH,HU,12.19
01/01/2020,3,2,N,HB_SOUTH,HU,11.90
01/01/2020,3,3,N,HB_SOUTH,HU,11.37
01/01/2020,3,4,N,HB_SOUTH,HU,10.02
01/01/2020,3,1,N,HB_WEST,HU,12.19
01/01/2020,3,2,N,HB_WEST,HU,11.90
01/01/2020,3,3,N,HB_WEST,HU,11.37
01/01/2020,3,4,N,HB_WEST,HU,10.02
01/01/2020,3,1,N,LZ_AEN,LZ,12.19
01/01/2020,3,1,N,LZ_AEN,LZEW,12.19
01/01/2020,3,2,N,LZ_AEN,LZ,11.90
01/01/2020,3,2,N,LZ_AEN,LZEW,11.90
01/01/2020,3,3,N,LZ_AEN,LZ,11.37
01/01/2020,3,3,N,LZ_AEN,LZEW,11.37
01/01/2020,3,4,N,LZ_AEN,LZ,10.02
01/01/2020,3,4,N,LZ_AEN,LZEW,10.02
01/01/2020,3,1,N,LZ_CPS,LZ,12.19
01/01/2020,3,1,N,LZ_CPS,LZEW,12.19
01/01/2020,3,2,N,LZ_CPS,LZ,11.90
01/01/2020,3,2,N,LZ_CPS,LZEW,11.90
01/01/2020,3,3,N,LZ_CPS,LZEW,11.37
01/01/2020,3,3,N,LZ_CPS,LZ,11.37
01/01/2020,3,4,N,LZ_CPS,LZ,10.02
01/01/2020,3,4,N,LZ_CPS,LZEW,10.02
01/01/2020,3,1,N,LZ_HOUSTON,LZ,12.19
01/01/2020,3,1,N,LZ_HOUSTON,LZEW,12.19
01/01/2020,3,2,N,LZ_HOUSTON,LZ,11.90
01/01/2020,3,2,N,LZ_HOUSTON,LZEW,11.90
01/01/2020,3,3,N,LZ_HOUSTON,LZ,11.37
01/01/2020,3,3,N,LZ_HOUSTON,LZEW,11.37
01/01/2020,3,4,N,LZ_HOUSTON,LZ,10.02
01/01/2020,3,4,N,LZ_HOUSTON,LZEW,10.02
01/01/2020,3,1,N,LZ_LCRA,LZ,12.19
01/01/2020,3,1,N,LZ_LCRA,LZEW,12.19
01/01/2020,3,2,N,LZ_LCRA,LZ,11.90
01/01/2020,3,2,N,LZ_LCRA,LZEW,11.90
01/01/2020,3,3,N,LZ_LCRA,LZ,11.37
01/01/2020,3,3,N,LZ_LCRA,LZEW,11.37
01/01/2020,3,4,N,LZ_LCRA,LZ,10.02
01/01/2020,3,4,N,LZ_LCRA,LZEW,10.02
01/01/2020,3,1,N,LZ_NORTH,LZ,12.19
01/01/2020,3,1,N,LZ_NORTH,LZEW,12.19
01/01/2020,3,2,N,LZ_NORTH,LZEW,11.90
01/01/2020,3,2,N,LZ_NORTH,LZ,11.90
01/01/2020,3,3,N,LZ_NORTH,LZEW,11.37
01/01/2020,3,3,N,LZ_NORTH,LZ,11.37
01/01/2020,3,4,N,LZ_NORTH,LZ,10.02
