Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2018,1,1,N,HB_BUSAVG,SH,27.37
01/01/2018,1,2,N,HB_BUSAVG,SH,27.37
01/01/2018,1,3,N,HB_BUSAVG,SH,27.15
01/01/2018,1,4,N,HB_BUSAVG,SH,27.13
01/01/2018,1,1,N,HB_HOUSTON,HU,27.68
01/01/2018,1,2,N,HB_HOUSTON,HU,27.69
01/01/2018,1,3,N,HB_HOUSTON,HU,27.46
01/01/2018,1,4,N,HB_HOUSTON,HU,27.45
01/01/2018,1,1,N,HB_HUBAVG,AH,27.32
01/01/2018,1,2,N,HB_HUBAVG,AH,27.32
01/01/2018,1,3,N,HB_HUBAVG,AH,27.10
01/01/2018,1,4,N,HB_HUBAVG,AH,27.10
01/01/2018,1,1,N,HB_NORTH,HU,27.72
01/01/2018,1,2,N,HB_NORTH,HU,27.72
01/01/2018,1,3,N,HB_NORTH,HU,27.49
01/01/2018,1,4,N,HB_NORTH,HU,27.45
01/01/2018,1,1,N,HB_SOUTH,HU,26.09
01/01/2018,1,2,N,HB_SOUTH,HU,26.10
01/01/2018,1,3,N,HB_SOUTH,HU,25.89
01/01/2018,1,4,N,HB_SOUTH,HU,25.97
01/01/2018,1,1,N,HB_WEST,HU,27.79
01/01/2018,1,2,N,HB_WEST,HU,27.79
01/01/2018,1,3,N,HB_WEST,HU,27.56
01/01/2018,1,4,N,HB_WEST,HU,27.51
01/01/2018,1,1,N,LZ_AEN,LZ,27.67
01/01/2018,1,1,N,LZ_AEN,LZEW,27.67
01/01/2018,1,2,N,LZ_AEN,LZ,27.67
01/01/2018,1,2,N,LZ_AEN,LZEW,27.67
01/01/2018,1,3,N,LZ_AEN,LZ,27.45
01/01/2018,1,3,N,LZ_AEN,LZEW,27.45
01/01/2018,1,4,N,LZ_AEN,LZ,27.41
01/01/2018,1,4,N,LZ_AEN,LZEW,27.41
01/01/2018,1,1,N,LZ_CPS,LZ,27.82
01/01/2018,1,1,N,LZ_CPS,LZEW,27.82
01/01/2018,1,2,N,LZ_CPS,LZ,27.82
01/01/2018,1,2,N,LZ_CPS,LZEW,27.82
01/01/2018,1,3,N,LZ_CPS,LZ,27.59
01/01/2018,1,3,N,LZ_CPS,LZEW,27.59
01/01/2018,1,4,N,LZ_CPS,LZ,27.54
01/01/2018,1,4,N,LZ_CPS,LZEW,27.54
01/01/2018,1,1,N,LZ_HOUSTON,LZ,27.68
01/01/2018,1,1,N,LZ_HOUSTON,LZEW,27.68
01/01/2018,1,2,N,LZ_HOUSTON,LZ,27.69
01/01/2018,1,2,N,LZ_HOUSTON,LZEW,27.69
01/01/2018,1,3,N,LZ_HOUSTON,LZ,27.46
01/01/2018,1,3,N,LZ_HOUSTON,LZEW,27.46
01/01/2018,1,4,N,LZ_HOUSTON,LZ,27.45
01/01/2018,1,4,N,LZ_HOUSTON,LZEW,27.45
01/01/2018,1,1,N,LZ_LCRA,LZ,27.72
01/01/2018,1,1,N,LZ_LCRA,LZEW,27.72
01/01/2018,1,2,N,LZ_LCRA,LZ,27.72
01/01/2018,1,2,N,LZ_LCRA,LZEW,27.72
01/01/2018,1,3,N,LZ_LCRA,LZ,27.49
01/01/2018,1,3,N,LZ_LCRA,LZEW,27.49
01/01/2018,1,4,N,LZ_LCRA,LZ,27.46
01/01/2018,1,4,N,LZ_LCRA,LZEW,27.46
01/01/2018,1,1,N,LZ_NORTH,LZ,27.72
01/01/2018,1,1,N,LZ_NORTH,LZEW,27.72
01/01/2018,1,2,N,LZ_NORTH,LZ,27.72
01/01/2018,1,2,N,LZ_NORTH,LZEW,27.72
01/01/2018,1,3,N,LZ_NORTH,LZ,27.50
01/01/2018,1,3,N,LZ_NORTH,LZEW,27.50
01/01/2018,1,4,N,LZ_NORTH,LZ,27.45
01/01/2018,1,4,N,LZ_NORTH,LZEW,27.45
01/01/2018,1,1,N,LZ_RAYBN,LZ,27.72
01/01/2018,1,1,N,LZ_RAYBN,LZEW,27.72
01/01/2018,1,2,N,LZ_RAYBN,LZ,27.72
01/01/2018,1,2,N,LZ_RAYBN,LZEW,27.72
01/01/2018,1,3,N,LZ_RAYBN,LZ,27.50
01/01/2018,1,3,N,LZ_RAYBN,LZEW,27.50
01/01/2018,1,4,N,LZ_RAYBN,LZ,27.45
01/01/2018,1,4,N,LZ_RAYBN,LZEW,27.45
01/01/2018,1,1,N,LZ_SOUTH,LZ,26.02
01/01/2018,1,1,N,LZ_SOUTH,LZEW,26.02
01/01/2018,1,2,N,LZ_SOUTH,LZ,26.01
01/01/2018,1,2,N,LZ_SOUTH,LZEW,26.01
01/01/2018,1,3,N,LZ_SOUTH,LZ,25.77
01/01/2018,1,3,N,LZ_SOUTH,LZEW,25.77
01/01/2018,1,4,N,LZ_SOUTH,LZ,25.83
01/01/2018,1,4,N,LZ_SOUTH,LZEW,25.84
01/01/2018,1,1,N,LZ_WEST,LZ,27.85
