Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2016,1,1,N,HB_BUSAVG,SH,15.48
01/01/2016,1,2,N,HB_BUSAVG,SH,15.33
01/01/2016,1,3,N,HB_BUSAVG,SH,15.50
01/01/2016,1,4,N,HB_BUSAVG,SH,15.50
01/01/2016,1,1,N,HB_HOUSTON,HU,15.48
01/01/2016,1,2,N,HB_HOUSTON,HU,15.33
01/01/2016,1,3,N,HB_HOUSTON,HU,15.50
01/01/2016,1,4,N,HB_HOUSTON,HU,15.43
01/01/2016,1,1,N,HB_HUBAVG,AH,15.48
01/01/2016,1,2,N,HB_HUBAVG,AH,15.33
01/01/2016,1,3,N,HB_HUBAVG,AH,15.50
01/01/2016,1,4,N,HB_HUBAVG,AH,15.49
01/01/2016,1,1,N,HB_NORTH,HU,15.48
01/01/2016,1,2,N,HB_NORTH,HU,15.33
01/01/2016,1,3,N,HB_NORTH,HU,15.50
01/01/2016,1,4,N,HB_NORTH,HU,15.54
01/01/2016,1,1,N,HB_SOUTH,HU,15.48
01/01/2016,1,2,N,HB_SOUTH,HU,15.33
01/01/2016,1,3,N,HB_SOUTH,HU,15.50
01/01/2016,1,4,N,HB_SOUTH,HU,15.38
01/01/2016,1,1,N,HB_WEST,HU,15.48
01/01/2016,1,2,N,HB_WEST,HU,15.33
01/01/2016,1,3,N,HB_WEST,HU,15.50
01/01/2016,1,4,N,HB_WEST,HU,15.61
01/01/2016,1,1,N,LZ_AEN,LZ,15.48
01/01/2016,1,1,N,LZ_AEN,LZEW,15.48
01/01/2016,1,2,N,LZ_AEN,LZ,15.33
01/01/2016,1,2,N,LZ_AEN,LZEW,15.33
01/01/2016,1,3,N,LZ_AEN,LZ,15.50
01/01/2016,1,3,N,LZ_AEN,LZEW,15.50
01/01/2016,1,4,N,LZ_AEN,LZ,15.30
01/01/2016,1,4,N,LZ_AEN,LZEW,15.30
01/01/2016,1,1,N,LZ_CPS,LZ,15.48
01/01/2016,1,1,N,LZ_CPS,LZEW,15.48
01/01/2016,1,2,N,LZ_CPS,LZ,15.33
01/01/2016,1,2,N,LZ_CPS,LZEW,15.33
01/01/2016,1,3,N,LZ_CPS,LZ,15.50
01/01/2016,1,3,N,LZ_CPS,LZEW,15.50
01/01/2016,1,4,N,LZ_CPS,LZ,15.38
01/01/2016,1,4,N,LZ_CPS,LZEW,15.38
01/01/2016,1,1,N,LZ_HOUSTON,LZ,15.48
01/01/2016,1,1,N,LZ_HOUSTON,LZEW,15.48
01/01/2016,1,2,N,LZ_HOUSTON,LZ,15.33
01/01/2016,1,2,N,LZ_HOUSTON,LZEW,15.33
01/01/2016,1,3,N,LZ_HOUSTON,LZ,15.50
01/01/2016,1,3,N,LZ_HOUSTON,LZEW,15.50
