Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2012,1,1,N,HB_BUSAVG,SH,12.58
01/01/2012,1,2,N,HB_BUSAVG,SH,8.83
01/01/2012,1,3,N,HB_BUSAVG,SH,13.44
01/01/2012,1,4,N,HB_BUSAVG,SH,12.95
01/01/2012,1,1,N,HB_HOUSTON,HU,14.06
01/01/2012,1,2,N,HB_HOUSTON,HU,9.78
01/01/2012,1,3,N,HB_HOUSTON,HU,15.19
01/01/2012,1,4,N,HB_HOUSTON,HU,14.23
01/01/2012,1,1,N,HB_HUBAVG,AH,10.36
01/01/2012,1,2,N,HB_HUBAVG,AH,7.38
01/01/2012,1,3,N,HB_HUBAVG,AH,11.30
01/01/2012,1,4,N,HB_HUBAVG,AH,10.98
01/01/2012,1,1,N,HB_NORTH,HU,14.64
01/01/2012,1,2,N,HB_NORTH,HU,10.18
01/01/2012,1,3,N,HB_NORTH,HU,15.35
01/01/2012,1,4,N,HB_NORTH,HU,14.76
01/01/2012,1,1,N,HB_SOUTH,HU,13.62
01/01/2012,1,2,N,HB_SOUTH,HU,9.50
01/01/2012,1,3,N,HB_SOUTH,HU,14.59
01/01/2012,1,4,N,HB_SOUTH,HU,13.85
01/01/2012,1,1,N,HB_WEST,HU,-0.89
01/01/2012,1,2,N,HB_WEST,HU,0.05
01/01/2012,1,3,N,HB_WEST,HU,0.05
01/01/2012,1,4,N,HB_WEST,HU,1.07
01/01/2012,1,1,N,LZ_AEN,LZ,13.61
01/01/2012,1,2,N,LZ_AEN,LZ,9.50
01/01/2012,1,3,N,LZ_AEN,LZ,14.54
01/01/2012,1,4,N,LZ_AEN,LZ,13.85
01/01/2012,1,1,N,LZ_CPS,LZ,13.50
01/01/2012,1,2,N,LZ_CPS,LZ,9.42
01/01/2012,1,3,N,LZ_CPS,LZ,14.46
01/01/2012,1,4,N,LZ_CPS,LZ,13.74
01/01/2012,1,1,N,LZ_HOUSTON,LZ,14.04
01/01/2012,1,2,N,LZ_HOUSTON,LZ,9.77
01/01/2012,1,3,N,LZ_HOUSTON,LZ,15.16
01/01/2012,1,4,N,LZ_HOUSTON,LZ,14.21
01/01/2012,1,1,N,LZ_LCRA,LZ,13.36
01/01/2012,1,2,N,LZ_LCRA,LZ,9.33
01/01/2012,1,3,N,LZ_LCRA,LZ,14.30
01/01/2012,1,4,N,LZ_LCRA,LZ,13.63
01/01/2012,1,1,N,LZ_NORTH,LZ,14.51
01/01/2012,1,2,N,LZ_NORTH,LZ,10.09
01/01/2012,1,3,N,LZ_NORTH,LZ,15.23
01/01/2012,1,4,N,LZ_NORTH,LZ,14.64
01/01/2012,1,1,N,LZ_RAYBN,LZ,14.60
01/01/2012,1,2,N,LZ_RAYBN,LZ,10.16
01/01/2012,1,3,N,LZ_RAYBN,LZ,15.31
01/01/2012,1,4,N,LZ_RAYBN,LZ,14.74
01/01/2012,1,1,N,LZ_SOUTH,LZ,13.39
01/01/2012,1,2,N,LZ_SOUTH,LZ,9.35
01/01/2012,1,3,N,LZ_SOUTH,LZ,14.38
01/01/2012,1,4,N,LZ_SOUTH,LZ,13.65
01/01/2012,1,1,N,LZ_WEST,LZ,-1.49
01/01/2012,1,2,N,LZ_WEST,LZ,-0.35
01/01/2012,1,3,N,LZ_WEST,LZ,-0.55
01/01/2012,1,4,N,LZ_WEST,LZ,0.52
01/01/2012,2,1,N,HB_BUSAVG,SH,13.22
01/01/2012,2,2,N,HB_BUSAVG,SH,10.30
01/01/2012,2,3,N,HB_BUSAVG,SH,1.42
01/01/2012,2,4,N,HB_BUSAVG,SH,5.45
01/01/2012,2,1,N,HB_HOUSTON,HU,14.52
01/01/2012,2,2,N,HB_HOUSTON,HU,11.34
01/01/2012,2,3,N,HB_HOUSTON,HU,1.62
01/01/2012,2,4,N,HB_HOUSTON,HU,6.02
01/01/2012,2,1,N,HB_HUBAVG,AH,11.22
01/01/2012,2,2,N,HB_HUBAVG,AH,8.72
01/01/2012,2,3,N,HB_HUBAVG,AH,1.10
01/01/2012,2,4,N,HB_HUBAVG,AH,4.57
01/01/2012,2,1,N,HB_NORTH,HU,15.06
01/01/2012,2,2,N,HB_NORTH,HU,11.77
01/01/2012,2,3,N,HB_NORTH,HU,1.71
01/01/2012,2,4,N,HB_NORTH,HU,6.26
