Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2013,1,1,N,HB_BUSAVG,SH,21.71
01/01/2013,1,2,N,HB_BUSAVG,SH,21.64
01/01/2013,1,3,N,HB_BUSAVG,SH,21.80
01/01/2013,1,4,N,HB_BUSAVG,SH,21.51
01/01/2013,1,1,N,HB_HOUSTON,HU,21.71
01/01/2013,1,2,N,HB_HOUSTON,HU,21.64
01/01/2013,1,3,N,HB_HOUSTON,HU,21.80
01/01/2013,1,4,N,HB_HOUSTON,HU,21.51
01/01/2013,1,1,N,HB_HUBAVG,AH,21.71
01/01/2013,1,2,N,HB_HUBAVG,AH,21.64
01/01/2013,1,3,N,HB_HUBAVG,AH,21.80
01/01/2013,1,4,N,HB_HUBAVG,AH,21.51
01/01/2013,1,1,N,HB_NORTH,HU,21.71
01/01/2013,1,2,N,HB_NORTH,HU,21.64
01/01/2013,1,3,N,HB_NORTH,HU,21.80
01/01/2013,1,4,N,HB_NORTH,HU,21.51
01/01/2013,1,1,N,HB_SOUTH,HU,21.71
01/01/2013,1,2,N,HB_SOUTH,HU,21.64
01/01/2013,1,3,N,HB_SOUTH,HU,21.80
01/01/2013,1,4,N,HB_SOUTH,HU,21.51
01/01/2013,1,1,N,HB_WEST,HU,21.71
01/01/2013,1,2,N,HB_WEST,HU,21.64
01/01/2013,1,3,N,HB_WEST,HU,21.80
01/01/2013,1,4,N,HB_WEST,HU,21.51
01/01/2013,1,1,N,LZ_AEN,LZ,21.71
01/01/2013,1,1,N,LZ_AEN,LZEW,21.71
01/01/2013,1,2,N,LZ_AEN,LZ,21.64
01/01/2013,1,2,N,LZ_AEN,LZEW,21.64
01/01/2013,1,3,N,LZ_AEN,LZ,21.80
01/01/2013,1,3,N,LZ_AEN,LZEW,21.80
01/01/2013,1,4,N,LZ_AEN,LZ,21.51
01/01/2013,1,4,N,LZ_AEN,LZEW,21.51
01/01/2013,1,1,N,LZ_CPS,LZ,21.71
01/01/2013,1,1,N,LZ_CPS,LZEW,21.71
01/01/2013,1,2,N,LZ_CPS,LZ,21.64
01/01/2013,1,2,N,LZ_CPS,LZEW,21.64
01/01/2013,1,3,N,LZ_CPS,LZ,21.80
01/01/2013,1,3,N,LZ_CPS,LZEW,21.80
01/01/2013,1,4,N,LZ_CPS,LZ,21.51
01/01/2013,1,4,N,LZ_CPS,LZEW,21.51
01/01/2013,1,1,N,LZ_HOUSTON,LZ,21.71
01/01/2013,1,1,N,LZ_HOUSTON,LZEW,21.71
01/01/2013,1,2,N,LZ_HOUSTON,LZ,21.64
01/01/2013,1,2,N,LZ_HOUSTON,LZEW,21.64
01/01/2013,1,3,N,LZ_HOUSTON,LZ,21.80
01/01/2013,1,3,N,LZ_HOUSTON,LZEW,21.80
01/01/2013,1,4,N,LZ_HOUSTON,LZ,21.51
01/01/2013,1,4,N,LZ_HOUSTON,LZEW,21.51
01/01/2013,1,1,N,LZ_LCRA,LZ,21.71
01/01/2013,1,1,N,LZ_LCRA,LZEW,21.71
01/01/2013,1,2,N,LZ_LCRA,LZ,21.64
01/01/2013,1,2,N,LZ_LCRA,LZEW,21.64
01/01/2013,1,3,N,LZ_LCRA,LZ,21.80
01/01/2013,1,3,N,LZ_LCRA,LZEW,21.80
01/01/2013,1,4,N,LZ_LCRA,LZ,21.51
