Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2021,1,1,N,HB_BUSAVG,SH,15.54
01/01/2021,1,2,N,HB_BUSAVG,SH,15.38
01/01/2021,1,3,N,HB_BUSAVG,SH,15.27
01/01/2021,1,4,N,HB_BUSAVG,SH,14.73
01/01/2021,1,1,N,HB_HOUSTON,HU,15.86
01/01/2021,1,2,N,HB_HOUSTON,HU,15.51
01/01/2021,1,3,N,HB_HOUSTON,HU,15.34
01/01/2021,1,4,N,HB_HOUSTON,HU,14.92
01/01/2021,1,1,N,HB_HUBAVG,AH,15.76
01/01/2021,1,2,N,HB_HUBAVG,AH,15.47
01/01/2021,1,3,N,HB_HUBAVG,AH,15.31
01/01/2021,1,4,N,HB_HUBAVG,AH,14.72
01/01/2021,1,1,N,HB_NORTH,HU,14.9
01/01/2021,1,2,N,HB_NORTH,HU,15.11
01/01/2021,1,3,N,HB_NORTH,HU,15.15
01/01/2021,1,4,N,HB_NORTH,HU,14.89
01/01/2021,1,1,N,HB_PAN,HU,15.01
01/01/2021,1,2,N,HB_PAN,HU,15.16
01/01/2021,1,3,N,HB_PAN,HU,15.17
01/01/2021,1,4,N,HB_PAN,HU,14.98
01/01/2021,1,1,N,HB_SOUTH,HU,17.15
01/01/2021,1,2,N,HB_SOUTH,HU,16.05
01/01/2021,1,3,N,HB_SOUTH,HU,15.57
01/01/2021,1,4,N,HB_SOUTH,HU,14.01
01/01/2021,1,1,N,HB_WEST,HU,15.12
01/01/2021,1,2,N,HB_WEST,HU,15.2
01/01/2021,1,3,N,HB_WEST,HU,15.19
01/01/2021,1,4,N,HB_WEST,HU,15.05
01/01/2021,1,1,N,LZ_AEN,LZ,59.95
01/01/2021,1,1,N,LZ_AEN,LZEW,59.95
01/01/2021,1,2,N,LZ_AEN,LZ,33.89
01/01/2021,1,2,N,LZ_AEN,LZEW,33.92
01/01/2021,1,3,N,LZ_AEN,LZ,24.14
01/01/2021,1,3,N,LZ_AEN,LZEW,24.14
01/01/2021,1,4,N,LZ_AEN,LZEW,24.18
01/01/2021,1,4,N,LZ_AEN,LZ,24.18
01/01/2021,1,1,N,LZ_CPS,LZ,17.08
01/01/2021,1,1,N,LZ_CPS,LZEW,17.08
01/01/2021,1,2,N,LZ_CPS,LZ,16.02
01/01/2021,1,2,N,LZ_CPS,LZEW,16.02
01/01/2021,1,3,N,LZ_CPS,LZ,15.58
01/01/2021,1,3,N,LZ_CPS,LZEW,15.58
01/01/2021,1,4,N,LZ_CPS,LZ,15.54
01/01/2021,1,4,N,LZ_CPS,LZEW,15.54
01/01/2021,1,1,N,LZ_HOUSTON,LZ,15.93
01/01/2021,1,1,N,LZ_HOUSTON,LZEW,15.93
01/01/2021,1,2,N,LZ_HOUSTON,LZ,15.54
01/01/2021,1,2,N,LZ_HOUSTON,LZEW,15.54
01/01/2021,1,3,N,LZ_HOUSTON,LZEW,15.35
01/01/2021,1,3,N,LZ_HOUSTON,LZ,15.35
