Nuclear,Avg_Nuclear,NG,Avg_NG,RFO,Avg_RFO,Hydro,Avg_Hydro,Coal,Avg_Coal,Wood,Avg_wood,Wind,Avg_Wind,Other,Avg_Other
20987.692,3.67682626443125,211217.610184939,20.0034589284374,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,194073.054655779,19.7520488462531,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,193226.115650259,19.7388430159522,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,187719.01919463,19.6519766864148,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,180450.717600856,19.5388477907473,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,168426.941722678,19.3735840283305,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,183343.672778682,19.5877221748948,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,198916.575819412,19.8265607452735,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,215930.668260357,20.0699943989572,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,234766.204027448,20.3124199735497,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,251061.212477487,20.4932449212969,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,269658.40107107,20.6703632142551,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,294568.240277817,20.8909485008935,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,289729.851167096,20.8445324373167,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,298055.477169759,20.9118793670326,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,303431.150194424,20.9525566462507,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,311283.093303713,20.9573525592871,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,316442.696697094,20.9974057099345,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,318300.213233956,21.0120591783902,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,308269.587682573,21.0365468316552,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,294174.167527514,20.9643843833963,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,276488.232034382,20.8202043304008,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,257428.348041648,20.7007034096053,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,233662.371515397,20.4497065545288,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
