Nuclear,NG,RFO,Hydro,Coal,Wood,Wind,Other
5708.1,10775.6292022872,0,2587.09,655.1,0,286.16616671,227.8
5708.1,10234.4236928795,0,2587.09,655.1,0,356.62411789,227.8
5708.1,10175.345735866,0,2587.09,655.1,0,323.426669785,227.8
5708.1,9807.89482020599,0,2587.09,655.1,0,327.165752925,227.8
5708.1,9881.74856862365,0,2587.09,655.1,0,352.0478843,227.8
5708.1,10281.9709031909,0,2587.09,655.1,0,362.60596687,227.8
5708.1,10564.131780334,0,2587.09,655.1,0,355.3599431,227.8
5708.1,12105.7784318646,0,2587.09,655.1,0,383.21359128,227.8
5708.1,13265.9503091978,0,2587.09,655.1,0,395.421238115,227.8
5708.1,13385.1021474768,0,2587.09,655.1,0,426.71151141,227.8
5708.1,13849.6749619137,0,2587.09,655.1,0,431.047075775,227.8
5708.1,14516.8457320361,20,2587.09,655.1,0,438.5101254,227.8
5708.1,15313.7102335341,20,2587.09,655.1,0,433.30669894,227.8
5708.1,15853.551540658,20,2587.09,655.1,0,464.741074765,227.8
5708.1,16139.4121423841,20,2587.09,655.1,0,470.98436743,227.8
5708.1,16309.1360601291,20,2587.09,655.1,0,486.193431925,227.8
5708.1,15816.5748777813,20,2587.09,655.1,0,520.64508856,227.8
5708.1,16066.7161908869,20,2587.09,655.1,0,551.95014103,227.8
5708.1,15952.1988482832,20,2587.09,655.1,0,578.99588214,227.8
5708.1,15306.3447657331,20,2587.09,655.1,0,615.501421945,227.8
5708.1,14525.7022391348,20,2587.09,655.1,0,532.36046284,227.8
5708.1,13878.8637319063,20,2587.09,655.1,0,572.62774386,227.8
5708.1,12326.1570005048,0,2587.09,655.1,0,479.647807495,227.8
5708.1,11485.8217540889,0,2587.09,655.1,0,513.63405231,227.8
