Nuclear,NG,RFO,Hydro,Coal,Wood,Wind,Other
5708.1,10304.2231089876,0,2587.09,655.1,0,353.248310935,227.8
5708.1,9396.18104039511,0,2587.09,655.1,0,316.817969245,227.8
5708.1,8967.49595750872,0,2587.09,655.1,0,304.632085875,227.8
5708.1,8686.41212471542,0,2587.09,655.1,0,274.501191845,227.8
5708.1,8975.52258739493,0,2587.09,655.1,0,295.302152705,227.8
5708.1,9278.25124298687,0,2587.09,655.1,0,364.92115658,227.8
5708.1,9454.20756765411,0,2587.09,655.1,0,319.547863375,227.8
5708.1,10621.4501775515,0,2587.09,655.1,0,333.536290525,227.8
5708.1,11514.345676296,0,2587.09,655.1,0,395.858769955,227.8
5708.1,12126.1999335144,0,2587.09,655.1,0,385.563197,227.8
5708.1,12613.5439567293,0,2587.09,655.1,0,414.39504829,227.8
5708.1,13487.7337918583,20,2587.09,655.1,0,425.56637037,227.8
5708.1,13944.7180681504,20,2587.09,655.1,0,426.37064211,227.8
5708.1,13952.3523844319,20,2587.09,655.1,0,469.854832395,227.8
5708.1,14682.0824196496,20,2587.09,655.1,0,443.6341552,227.8
5708.1,15163.1756856416,20,2587.09,655.1,0,427.83210564,227.8
5708.1,15419.0608822873,20,2587.09,655.1,0,461.30923469,227.8
5708.1,16000.4791215398,21,2587.09,655.1,0,517.64166415,227.8
5708.1,16108.8116364022,21,2587.09,655.1,0,440.39507955,227.8
5708.1,15598.4938456429,21,2587.09,655.1,0,495.630087935,227.8
5708.1,15259.9339894261,20,2587.09,655.1,0,455.27264942,227.8
5708.1,14117.5835082925,20,2587.09,655.1,0,384.922352135,227.8
5708.1,12708.2400765468,0,2587.09,655.1,0,410.647838675,227.8
5708.1,11334.0519587346,0,2587.09,655.1,0,477.64202202,227.8
