Row,Tot Gen(MW),Tot Demand(MW),Rnw Gen(MW),Disp Cost($),Res Cost($),Tot Cost($)
Day1,540638.857658869,540638.857658918,8853.01974656,8218740.76849234,31440,8250180.76849234
Day2,522553.980187472,522553.980188339,9764.090545575,7818307.60171457,31440,7849747.60171457
Day3,514806.879742348,514806.879740936,10197.40538919,7697952.62736405,31440,7729392.62736405
Day4,529806.753812958,529806.753919713,9595.04307062,7976078.1488628,31440,8007518.1488628
Day5,542923.480368046,542923.480368452,10425.53482121,8245351.8751527,31440,8276791.8751527
Day6,552437.302535189,552437.302374262,8633.088635545,8490253.27152516,31440,8521693.27152516
Day7,548971.733887701,548971.733869617,10658.8882168,8365732.36146823,31440,8397172.36146823
