Nuclear,NG,RFO,Hydro,Coal,Wood,Wind,Other
5708.1,10675.1972416865,0,2587.09,655.1,0,356.104956205,227.8
5708.1,9951.9092276485,0,2587.09,655.1,0,332.79420558,227.8
5708.1,9701.57268283303,0,2587.09,655.1,0,366.88643853,227.8
5708.1,9372.00264228032,0,2587.09,655.1,0,382.13856854,227.8
5708.1,9389.13598789707,0,2587.09,655.1,0,377.50943704,227.8
5708.1,9891.77947130495,0,2587.09,655.1,0,416.442731735,227.8
5708.1,10565.7083861122,0,2587.09,655.1,0,405.162894275,227.8
5708.1,11806.8298410246,0,2587.09,655.1,0,432.08559041,227.8
5708.1,13001.0899767632,0,2587.09,655.1,0,432.579087255,227.8
5708.1,13523.9379597329,0,2587.09,655.1,0,391.68717845,227.8
5708.1,14183.0961683252,0,2587.09,655.1,0,392.038567415,227.8
5708.1,14660.4315949469,20,2587.09,655.1,0,438.42868982,227.8
5708.1,15182.9996600547,20,2587.09,655.1,0,487.06312574,227.8
5708.1,15167.0042272269,20,2587.09,655.1,0,501.634523315,227.8
5708.1,15668.0559735489,20,2587.09,655.1,0,476.96465401,227.8
5708.1,15800.286597134,20,2587.09,655.1,0,474.11399043,227.8
5708.1,15605.3743370334,20,2587.09,655.1,0,450.806380955,227.8
5708.1,15465.3640539735,20,2587.09,655.1,0,507.627819055,227.8
5708.1,15191.6663795733,20,2587.09,655.1,0,516.514657015,227.8
5708.1,14657.8771598128,20,2587.09,655.1,0,483.293816895,227.8
5708.1,14382.696861783,20,2587.09,655.1,0,491.549580475,227.8
5708.1,13818.798205702,20,2587.09,655.1,0,498.771210655,227.8
5708.1,12801.3278064386,0,2587.09,655.1,0,405.09365069,227.8
5708.1,11539.6431039994,0,2587.09,655.1,0,408.24306672,227.8
