Nuclear,Avg_Nuclear,NG,Avg_NG,RFO,Avg_RFO,Hydro,Avg_Hydro,Coal,Avg_Coal,Wood,Avg_wood,Wind,Avg_Wind,Other,Avg_Other
20987.692,3.67682626443125,212298.449476705,19.8870751209808,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,195499.849081641,19.6444566172791,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,189768.295197257,19.560570373611,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,182375.727075518,19.459632485885,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,182742.607046117,19.4631973891611,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,194177.61398006,19.6302004652802,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,209761.140503936,19.8530124851496,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,238742.414386809,20.2207042535045,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,266897.773419999,20.5288767247226,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,279196.600016969,20.6446229528905,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,294719.95263053,20.7796625738689,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,305935.26390597,20.8680939523921,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,318311.906623238,20.9650209938878,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,317806.391395383,20.9538012012205,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,328416.399241469,20.9608900935705,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,331346.352055878,20.9709077122678,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,326852.067930652,20.9448399552321,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,324762.548328506,20.9993471343512,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,319304.904464053,21.0184252659333,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,307902.412957377,21.0059348704017,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,301594.036479058,20.969227077325,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,288423.887245631,20.8718502833785,1023.4,51.17,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,265189.774189513,20.715802157346,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
20987.692,3.67682626443125,235641.528094829,20.4201746944116,0,NaN,45060.0967894,17.4172900012756,9636.65202,14.7102,0,NaN,0,0,0,0
