Nuclear,NG,RFO,Hydro,Coal,Wood,Wind,Other
5708.1,10845.007568528,0,2587.09,655.1,0,350.668835175,227.8
5708.1,10198.2164021023,0,2587.09,655.1,0,366.498520545,227.8
5708.1,9691.08480142648,0,2587.09,655.1,0,358.637216465,227.8
5708.1,9173.54088638687,0,2587.09,655.1,0,328.28504078,227.8
5708.1,9203.98968963057,0,2587.09,655.1,0,349.954642045,227.8
5708.1,9241.4426071914,0,2587.09,655.1,0,310.99504382,227.8
5708.1,9898.41501392356,0,2587.09,655.1,0,286.44372944,227.8
5708.1,11430.0003057228,0,2587.09,655.1,0,318.869863555,227.8
5708.1,11916.097477756,0,2587.09,655.1,0,375.417115175,227.8
5708.1,12536.9382923445,0,2587.09,655.1,0,356.86238747,227.8
5708.1,13736.7024317648,0,2587.09,655.1,0,355.61496877,227.8
5708.1,14263.6489564121,20,2587.09,655.1,0,337.57519261,227.8
5708.1,14678.6271725077,20,2587.09,655.1,0,407.7214786,227.8
5708.1,15154.3818069077,20,2587.09,655.1,0,415.515238925,227.8
5708.1,15429.1376713477,20,2587.09,655.1,0,378.70549679,227.8
5708.1,15811.2283629693,20,2587.09,655.1,0,324.73149752,227.8
5708.1,16337.1908202125,21,2587.09,655.1,0,415.035241265,227.8
5708.1,15901.1122462499,20,2587.09,655.1,0,315.958139955,227.8
5708.1,15829.9061774205,20,2587.09,655.1,0,368.56022561,227.8
5708.1,15283.3668318881,20,2587.09,655.1,0,387.845414685,227.8
5708.1,14770.4187561113,20,2587.09,655.1,0,420.088779105,227.8
5708.1,14728.396429789,20,2587.09,655.1,0,468.793879005,227.8
5708.1,13293.996810201,0,2587.09,655.1,0,423.191882105,227.8
5708.1,11937.8303935147,0,2587.09,655.1,0,431.049917145,227.8
