CPT,ENDING,ZONEID,"	MW"
1/14/07,22:45:00,"	242","	18203"
1/14/07,22:45:00,"	244","	11308"
1/14/07,22:45:00,"	246","	2210"
1/14/07,23:00:00,"	240","	5952"
1/14/07,23:00:00,"	242","	18281"
1/14/07,23:00:00,"	244","	11278"
1/14/07,23:00:00,"	246","	2132"
1/14/07,23:15:00,"	240","	5843"
1/14/07,23:15:00,"	242","	17276"
1/14/07,23:15:00,"	244","	10743"
1/14/07,23:15:00,"	246","	1817"
1/14/07,23:30:00,"	240","	5843"
1/14/07,23:30:00,"	242","	17350"
1/14/07,23:30:00,"	244","	10720"
1/14/07,23:30:00,"	246","	1743"
1/14/07,23:45:00,"	240","	5843"
1/14/07,23:45:00,"	242","	17431"
1/14/07,23:45:00,"	244","	10707"
1/14/07,23:45:00,"	246","	1662"
1/15/07,0:00:00,"	240","	5843"
1/15/07,0:00:00,"	242","	17517"
1/15/07,0:00:00,"	244","	10694"
1/15/07,0:00:00,"	246","	1576"
1/15/07,0:15:00,"	240","	6055"
1/15/07,0:15:00,"	242","	16534"
1/15/07,0:15:00,"	244","	10531"
1/15/07,0:15:00,"	246","	1442"
1/15/07,0:30:00,"	240","	6010"
1/15/07,0:30:00,"	242","	16571"
1/15/07,0:30:00,"	244","	10533"
1/15/07,0:30:00,"	246","	1405"
1/15/07,0:45:00,"	240","	5963"
1/15/07,0:45:00,"	242","	16593"
1/15/07,0:45:00,"	244","	10532"
1/15/07,0:45:00,"	246","	1383"
1/15/07,1:00:00,"	240","	5916"
1/15/07,1:00:00,"	242","	16598"
1/15/07,1:00:00,"	244","	10526"
1/15/07,1:00:00,"	246","	1378"
1/15/07,1:15:00,"	240","	5912"
1/15/07,1:15:00,"	242","	16556"
1/15/07,1:15:00,"	244","	10426"
1/15/07,1:15:00,"	246","	1383"
1/15/07,1:30:00,"	240","	5912"
1/15/07,1:30:00,"	242","	16554"
1/15/07,1:30:00,"	244","	10418"
1/15/07,1:30:00,"	246","	1385"
1/15/07,1:45:00,"	240","	5912"
1/15/07,1:45:00,"	242","	16545"
1/15/07,1:45:00,"	244","	10419"
1/15/07,1:45:00,"	246","	1394"
1/15/07,2:00:00,"	240","	5912"
1/15/07,2:00:00,"	242","	16530"
1/15/07,2:00:00,"	244","	10422"
1/15/07,2:00:00,"	246","	1409"
1/15/07,2:15:00,"	240","	5908"
1/15/07,2:15:00,"	242","	16594"
1/15/07,2:15:00,"	244","	10430"
1/15/07,2:15:00,"	246","	1347"
1/15/07,2:30:00,"	240","	5908"
1/15/07,2:30:00,"	242","	16569"
1/15/07,2:30:00,"	244","	10436"
1/15/07,2:30:00,"	246","	1282"
1/15/07,2:45:00,"	240","	5908"
1/15/07,2:45:00,"	242","	16544"
1/15/07,2:45:00,"	244","	10440"
1/15/07,2:45:00,"	246","	1307"
1/15/07,3:00:00,"	240","	5908"
1/15/07,3:00:00,"	242","	16525"
1/15/07,3:00:00,"	244","	10446"
1/15/07,3:00:00,"	246","	1330"
1/15/07,3:15:00,"	240","	5904"
1/15/07,3:15:00,"	242","	16617"
1/15/07,3:15:00,"	244","	10453"
1/15/07,3:15:00,"	246","	1446"
1/15/07,3:30:00,"	240","	5904"
1/15/07,3:30:00,"	242","	16603"
1/15/07,3:30:00,"	244","	10464"
1/15/07,3:30:00,"	246","	1462"
1/15/07,3:45:00,"	240","	5904"
1/15/07,3:45:00,"	242","	16619"
1/15/07,3:45:00,"	244","	10477"
1/15/07,3:45:00,"	246","	1515"
1/15/07,4:00:00,"	240","	5904"
1/15/07,4:00:00,"	242","	16669"
1/15/07,4:00:00,"	244","	10498"
1/15/07,4:00:00,"	246","	1563"
1/15/07,4:15:00,"	240","	5910"
1/15/07,4:15:00,"	242","	17310"
1/15/07,4:15:00,"	244","	10606"
1/15/07,4:15:00,"	246","	1606"
1/15/07,4:30:00,"	240","	5970"
1/15/07,4:30:00,"	242","	17309"
1/15/07,4:30:00,"	244","	10630"
1/15/07,4:30:00,"	246","	1659"
1/15/07,4:45:00,"	240","	6044"
1/15/07,4:45:00,"	242","	17287"
1/15/07,4:45:00,"	244","	10637"
1/15/07,4:45:00,"	246","	1732"
1/15/07,5:00:00,"	240","	6136"
1/15/07,5:00:00,"	242","	17271"
1/15/07,5:00:00,"	244","	10655"
1/15/07,5:00:00,"	246","	1811"
1/15/07,5:15:00,"	240","	6563"
1/15/07,5:15:00,"	242","	18188"
1/15/07,5:15:00,"	244","	10845"
1/15/07,5:15:00,"	246","	1908"
1/15/07,5:30:00,"	240","	6643"
1/15/07,5:30:00,"	242","	18244"
1/15/07,5:30:00,"	244","	10883"
1/15/07,5:30:00,"	246","	1942"
1/15/07,5:45:00,"	240","	6723"
1/15/07,5:45:00,"	242","	18255"
1/15/07,5:45:00,"	244","	10905"
1/15/07,5:45:00,"	246","	1964"
1/15/07,6:00:00,"	240","	6803"
1/15/07,6:00:00,"	242","	18711"
1/15/07,6:00:00,"	244","	11234"
1/15/07,6:00:00,"	246","	2049"
1/15/07,6:15:00,"	240","	8189"
1/15/07,6:15:00,"	242","	20910"
1/15/07,6:15:00,"	244","	11549"
1/15/07,6:15:00,"	246","	2235"
1/15/07,6:30:00,"	240","	8236"
1/15/07,6:30:00,"	242","	20940"
1/15/07,6:30:00,"	244","	11599"
1/15/07,6:30:00,"	246","	2244"
1/15/07,6:45:00,"	240","	8283"
1/15/07,6:45:00,"	242","	20944"
1/15/07,6:45:00,"	244","	11652"
1/15/07,6:45:00,"	246","	2265"
1/15/07,7:00:00,"	240","	8328"
1/15/07,7:00:00,"	242","	20942"
1/15/07,7:00:00,"	244","	11713"
1/15/07,7:00:00,"	246","	2299"
1/15/07,7:15:00,"	240","	8304"
1/15/07,7:15:00,"	242","	21298"
1/15/07,7:15:00,"	244","	11894"
1/15/07,7:15:00,"	246","	2403"
1/15/07,7:30:00,"	240","	8304"
1/15/07,7:30:00,"	242","	21261"
1/15/07,7:30:00,"	244","	11951"
1/15/07,7:30:00,"	246","	2440"
1/15/07,7:45:00,"	240","	8304"
1/15/07,7:45:00,"	242","	21223"
1/15/07,7:45:00,"	244","	11975"
1/15/07,7:45:00,"	246","	2478"
1/15/07,8:00:00,"	240","	8304"
1/15/07,8:00:00,"	242","	21184"
1/15/07,8:00:00,"	244","	11990"
1/15/07,8:00:00,"	246","	2517"
1/15/07,8:15:00,"	240","	8303"
1/15/07,8:15:00,"	242","	21343"
1/15/07,8:15:00,"	244","	11996"
1/15/07,8:15:00,"	246","	2625"
1/15/07,8:30:00,"	240","	8338"
1/15/07,8:30:00,"	242","	21249"
1/15/07,8:30:00,"	244","	12000"
1/15/07,8:30:00,"	246","	2684"
1/15/07,8:45:00,"	240","	8376"
1/15/07,8:45:00,"	242","	21178"
1/15/07,8:45:00,"	244","	12007"
1/15/07,8:45:00,"	246","	2717"
1/15/07,9:00:00,"	240","	8407"
1/15/07,9:00:00,"	242","	21138"
1/15/07,9:00:00,"	244","	12017"
1/15/07,9:00:00,"	246","	2726"
1/15/07,9:15:00,"	240","	8342"
1/15/07,9:15:00,"	242","	21237"
1/15/07,9:15:00,"	244","	12149"
1/15/07,9:15:00,"	246","	2687"
1/15/07,9:30:00,"	240","	8309"
1/15/07,9:30:00,"	242","	21220"
1/15/07,9:30:00,"	244","	12162"
1/15/07,9:30:00,"	246","	2697"
1/15/07,9:45:00,"	240","	8262"
1/15/07,9:45:00,"	242","	21221"
1/15/07,9:45:00,"	244","	12164"
1/15/07,9:45:00,"	246","	2703"
1/15/07,10:00:00,"	240","	8199"
1/15/07,10:00:00,"	242","	21242"
1/15/07,10:00:00,"	244","	12166"
1/15/07,10:00:00,"	246","	2705"
1/15/07,10:15:00,"	240","	8163"
1/15/07,10:15:00,"	242","	20697"
1/15/07,10:15:00,"	244","	12542"
1/15/07,10:15:00,"	246","	2722"
1/15/07,10:30:00,"	240","	8161"
1/15/07,10:30:00,"	242","	20722"
1/15/07,10:30:00,"	244","	12575"
1/15/07,10:30:00,"	246","	2699"
1/15/07,10:45:00,"	240","	8155"
1/15/07,10:45:00,"	242","	20741"
1/15/07,10:45:00,"	244","	12583"
1/15/07,10:45:00,"	246","	2686"
1/15/07,11:00:00,"	240","	8141"
1/15/07,11:00:00,"	242","	20758"
1/15/07,11:00:00,"	244","	12568"
1/15/07,11:00:00,"	246","	2683"
1/15/07,11:15:00,"	240","	8015"
1/15/07,11:15:00,"	242","	20794"
1/15/07,11:15:00,"	244","	12650"
1/15/07,11:15:00,"	246","	2756"
1/15/07,11:30:00,"	240","	7981"
1/15/07,11:30:00,"	242","	20833"
1/15/07,11:30:00,"	244","	12671"
1/15/07,11:30:00,"	246","	2751"
1/15/07,11:45:00,"	240","	7948"
1/15/07,11:45:00,"	242","	20884"
1/15/07,11:45:00,"	244","	12699"
1/15/07,11:45:00,"	246","	2733"
1/15/07,12:00:00,"	240","	7924"
1/15/07,12:00:00,"	242","	20940"
1/15/07,12:00:00,"	244","	12724"
1/15/07,12:00:00,"	246","	2701"
1/15/07,12:15:00,"	240","	8033"
1/15/07,12:15:00,"	242","	20285"
1/15/07,12:15:00,"	244","	12892"
1/15/07,12:15:00,"	246","	2688"
1/15/07,12:30:00,"	240","	8033"
1/15/07,12:30:00,"	242","	20302"
1/15/07,12:30:00,"	244","	12900"
1/15/07,12:30:00,"	246","	2671"
1/15/07,12:45:00,"	240","	8045"
1/15/07,12:45:00,"	242","	20329"
1/15/07,12:45:00,"	244","	12919"
1/15/07,12:45:00,"	246","	2639"
1/15/07,13:00:00,"	240","	8067"
1/15/07,13:00:00,"	242","	20368"
1/15/07,13:00:00,"	244","	12937"
1/15/07,13:00:00,"	246","	2594"
1/15/07,13:15:00,"	240","	7902"
1/15/07,13:15:00,"	242","	19727"
1/15/07,13:15:00,"	244","	12929"
1/15/07,13:15:00,"	246","	2828"
1/15/07,13:30:00,"	240","	7962"
1/15/07,13:30:00,"	242","	19732"
1/15/07,13:30:00,"	244","	12966"
1/15/07,13:30:00,"	246","	2823"
1/15/07,13:45:00,"	240","	8021"
1/15/07,13:45:00,"	242","	19752"
1/15/07,13:45:00,"	244","	13003"
1/15/07,13:45:00,"	246","	2804"
1/15/07,14:00:00,"	240","	8079"
1/15/07,14:00:00,"	242","	19787"
1/15/07,14:00:00,"	244","	13048"
1/15/07,14:00:00,"	246","	2771"
1/15/07,14:15:00,"	240","	8117"
1/15/07,14:15:00,"	242","	19325"
1/15/07,14:15:00,"	244","	13120"
1/15/07,14:15:00,"	246","	2580"
1/15/07,14:30:00,"	240","	8117"
1/15/07,14:30:00,"	242","	19395"
1/15/07,14:30:00,"	244","	13125"
1/15/07,14:30:00,"	246","	2510"
1/15/07,14:45:00,"	240","	8117"
1/15/07,14:45:00,"	242","	19431"
1/15/07,14:45:00,"	244","	13133"
1/15/07,14:45:00,"	246","	2474"
1/15/07,15:00:00,"	240","	8117"
1/15/07,15:00:00,"	242","	19431"
1/15/07,15:00:00,"	244","	13146"
1/15/07,15:00:00,"	246","	2474"
1/15/07,15:15:00,"	240","	8327"
1/15/07,15:15:00,"	242","	19473"
1/15/07,15:15:00,"	244","	12997"
1/15/07,15:15:00,"	246","	2540"
1/15/07,15:30:00,"	240","	8327"
1/15/07,15:30:00,"	242","	19469"
1/15/07,15:30:00,"	244","	13000"
1/15/07,15:30:00,"	246","	2544"
1/15/07,15:45:00,"	240","	8327"
1/15/07,15:45:00,"	242","	19453"
1/15/07,15:45:00,"	244","	13014"
1/15/07,15:45:00,"	246","	2560"
1/15/07,16:00:00,"	240","	8327"
1/15/07,16:00:00,"	242","	19425"
1/15/07,16:00:00,"	244","	13037"
1/15/07,16:00:00,"	246","	2588"
1/15/07,16:15:00,"	240","	8337"
1/15/07,16:15:00,"	242","	20091"
1/15/07,16:15:00,"	244","	13154"
1/15/07,16:15:00,"	246","	2727"
1/15/07,16:30:00,"	240","	8337"
1/15/07,16:30:00,"	242","	20072"
1/15/07,16:30:00,"	244","	13168"
1/15/07,16:30:00,"	246","	2746"
1/15/07,16:45:00,"	240","	8344"
1/15/07,16:45:00,"	242","	20052"
1/15/07,16:45:00,"	244","	13164"
1/15/07,16:45:00,"	246","	2766"
1/15/07,17:00:00,"	240","	8360"
1/15/07,17:00:00,"	242","	20032"
1/15/07,17:00:00,"	244","	13162"
1/15/07,17:00:00,"	246","	2786"
1/15/07,17:15:00,"	240","	8441"
1/15/07,17:15:00,"	242","	20824"
1/15/07,17:15:00,"	244","	13286"
1/15/07,17:15:00,"	246","	2869"
1/15/07,17:30:00,"	240","	8481"
1/15/07,17:30:00,"	242","	20809"
1/15/07,17:30:00,"	244","	13277"
1/15/07,17:30:00,"	246","	2884"
1/15/07,17:45:00,"	240","	8521"
1/15/07,17:45:00,"	242","	20800"
1/15/07,17:45:00,"	244","	13308"
1/15/07,17:45:00,"	246","	2893"
1/15/07,18:00:00,"	240","	8561"
1/15/07,18:00:00,"	242","	20798"
1/15/07,18:00:00,"	244","	13321"
1/15/07,18:00:00,"	246","	2895"
1/15/07,18:15:00,"	240","	8738"
1/15/07,18:15:00,"	242","	21095"
1/15/07,18:15:00,"	244","	13496"
1/15/07,18:15:00,"	246","	2974"
1/15/07,18:30:00,"	240","	8738"
1/15/07,18:30:00,"	242","	21118"
1/15/07,18:30:00,"	244","	13519"
1/15/07,18:30:00,"	246","	2951"
1/15/07,18:45:00,"	240","	8738"
1/15/07,18:45:00,"	242","	21131"
1/15/07,18:45:00,"	244","	13536"
1/15/07,18:45:00,"	246","	2938"
1/15/07,19:00:00,"	240","	8738"
1/15/07,19:00:00,"	242","	21134"
1/15/07,19:00:00,"	244","	13549"
1/15/07,19:00:00,"	246","	2935"
1/15/07,19:15:00,"	240","	8932"
1/15/07,19:15:00,"	242","	21218"
1/15/07,19:15:00,"	244","	13601"
1/15/07,19:15:00,"	246","	2996"
1/15/07,19:30:00,"	240","	8932"
1/15/07,19:30:00,"	242","	21218"
1/15/07,19:30:00,"	244","	13592"
1/15/07,19:30:00,"	246","	2996"
1/15/07,19:45:00,"	240","	8932"
1/15/07,19:45:00,"	242","	21218"
1/15/07,19:45:00,"	244","	13580"
1/15/07,19:45:00,"	246","	2996"
1/15/07,20:00:00,"	240","	8932"
1/15/07,20:00:00,"	242","	21218"
1/15/07,20:00:00,"	244","	13551"
1/15/07,20:00:00,"	246","	2996"
1/15/07,20:15:00,"	240","	8731"
1/15/07,20:15:00,"	242","	20903"
1/15/07,20:15:00,"	244","	13449"
1/15/07,20:15:00,"	246","	3243"
1/15/07,20:30:00,"	240","	8731"
1/15/07,20:30:00,"	242","	20889"
1/15/07,20:30:00,"	244","	13397"
1/15/07,20:30:00,"	246","	3257"
1/15/07,20:45:00,"	240","	8731"
1/15/07,20:45:00,"	242","	20901"
1/15/07,20:45:00,"	244","	13334"
1/15/07,20:45:00,"	246","	3245"
1/15/07,21:00:00,"	240","	8731"
1/15/07,21:00:00,"	242","	20938"
1/15/07,21:00:00,"	244","	13268"
1/15/07,21:00:00,"	246","	3208"
1/15/07,21:15:00,"	240","	8549"
1/15/07,21:15:00,"	242","	21006"
1/15/07,21:15:00,"	244","	13291"
1/15/07,21:15:00,"	246","	3195"
1/15/07,21:30:00,"	240","	8549"
1/15/07,21:30:00,"	242","	21023"
1/15/07,21:30:00,"	244","	13247"
1/15/07,21:30:00,"	246","	3178"
1/15/07,21:45:00,"	240","	8549"
1/15/07,21:45:00,"	242","	21054"
1/15/07,21:45:00,"	244","	13234"
1/15/07,21:45:00,"	246","	3147"
1/15/07,22:00:00,"	240","	8549"
1/15/07,22:00:00,"	242","	21099"
1/15/07,22:00:00,"	244","	13245"
1/15/07,22:00:00,"	246","	3102"
1/15/07,22:15:00,"	240","	7268"
1/15/07,22:15:00,"	242","	19005"
1/15/07,22:15:00,"	244","	13294"
1/15/07,22:15:00,"	246","	2352"
1/15/07,22:30:00,"	240","	7268"
1/15/07,22:30:00,"	242","	19033"
1/15/07,22:30:00,"	244","	13305"
1/15/07,22:30:00,"	246","	2308"
1/15/07,22:45:00,"	240","	7268"
1/15/07,22:45:00,"	242","	19073"
1/15/07,22:45:00,"	244","	13292"
1/15/07,22:45:00,"	246","	2268"
1/15/07,23:00:00,"	240","	7268"
1/15/07,23:00:00,"	242","	19109"
1/15/07,23:00:00,"	244","	13249"
1/15/07,23:00:00,"	246","	2232"
1/15/07,23:15:00,"	240","	7224"
1/15/07,23:15:00,"	242","	18317"
1/15/07,23:15:00,"	244","	12793"
1/15/07,23:15:00,"	246","	2153"
1/15/07,23:30:00,"	240","	7224"
1/15/07,23:30:00,"	242","	18365"
1/15/07,23:30:00,"	244","	12751"
1/15/07,23:30:00,"	246","	2105"
1/15/07,23:45:00,"	240","	7224"
1/15/07,23:45:00,"	242","	18416"
1/15/07,23:45:00,"	244","	12705"
1/15/07,23:45:00,"	246","	2054"
1/16/07,0:00:00,"	240","	7224"
1/16/07,0:00:00,"	242","	18467"
1/16/07,0:00:00,"	244","	12647"
1/16/07,0:00:00,"	246","	2003"
1/16/07,0:15:00,"	240","	7828"
1/16/07,0:15:00,"	242","	17928"
1/16/07,0:15:00,"	244","	11828"
1/16/07,0:15:00,"	246","	1952"
1/16/07,0:30:00,"	240","	7788"
1/16/07,0:30:00,"	242","	17972"
1/16/07,0:30:00,"	244","	11825"
1/16/07,0:30:00,"	246","	1908"
1/16/07,0:45:00,"	240","	7748"
1/16/07,0:45:00,"	242","	17989"
1/16/07,0:45:00,"	244","	11824"
1/16/07,0:45:00,"	246","	1891"
1/16/07,1:00:00,"	240","	7708"
1/16/07,1:00:00,"	242","	17980"
1/16/07,1:00:00,"	244","	11819"
1/16/07,1:00:00,"	246","	1900"
1/16/07,1:15:00,"	240","	7351"
1/16/07,1:15:00,"	242","	17537"
1/16/07,1:15:00,"	244","	11547"
1/16/07,1:15:00,"	246","	2134"
1/16/07,1:30:00,"	240","	7351"
1/16/07,1:30:00,"	242","	17527"
1/16/07,1:30:00,"	244","	11530"
1/16/07,1:30:00,"	246","	2144"
1/16/07,1:45:00,"	240","	7351"
1/16/07,1:45:00,"	242","	17530"
1/16/07,1:45:00,"	244","	11525"
1/16/07,1:45:00,"	246","	2141"
1/16/07,2:00:00,"	240","	7351"
1/16/07,2:00:00,"	242","	17544"
1/16/07,2:00:00,"	244","	11530"
1/16/07,2:00:00,"	246","	2127"
1/16/07,2:15:00,"	240","	7351"
1/16/07,2:15:00,"	242","	17763"
1/16/07,2:15:00,"	244","	11658"
1/16/07,2:15:00,"	246","	1983"
1/16/07,2:30:00,"	240","	7351"
1/16/07,2:30:00,"	242","	17779"
1/16/07,2:30:00,"	244","	11667"
1/16/07,2:30:00,"	246","	1967"
1/16/07,2:45:00,"	240","	7351"
1/16/07,2:45:00,"	242","	17788"
1/16/07,2:45:00,"	244","	11674"
1/16/07,2:45:00,"	246","	1958"
1/16/07,3:00:00,"	240","	7351"
1/16/07,3:00:00,"	242","	17790"
1/16/07,3:00:00,"	244","	11676"
1/16/07,3:00:00,"	246","	1956"
1/16/07,3:15:00,"	240","	7351"
1/16/07,3:15:00,"	242","	17869"
1/16/07,3:15:00,"	244","	11707"
1/16/07,3:15:00,"	246","	2131"
1/16/07,3:30:00,"	240","	7351"
1/16/07,3:30:00,"	242","	17868"
1/16/07,3:30:00,"	244","	11712"
1/16/07,3:30:00,"	246","	2132"
1/16/07,3:45:00,"	240","	7351"
1/16/07,3:45:00,"	242","	17864"
1/16/07,3:45:00,"	244","	11720"
1/16/07,3:45:00,"	246","	2136"
1/16/07,4:00:00,"	240","	7351"
1/16/07,4:00:00,"	242","	17859"
1/16/07,4:00:00,"	244","	11741"
1/16/07,4:00:00,"	246","	2141"
1/16/07,4:15:00,"	240","	7594"
1/16/07,4:15:00,"	242","	18336"
1/16/07,4:15:00,"	244","	11970"
1/16/07,4:15:00,"	246","	2154"
1/16/07,4:30:00,"	240","	7594"
1/16/07,4:30:00,"	242","	18322"
1/16/07,4:30:00,"	244","	11974"
1/16/07,4:30:00,"	246","	2176"
1/16/07,4:45:00,"	240","	7601"
1/16/07,4:45:00,"	242","	18291"
1/16/07,4:45:00,"	244","	11962"
1/16/07,4:45:00,"	246","	2207"
1/16/07,5:00:00,"	240","	7617"
1/16/07,5:00:00,"	242","	18261"
1/16/07,5:00:00,"	244","	11966"
1/16/07,5:00:00,"	246","	2271"
1/16/07,5:15:00,"	240","	7977"
1/16/07,5:15:00,"	242","	19495"
1/16/07,5:15:00,"	244","	12455"
1/16/07,5:15:00,"	246","	2867"
1/16/07,5:30:00,"	240","	8017"
1/16/07,5:30:00,"	242","	19478"
1/16/07,5:30:00,"	244","	12501"
1/16/07,5:30:00,"	246","	2920"
1/16/07,5:45:00,"	240","	8057"
1/16/07,5:45:00,"	242","	19454"
1/16/07,5:45:00,"	244","	12551"
1/16/07,5:45:00,"	246","	2957"
1/16/07,6:00:00,"	240","	8097"
1/16/07,6:00:00,"	242","	19682"
1/16/07,6:00:00,"	244","	13016"
1/16/07,6:00:00,"	246","	3034"
1/16/07,6:15:00,"	240","	9284"
1/16/07,6:15:00,"	242","	20518"
1/16/07,6:15:00,"	244","	13833"
1/16/07,6:15:00,"	246","	3285"
1/16/07,6:30:00,"	240","	9884"
1/16/07,6:30:00,"	242","	20524"
1/16/07,6:30:00,"	244","	13921"
1/16/07,6:30:00,"	246","	3279"
1/16/07,6:45:00,"	240","	10484"
1/16/07,6:45:00,"	242","	20524"
1/16/07,6:45:00,"	244","	13984"
1/16/07,6:45:00,"	246","	3279"
1/16/07,7:00:00,"	240","	10584"
1/16/07,7:00:00,"	242","	20518"
1/16/07,7:00:00,"	244","	14058"
1/16/07,7:00:00,"	246","	3285"
1/16/07,7:15:00,"	240","	10678"
1/16/07,7:15:00,"	242","	20941"
1/16/07,7:15:00,"	244","	14350"
1/16/07,7:15:00,"	246","	3315"
1/16/07,7:30:00,"	240","	10678"
1/16/07,7:30:00,"	242","	20937"
1/16/07,7:30:00,"	244","	14379"
1/16/07,7:30:00,"	246","	3319"
1/16/07,7:45:00,"	240","	10678"
1/16/07,7:45:00,"	242","	20947"
1/16/07,7:45:00,"	244","	14387"
1/16/07,7:45:00,"	246","	3309"
1/16/07,8:00:00,"	240","	10678"
1/16/07,8:00:00,"	242","	20971"
1/16/07,8:00:00,"	244","	14380"
1/16/07,8:00:00,"	246","	3285"
1/16/07,8:15:00,"	240","	10575"
1/16/07,8:15:00,"	242","	20565"
1/16/07,8:15:00,"	244","	14197"
1/16/07,8:15:00,"	246","	3232"
1/16/07,8:30:00,"	240","	10535"
1/16/07,8:30:00,"	242","	20592"
1/16/07,8:30:00,"	244","	14179"
1/16/07,8:30:00,"	246","	3205"
1/16/07,8:45:00,"	240","	10495"
1/16/07,8:45:00,"	242","	20615"
1/16/07,8:45:00,"	244","	14166"
1/16/07,8:45:00,"	246","	3182"
1/16/07,9:00:00,"	240","	10455"
1/16/07,9:00:00,"	242","	20636"
1/16/07,9:00:00,"	244","	14154"
1/16/07,9:00:00,"	246","	3161"
1/16/07,9:15:00,"	240","	10253"
1/16/07,9:15:00,"	242","	20045"
1/16/07,9:15:00,"	244","	13669"
1/16/07,9:15:00,"	246","	2808"
1/16/07,9:30:00,"	240","	10293"
1/16/07,9:30:00,"	242","	20115"
1/16/07,9:30:00,"	244","	13669"
1/16/07,9:30:00,"	246","	2738"
1/16/07,9:45:00,"	240","	10333"
1/16/07,9:45:00,"	242","	20187"
1/16/07,9:45:00,"	244","	13660"
1/16/07,9:45:00,"	246","	2666"
1/16/07,10:00:00,"	240","	10373"
1/16/07,10:00:00,"	242","	20262"
1/16/07,10:00:00,"	244","	13650"
1/16/07,10:00:00,"	246","	2591"
1/16/07,10:15:00,"	240","	10476"
1/16/07,10:15:00,"	242","	19499"
1/16/07,10:15:00,"	244","	13646"
1/16/07,10:15:00,"	246","	2306"
1/16/07,10:30:00,"	240","	10476"
1/16/07,10:30:00,"	242","	19557"
1/16/07,10:30:00,"	244","	13641"
1/16/07,10:30:00,"	246","	2247"
1/16/07,10:45:00,"	240","	10476"
1/16/07,10:45:00,"	242","	19583"
1/16/07,10:45:00,"	244","	13627"
1/16/07,10:45:00,"	246","	2221"
1/16/07,11:00:00,"	240","	10476"
1/16/07,11:00:00,"	242","	19578"
1/16/07,11:00:00,"	244","	13610"
1/16/07,11:00:00,"	246","	2226"
1/16/07,11:15:00,"	240","	10318"
1/16/07,11:15:00,"	242","	19204"
1/16/07,11:15:00,"	244","	13368"
1/16/07,11:15:00,"	246","	2329"
1/16/07,11:30:00,"	240","	10318"
1/16/07,11:30:00,"	242","	19211"
1/16/07,11:30:00,"	244","	13372"
1/16/07,11:30:00,"	246","	2330"
1/16/07,11:45:00,"	240","	10318"
1/16/07,11:45:00,"	242","	19252"
1/16/07,11:45:00,"	244","	13388"
1/16/07,11:45:00,"	246","	2290"
1/16/07,12:00:00,"	240","	10318"
1/16/07,12:00:00,"	242","	19340"
1/16/07,12:00:00,"	244","	13416"
1/16/07,12:00:00,"	246","	2208"
1/16/07,12:15:00,"	240","	10366"
1/16/07,12:15:00,"	242","	18764"
1/16/07,12:15:00,"	244","	13472"
1/16/07,12:15:00,"	246","	1923"
1/16/07,12:30:00,"	240","	10366"
1/16/07,12:30:00,"	242","	18828"
1/16/07,12:30:00,"	244","	13541"
1/16/07,12:30:00,"	246","	1914"
1/16/07,12:45:00,"	240","	10366"
1/16/07,12:45:00,"	242","	18840"
1/16/07,12:45:00,"	244","	13546"
1/16/07,12:45:00,"	246","	1909"
1/16/07,13:00:00,"	240","	10366"
1/16/07,13:00:00,"	242","	18904"
1/16/07,13:00:00,"	244","	13549"
1/16/07,13:00:00,"	246","	1908"
1/16/07,13:15:00,"	240","	10426"
1/16/07,13:15:00,"	242","	18371"
1/16/07,13:15:00,"	244","	13508"
1/16/07,13:15:00,"	246","	1952"
1/16/07,13:30:00,"	240","	10426"
1/16/07,13:30:00,"	242","	18397"
1/16/07,13:30:00,"	244","	13509"
1/16/07,13:30:00,"	246","	1926"
1/16/07,13:45:00,"	240","	10426"
1/16/07,13:45:00,"	242","	18411"
1/16/07,13:45:00,"	244","	13520"
1/16/07,13:45:00,"	246","	1912"
1/16/07,14:00:00,"	240","	10426"
1/16/07,14:00:00,"	242","	18415"
1/16/07,14:00:00,"	244","	13517"
1/16/07,14:00:00,"	246","	1908"
1/16/07,14:15:00,"	240","	10378"
1/16/07,14:15:00,"	242","	18192"
1/16/07,14:15:00,"	244","	13586"
1/16/07,14:15:00,"	246","	1838"
1/16/07,14:30:00,"	240","	10378"
1/16/07,14:30:00,"	242","	18198"
1/16/07,14:30:00,"	244","	13584"
1/16/07,14:30:00,"	246","	1838"
1/16/07,14:45:00,"	240","	10378"
1/16/07,14:45:00,"	242","	18242"
1/16/07,14:45:00,"	244","	13579"
1/16/07,14:45:00,"	246","	1838"
1/16/07,15:00:00,"	240","	10378"
1/16/07,15:00:00,"	242","	18274"
1/16/07,15:00:00,"	244","	13571"
1/16/07,15:00:00,"	246","	1838"
1/16/07,15:15:00,"	240","	10408"
1/16/07,15:15:00,"	242","	18470"
1/16/07,15:15:00,"	244","	13373"
1/16/07,15:15:00,"	246","	1838"
1/16/07,15:30:00,"	240","	10408"
1/16/07,15:30:00,"	242","	18470"
1/16/07,15:30:00,"	244","	13367"
1/16/07,15:30:00,"	246","	1838"
1/16/07,15:45:00,"	240","	10408"
1/16/07,15:45:00,"	242","	18470"
1/16/07,15:45:00,"	244","	13370"
1/16/07,15:45:00,"	246","	1838"
1/16/07,16:00:00,"	240","	10408"
1/16/07,16:00:00,"	242","	18470"
1/16/07,16:00:00,"	244","	13386"
1/16/07,16:00:00,"	246","	1838"
1/16/07,16:15:00,"	240","	10459"
1/16/07,16:15:00,"	242","	19074"
