CPT,ENDING,ZONEID,"	MW"
1/1/07,8:30:00,"	240","	6009"
1/1/07,8:30:00,"	242","	16604"
1/1/07,8:30:00,"	244","	9965"
1/1/07,8:30:00,"	246","	2448"
1/1/07,8:45:00,"	240","	6038"
1/1/07,8:45:00,"	242","	16567"
1/1/07,8:45:00,"	244","	9975"
1/1/07,8:45:00,"	246","	2295"
1/1/07,9:00:00,"	240","	6061"
1/1/07,9:00:00,"	242","	16547"
1/1/07,9:00:00,"	244","	9981"
1/1/07,9:00:00,"	246","	2249"
1/1/07,9:15:00,"	240","	6112"
1/1/07,9:15:00,"	242","	16318"
1/1/07,9:15:00,"	244","	9850"
1/1/07,9:15:00,"	246","	2165"
1/1/07,9:30:00,"	240","	6072"
1/1/07,9:30:00,"	242","	16318"
1/1/07,9:30:00,"	244","	9813"
1/1/07,9:30:00,"	246","	2106"
1/1/07,9:45:00,"	240","	6027"
1/1/07,9:45:00,"	242","	16323"
1/1/07,9:45:00,"	244","	9779"
1/1/07,9:45:00,"	246","	2015"
1/1/07,10:00:00,"	240","	5981"
1/1/07,10:00:00,"	242","	16329"
1/1/07,10:00:00,"	244","	9742"
1/1/07,10:00:00,"	246","	1987"
1/1/07,10:15:00,"	240","	5747"
1/1/07,10:15:00,"	242","	15955"
1/1/07,10:15:00,"	244","	9568"
1/1/07,10:15:00,"	246","	1972"
1/1/07,10:30:00,"	240","	5747"
1/1/07,10:30:00,"	242","	15955"
1/1/07,10:30:00,"	244","	9532"
1/1/07,10:30:00,"	246","	1966"
1/1/07,10:45:00,"	240","	5747"
1/1/07,10:45:00,"	242","	15955"
1/1/07,10:45:00,"	244","	9490"
1/1/07,10:45:00,"	246","	1947"
1/1/07,11:00:00,"	240","	5747"
1/1/07,11:00:00,"	242","	15955"
1/1/07,11:00:00,"	244","	9446"
1/1/07,11:00:00,"	246","	1947"
1/1/07,11:15:00,"	240","	5662"
1/1/07,11:15:00,"	242","	15921"
1/1/07,11:15:00,"	244","	9275"
1/1/07,11:15:00,"	246","	1931"
1/1/07,11:30:00,"	240","	5662"
1/1/07,11:30:00,"	242","	15929"
1/1/07,11:30:00,"	244","	9260"
1/1/07,11:30:00,"	246","	1916"
1/1/07,11:45:00,"	240","	5662"
1/1/07,11:45:00,"	242","	15960"
1/1/07,11:45:00,"	244","	9275"
1/1/07,11:45:00,"	246","	1845"
1/1/07,12:00:00,"	240","	5662"
1/1/07,12:00:00,"	242","	16015"
1/1/07,12:00:00,"	244","	9306"
1/1/07,12:00:00,"	246","	1779"
1/1/07,12:15:00,"	240","	6310"
1/1/07,12:15:00,"	242","	14943"
1/1/07,12:15:00,"	244","	9172"
1/1/07,12:15:00,"	246","	1317"
1/1/07,12:30:00,"	240","	6310"
1/1/07,12:30:00,"	242","	14943"
1/1/07,12:30:00,"	244","	9208"
1/1/07,12:30:00,"	246","	1319"
1/1/07,12:45:00,"	240","	6310"
1/1/07,12:45:00,"	242","	14943"
1/1/07,12:45:00,"	244","	9218"
1/1/07,12:45:00,"	246","	1320"
1/1/07,13:00:00,"	240","	6310"
1/1/07,13:00:00,"	242","	14943"
1/1/07,13:00:00,"	244","	9202"
1/1/07,13:00:00,"	246","	1326"
1/1/07,13:15:00,"	240","	6229"
1/1/07,13:15:00,"	242","	14803"
1/1/07,13:15:00,"	244","	9092"
1/1/07,13:15:00,"	246","	1360"
1/1/07,13:30:00,"	240","	6229"
1/1/07,13:30:00,"	242","	14803"
1/1/07,13:30:00,"	244","	9053"
1/1/07,13:30:00,"	246","	1359"
1/1/07,13:45:00,"	240","	6229"
1/1/07,13:45:00,"	242","	14803"
1/1/07,13:45:00,"	244","	9025"
1/1/07,13:45:00,"	246","	1348"
1/1/07,14:00:00,"	240","	6229"
1/1/07,14:00:00,"	242","	14803"
1/1/07,14:00:00,"	244","	9006"
1/1/07,14:00:00,"	246","	1350"
1/1/07,14:15:00,"	240","	6215"
1/1/07,14:15:00,"	242","	14616"
1/1/07,14:15:00,"	244","	8938"
1/1/07,14:15:00,"	246","	1352"
1/1/07,14:30:00,"	240","	6215"
1/1/07,14:30:00,"	242","	14622"
1/1/07,14:30:00,"	244","	8932"
1/1/07,14:30:00,"	246","	1352"
1/1/07,14:45:00,"	240","	6215"
1/1/07,14:45:00,"	242","	14622"
1/1/07,14:45:00,"	244","	8925"
1/1/07,14:45:00,"	246","	1353"
1/1/07,15:00:00,"	240","	6215"
1/1/07,15:00:00,"	242","	14622"
1/1/07,15:00:00,"	244","	8917"
1/1/07,15:00:00,"	246","	1356"
1/1/07,15:15:00,"	240","	6209"
1/1/07,15:15:00,"	242","	14427"
1/1/07,15:15:00,"	244","	8867"
1/1/07,15:15:00,"	246","	1380"
1/1/07,15:30:00,"	240","	6209"
1/1/07,15:30:00,"	242","	14458"
1/1/07,15:30:00,"	244","	8871"
1/1/07,15:30:00,"	246","	1380"
1/1/07,15:45:00,"	240","	6209"
1/1/07,15:45:00,"	242","	14474"
1/1/07,15:45:00,"	244","	8888"
1/1/07,15:45:00,"	246","	1382"
1/1/07,16:00:00,"	240","	6209"
1/1/07,16:00:00,"	242","	14512"
1/1/07,16:00:00,"	244","	8919"
1/1/07,16:00:00,"	246","	1382"
1/1/07,16:15:00,"	240","	6006"
1/1/07,16:15:00,"	242","	14783"
1/1/07,16:15:00,"	244","	8924"
1/1/07,16:15:00,"	246","	1421"
1/1/07,16:30:00,"	240","	6006"
1/1/07,16:30:00,"	242","	14798"
1/1/07,16:30:00,"	244","	8937"
1/1/07,16:30:00,"	246","	1422"
1/1/07,16:45:00,"	240","	6005"
1/1/07,16:45:00,"	242","	14844"
1/1/07,16:45:00,"	244","	8928"
1/1/07,16:45:00,"	246","	1425"
1/1/07,17:00:00,"	240","	6003"
1/1/07,17:00:00,"	242","	14901"
1/1/07,17:00:00,"	244","	8903"
1/1/07,17:00:00,"	246","	1427"
1/1/07,17:15:00,"	240","	5958"
1/1/07,17:15:00,"	242","	15800"
1/1/07,17:15:00,"	244","	9063"
1/1/07,17:15:00,"	246","	1629"
1/1/07,17:30:00,"	240","	5957"
1/1/07,17:30:00,"	242","	15749"
1/1/07,17:30:00,"	244","	9039"
1/1/07,17:30:00,"	246","	1681"
1/1/07,17:45:00,"	240","	5964"
1/1/07,17:45:00,"	242","	15697"
1/1/07,17:45:00,"	244","	9051"
1/1/07,17:45:00,"	246","	1745"
1/1/07,18:00:00,"	240","	5983"
1/1/07,18:00:00,"	242","	15642"
1/1/07,18:00:00,"	244","	9099"
1/1/07,18:00:00,"	246","	1800"
1/1/07,18:15:00,"	240","	6636"
1/1/07,18:15:00,"	242","	15949"
1/1/07,18:15:00,"	244","	9467"
1/1/07,18:15:00,"	246","	2153"
1/1/07,18:30:00,"	240","	6679"
1/1/07,18:30:00,"	242","	15850"
1/1/07,18:30:00,"	244","	9534"
1/1/07,18:30:00,"	246","	2248"
1/1/07,18:45:00,"	240","	6719"
1/1/07,18:45:00,"	242","	15796"
1/1/07,18:45:00,"	244","	9584"
1/1/07,18:45:00,"	246","	2314"
1/1/07,19:00:00,"	240","	6754"
1/1/07,19:00:00,"	242","	15788"
1/1/07,19:00:00,"	244","	9617"
1/1/07,19:00:00,"	246","	2328"
1/1/07,19:15:00,"	240","	6759"
1/1/07,19:15:00,"	242","	15708"
1/1/07,19:15:00,"	244","	9715"
1/1/07,19:15:00,"	246","	2132"
1/1/07,19:30:00,"	240","	6733"
1/1/07,19:30:00,"	242","	15734"
1/1/07,19:30:00,"	244","	9718"
1/1/07,19:30:00,"	246","	2131"
1/1/07,19:45:00,"	240","	6699"
1/1/07,19:45:00,"	242","	15768"
1/1/07,19:45:00,"	244","	9714"
1/1/07,19:45:00,"	246","	2149"
1/1/07,20:00:00,"	240","	6657"
1/1/07,20:00:00,"	242","	15810"
1/1/07,20:00:00,"	244","	9705"
1/1/07,20:00:00,"	246","	2152"
1/1/07,20:15:00,"	240","	6692"
1/1/07,20:15:00,"	242","	15550"
1/1/07,20:15:00,"	244","	9715"
1/1/07,20:15:00,"	246","	2241"
1/1/07,20:30:00,"	240","	6719"
1/1/07,20:30:00,"	242","	15530"
1/1/07,20:30:00,"	244","	9707"
1/1/07,20:30:00,"	246","	2233"
1/1/07,20:45:00,"	240","	6746"
1/1/07,20:45:00,"	242","	15531"
1/1/07,20:45:00,"	244","	9693"
1/1/07,20:45:00,"	246","	2209"
1/1/07,21:00:00,"	240","	6563"
1/1/07,21:00:00,"	242","	15565"
1/1/07,21:00:00,"	244","	9677"
1/1/07,21:00:00,"	246","	2158"
1/1/07,21:15:00,"	240","	6541"
1/1/07,21:15:00,"	242","	15466"
1/1/07,21:15:00,"	244","	9615"
1/1/07,21:15:00,"	246","	2140"
1/1/07,21:30:00,"	240","	6491"
1/1/07,21:30:00,"	242","	15518"
1/1/07,21:30:00,"	244","	9605"
1/1/07,21:30:00,"	246","	2090"
1/1/07,21:45:00,"	240","	6435"
1/1/07,21:45:00,"	242","	15620"
1/1/07,21:45:00,"	244","	9595"
1/1/07,21:45:00,"	246","	2058"
1/1/07,22:00:00,"	240","	6377"
1/1/07,22:00:00,"	242","	15709"
1/1/07,22:00:00,"	244","	9577"
1/1/07,22:00:00,"	246","	2038"
1/1/07,22:15:00,"	240","	6188"
1/1/07,22:15:00,"	242","	13893"
1/1/07,22:15:00,"	244","	9283"
1/1/07,22:15:00,"	246","	1936"
1/1/07,22:30:00,"	240","	6211"
