CPT,"ENDING	",ZONEID,MW
8/20/01,4:30:00,"	28","	20463"
8/20/01,4:45:00,"	24","	2425"
8/20/01,4:45:00,"	26","	7753"
8/20/01,4:45:00,"	28","	20534"
8/20/01,5:00:00,"	24","	2420"
8/20/01,5:00:00,"	26","	7785"
8/20/01,5:00:00,"	28","	20584"
8/20/01,5:15:00,"	24","	2532"
8/20/01,5:15:00,"	26","	7884"
8/20/01,5:15:00,"	28","	20895"
8/20/01,5:30:00,"	24","	2527"
8/20/01,5:30:00,"	26","	7872"
8/20/01,5:30:00,"	28","	21037"
8/20/01,5:45:00,"	24","	2526"
8/20/01,5:45:00,"	26","	7832"
8/20/01,5:45:00,"	28","	21221"
8/20/01,6:00:00,"	24","	2525"
8/20/01,6:00:00,"	26","	7766"
8/20/01,6:00:00,"	28","	21416"
8/20/01,6:15:00,"	24","	2619"
8/20/01,6:15:00,"	26","	8048"
8/20/01,6:15:00,"	28","	22946"
8/20/01,6:30:00,"	24","	2619"
8/20/01,6:30:00,"	26","	8008"
8/20/01,6:30:00,"	28","	23111"
8/20/01,6:45:00,"	24","	2630"
8/20/01,6:45:00,"	26","	8046"
8/20/01,6:45:00,"	28","	23300"
8/20/01,7:00:00,"	24","	2648"
8/20/01,7:00:00,"	26","	8155"
8/20/01,7:00:00,"	28","	23478"
8/20/01,7:15:00,"	24","	2626"
8/20/01,7:15:00,"	26","	8449"
8/20/01,7:15:00,"	28","	24121"
8/20/01,7:30:00,"	24","	2646"
8/20/01,7:30:00,"	26","	8570"
8/20/01,7:30:00,"	28","	24319"
8/20/01,7:45:00,"	24","	2673"
8/20/01,7:45:00,"	26","	8705"
8/20/01,7:45:00,"	28","	24473"
8/20/01,8:00:00,"	24","	2713"
8/20/01,8:00:00,"	26","	8856"
8/20/01,8:00:00,"	28","	24649"
8/20/01,8:15:00,"	24","	2776"
8/20/01,8:15:00,"	26","	9718"
8/20/01,8:15:00,"	28","	25002"
8/20/01,8:30:00,"	24","	2818"
8/20/01,8:30:00,"	26","	10005"
8/20/01,8:30:00,"	28","	25220"
8/20/01,8:45:00,"	24","	2855"
8/20/01,8:45:00,"	26","	10249"
8/20/01,8:45:00,"	28","	25565"
8/20/01,9:00:00,"	24","	2890"
8/20/01,9:00:00,"	26","	10446"
8/20/01,9:00:00,"	28","	25935"
8/20/01,9:15:00,"	24","	3061"
8/20/01,9:15:00,"	26","	10328"
8/20/01,9:15:00,"	28","	26622"
8/20/01,9:30:00,"	24","	3094"
8/20/01,9:30:00,"	26","	10521"
8/20/01,9:30:00,"	28","	27019"
8/20/01,9:45:00,"	24","	3144"
8/20/01,9:45:00,"	26","	10743"
8/20/01,9:45:00,"	28","	27420"
8/20/01,10:00:00,"	24","	3191"
8/20/01,10:00:00,"	26","	10982"
8/20/01,10:00:00,"	28","	27847"
8/20/01,10:15:00,"	24","	3186"
8/20/01,10:15:00,"	26","	11413"
8/20/01,10:15:00,"	28","	28654"
8/20/01,10:30:00,"	24","	3231"
8/20/01,10:30:00,"	26","	11710"
8/20/01,10:30:00,"	28","	29068"
8/20/01,10:45:00,"	24","	3274"
8/20/01,10:45:00,"	26","	11857"
8/20/01,10:45:00,"	28","	29442"
8/20/01,11:00:00,"	24","	3317"
8/20/01,11:00:00,"	26","	11939"
8/20/01,11:00:00,"	28","	29798"
8/20/01,11:15:00,"	24","	3347"
8/20/01,11:15:00,"	26","	12669"
8/20/01,11:15:00,"	28","	30741"
8/20/01,11:30:00,"	24","	3392"
8/20/01,11:30:00,"	26","	12779"
8/20/01,11:30:00,"	28","	31040"
8/20/01,11:45:00,"	24","	3447"
8/20/01,11:45:00,"	26","	12927"
8/20/01,11:45:00,"	28","	31329"
8/20/01,12:00:00,"	24","	3504"
8/20/01,12:00:00,"	26","	13120"
8/20/01,12:00:00,"	28","	31607"
8/20/01,12:15:00,"	24","	3499"
8/20/01,12:15:00,"	26","	13980"
8/20/01,12:15:00,"	28","	31423"
8/20/01,12:30:00,"	24","	3568"
8/20/01,12:30:00,"	26","	14198"
8/20/01,12:30:00,"	28","	31535"
8/20/01,12:45:00,"	24","	3659"
8/20/01,12:45:00,"	26","	14348"
8/20/01,12:45:00,"	28","	31715"
8/20/01,13:00:00,"	24","	3778"
8/20/01,13:00:00,"	26","	14442"
8/20/01,13:00:00,"	28","	31943"
8/20/01,13:15:00,"	24","	4086"
8/20/01,13:15:00,"	26","	14034"
8/20/01,13:15:00,"	28","	32776"
8/20/01,13:30:00,"	24","	4204"
8/20/01,13:30:00,"	26","	14089"
8/20/01,13:30:00,"	28","	33066"
8/20/01,13:45:00,"	24","	4287"
8/20/01,13:45:00,"	26","	14173"
8/20/01,13:45:00,"	28","	33318"
8/20/01,14:00:00,"	24","	4337"
8/20/01,14:00:00,"	26","	14279"
8/20/01,14:00:00,"	28","	33546"
8/20/01,14:15:00,"	24","	4347"
8/20/01,14:15:00,"	26","	14459"
8/20/01,14:15:00,"	28","	34060"
8/20/01,14:30:00,"	24","	4385"
8/20/01,14:30:00,"	26","	14541"
8/20/01,14:30:00,"	28","	34260"
8/20/01,14:45:00,"	24","	4411"
8/20/01,14:45:00,"	26","	14646"
8/20/01,14:45:00,"	28","	34431"
8/20/01,15:00:00,"	24","	4428"
8/20/01,15:00:00,"	26","	14768"
8/20/01,15:00:00,"	28","	34599"
8/20/01,15:15:00,"	24","	4432"
8/20/01,15:15:00,"	26","	14833"
8/20/01,15:15:00,"	28","	35116"
8/20/01,15:30:00,"	24","	4446"
8/20/01,15:30:00,"	26","	14945"
8/20/01,15:30:00,"	28","	35302"
8/20/01,15:45:00,"	24","	4451"
8/20/01,15:45:00,"	26","	15039"
8/20/01,15:45:00,"	28","	35435"
8/20/01,16:00:00,"	24","	4456"
8/20/01,16:00:00,"	26","	15113"
8/20/01,16:00:00,"	28","	35525"
8/20/01,16:15:00,"	24","	4463"
8/20/01,16:15:00,"	26","	15183"
8/20/01,16:15:00,"	28","	35741"
8/20/01,16:30:00,"	24","	4466"
8/20/01,16:30:00,"	26","	15243"
8/20/01,16:30:00,"	28","	35762"
8/20/01,16:45:00,"	24","	4468"
8/20/01,16:45:00,"	26","	15297"
8/20/01,16:45:00,"	28","	35722"
8/20/01,17:00:00,"	24","	4471"
8/20/01,17:00:00,"	26","	15349"
8/20/01,17:00:00,"	28","	35656"
8/20/01,17:15:00,"	24","	4566"
8/20/01,17:15:00,"	26","	15297"
8/20/01,17:15:00,"	28","	35539"
8/20/01,17:30:00,"	24","	4566"
8/20/01,17:30:00,"	26","	15312"
8/20/01,17:30:00,"	28","	35440"
8/20/01,17:45:00,"	24","	4553"
8/20/01,17:45:00,"	26","	15310"
8/20/01,17:45:00,"	28","	35311"
8/20/01,18:00:00,"	24","	4535"
8/20/01,18:00:00,"	26","	15297"
8/20/01,18:00:00,"	28","	35149"
8/20/01,18:15:00,"	24","	4537"
8/20/01,18:15:00,"	26","	15252"
8/20/01,18:15:00,"	28","	34739"
8/20/01,18:30:00,"	24","	4511"
8/20/01,18:30:00,"	26","	15217"
8/20/01,18:30:00,"	28","	34522"
8/20/01,18:45:00,"	24","	4457"
8/20/01,18:45:00,"	26","	15157"
8/20/01,18:45:00,"	28","	34234"
8/20/01,19:00:00,"	24","	4391"
8/20/01,19:00:00,"	26","	15062"
8/20/01,19:00:00,"	28","	33933"
8/20/01,19:15:00,"	24","	4309"
8/20/01,19:15:00,"	26","	14846"
8/20/01,19:15:00,"	28","	33290"
8/20/01,19:30:00,"	24","	4230"
8/20/01,19:30:00,"	26","	14748"
8/20/01,19:30:00,"	28","	33017"
8/20/01,19:45:00,"	24","	4160"
8/20/01,19:45:00,"	26","	14673"
8/20/01,19:45:00,"	28","	32798"
8/20/01,20:00:00,"	24","	4066"
8/20/01,20:00:00,"	26","	14626"
8/20/01,20:00:00,"	28","	32624"
8/20/01,20:15:00,"	24","	3889"
8/20/01,20:15:00,"	26","	14656"
8/20/01,20:15:00,"	28","	32268"
8/20/01,20:30:00,"	24","	3799"
8/20/01,20:30:00,"	26","	14615"
8/20/01,20:30:00,"	28","	32132"
8/20/01,20:45:00,"	24","	3733"
8/20/01,20:45:00,"	26","	14514"
8/20/01,20:45:00,"	28","	32047"
8/20/01,21:00:00,"	24","	3706"
8/20/01,21:00:00,"	26","	14340"
8/20/01,21:00:00,"	28","	31949"
8/20/01,21:15:00,"	24","	3694"
8/20/01,21:15:00,"	26","	13919"
8/20/01,21:15:00,"	28","	31623"
8/20/01,21:30:00,"	24","	3684"
8/20/01,21:30:00,"	26","	13731"
8/20/01,21:30:00,"	28","	31475"
8/20/01,21:45:00,"	24","	3709"
8/20/01,21:45:00,"	26","	13607"
8/20/01,21:45:00,"	28","	31225"
8/20/01,22:00:00,"	24","	3753"
8/20/01,22:00:00,"	26","	13544"
8/20/01,22:00:00,"	28","	30948"
8/20/01,22:15:00,"	24","	3688"
8/20/01,22:15:00,"	26","	12925"
8/20/01,22:15:00,"	28","	28986"
8/20/01,22:30:00,"	24","	3727"
8/20/01,22:30:00,"	26","	12946"
8/20/01,22:30:00,"	28","	28648"
8/20/01,22:45:00,"	24","	3704"
8/20/01,22:45:00,"	26","	12789"
8/20/01,22:45:00,"	28","	28250"
8/20/01,23:00:00,"	24","	3649"
8/20/01,23:00:00,"	26","	12440"
8/20/01,23:00:00,"	28","	27826"
8/20/01,23:15:00,"	24","	3499"
8/20/01,23:15:00,"	26","	11762"
8/20/01,23:15:00,"	28","	26868"
8/20/01,23:30:00,"	24","	3421"
8/20/01,23:30:00,"	26","	11370"
8/20/01,23:30:00,"	28","	26435"
8/20/01,23:45:00,"	24","	3321"
8/20/01,23:45:00,"	26","	11005"
8/20/01,23:45:00,"	28","	25980"
8/21/01,0:00:00,"	24","	3196"
8/21/01,0:00:00,"	26","	10658"
8/21/01,0:00:00,"	28","	25532"
8/21/01,0:15:00,"	24","	2918"
8/21/01,0:15:00,"	26","	10245"
8/21/01,0:15:00,"	28","	24990"
8/21/01,0:30:00,"	24","	2790"
8/21/01,0:30:00,"	26","	9844"
8/21/01,0:30:00,"	28","	24569"
8/21/01,0:45:00,"	24","	2699"
8/21/01,0:45:00,"	26","	9572"
8/21/01,0:45:00,"	28","	24228"
8/21/01,1:00:00,"	24","	2649"
8/21/01,1:00:00,"	26","	9428"
8/21/01,1:00:00,"	28","	23897"
8/21/01,1:15:00,"	24","	2439"
8/21/01,1:15:00,"	26","	9400"
8/21/01,1:15:00,"	28","	23627"
8/21/01,1:30:00,"	24","	2402"
8/21/01,1:30:00,"	26","	9302"
8/21/01,1:30:00,"	28","	23330"
8/21/01,1:45:00,"	24","	2380"
8/21/01,1:45:00,"	26","	9209"
8/21/01,1:45:00,"	28","	23071"
8/21/01,2:00:00,"	24","	2360"
8/21/01,2:00:00,"	26","	9122"
8/21/01,2:00:00,"	28","	22852"
8/21/01,2:15:00,"	24","	2361"
8/21/01,2:15:00,"	26","	8990"
8/21/01,2:15:00,"	28","	22094"
8/21/01,2:30:00,"	24","	2341"
8/21/01,2:30:00,"	26","	8909"
8/21/01,2:30:00,"	28","	21828"
8/21/01,2:45:00,"	24","	2314"
8/21/01,2:45:00,"	26","	8844"
8/21/01,2:45:00,"	28","	21642"
8/21/01,3:00:00,"	24","	2285"
8/21/01,3:00:00,"	26","	8794"
8/21/01,3:00:00,"	28","	21508"
8/21/01,3:15:00,"	24","	2216"
8/21/01,3:15:00,"	26","	8757"
8/21/01,3:15:00,"	28","	22462"
8/21/01,3:30:00,"	24","	2185"
8/21/01,3:30:00,"	26","	8714"
8/21/01,3:30:00,"	28","	22354"
8/21/01,3:45:00,"	24","	2167"
8/21/01,3:45:00,"	26","	8684"
8/21/01,3:45:00,"	28","	22243"
8/21/01,4:00:00,"	24","	2160"
8/21/01,4:00:00,"	26","	8669"
8/21/01,4:00:00,"	28","	22139"
8/21/01,4:15:00,"	24","	2139"
8/21/01,4:15:00,"	26","	8636"
8/21/01,4:15:00,"	28","	20850"
8/21/01,4:30:00,"	24","	2137"
8/21/01,4:30:00,"	26","	8634"
8/21/01,4:30:00,"	28","	20826"
8/21/01,4:45:00,"	24","	2146"
8/21/01,4:45:00,"	26","	8658"
8/21/01,4:45:00,"	28","	20866"
8/21/01,5:00:00,"	24","	2166"
8/21/01,5:00:00,"	26","	8711"
8/21/01,5:00:00,"	28","	20957"
8/21/01,5:15:00,"	24","	2338"
8/21/01,5:15:00,"	26","	8942"
8/21/01,5:15:00,"	28","	21187"
8/21/01,5:30:00,"	24","	2352"
8/21/01,5:30:00,"	26","	8988"
8/21/01,5:30:00,"	28","	21318"
8/21/01,5:45:00,"	24","	2343"
8/21/01,5:45:00,"	26","	8979"
8/21/01,5:45:00,"	28","	21480"
8/21/01,6:00:00,"	24","	2311"
8/21/01,6:00:00,"	26","	8914"
8/21/01,6:00:00,"	28","	21636"
8/21/01,6:15:00,"	24","	2493"
8/21/01,6:15:00,"	26","	9196"
8/21/01,6:15:00,"	28","	23080"
8/21/01,6:30:00,"	24","	2464"
8/21/01,6:30:00,"	26","	9134"
8/21/01,6:30:00,"	28","	23259"
8/21/01,6:45:00,"	24","	2477"
8/21/01,6:45:00,"	26","	9132"
8/21/01,6:45:00,"	28","	23482"
8/21/01,7:00:00,"	24","	2528"
8/21/01,7:00:00,"	26","	9183"
8/21/01,7:00:00,"	28","	23718"
8/21/01,7:15:00,"	24","	2673"
8/21/01,7:15:00,"	26","	9412"
8/21/01,7:15:00,"	28","	24298"
8/21/01,7:30:00,"	24","	2729"
8/21/01,7:30:00,"	26","	9476"
8/21/01,7:30:00,"	28","	24532"
8/21/01,7:45:00,"	24","	2775"
8/21/01,7:45:00,"	26","	9553"
8/21/01,7:45:00,"	28","	24710"
8/21/01,8:00:00,"	24","	2796"
8/21/01,8:00:00,"	26","	9646"
8/21/01,8:00:00,"	28","	24884"
8/21/01,8:15:00,"	24","	2654"
8/21/01,8:15:00,"	26","	9973"
8/21/01,8:15:00,"	28","	25294"
8/21/01,8:30:00,"	24","	2716"
8/21/01,8:30:00,"	26","	10077"
8/21/01,8:30:00,"	28","	25495"
8/21/01,8:45:00,"	24","	2735"
8/21/01,8:45:00,"	26","	10214"
8/21/01,8:45:00,"	28","	25747"
8/21/01,9:00:00,"	24","	2757"
8/21/01,9:00:00,"	26","	10384"
8/21/01,9:00:00,"	28","	26006"
8/21/01,9:15:00,"	24","	2748"
8/21/01,9:15:00,"	26","	10653"
8/21/01,9:15:00,"	28","	26625"
8/21/01,9:30:00,"	24","	2775"
8/21/01,9:30:00,"	26","	10832"
8/21/01,9:30:00,"	28","	26909"
8/21/01,9:45:00,"	24","	2828"
8/21/01,9:45:00,"	26","	11016"
8/21/01,9:45:00,"	28","	27232"
8/21/01,10:00:00,"	24","	2895"
8/21/01,10:00:00,"	26","	11194"
8/21/01,10:00:00,"	28","	27571"
8/21/01,10:15:00,"	24","	2938"
8/21/01,10:15:00,"	26","	11403"
8/21/01,10:15:00,"	28","	28614"
8/21/01,10:30:00,"	24","	3006"
8/21/01,10:30:00,"	26","	11658"
8/21/01,10:30:00,"	28","	28994"
8/21/01,10:45:00,"	24","	3058"
8/21/01,10:45:00,"	26","	11827"
8/21/01,10:45:00,"	28","	29324"
8/21/01,11:00:00,"	24","	3104"
8/21/01,11:00:00,"	26","	12000"
8/21/01,11:00:00,"	28","	29625"
8/21/01,11:15:00,"	24","	3195"
8/21/01,11:15:00,"	26","	12323"
8/21/01,11:15:00,"	28","	30200"
8/21/01,11:30:00,"	24","	3235"
8/21/01,11:30:00,"	26","	12497"
8/21/01,11:30:00,"	28","	30490"
8/21/01,11:45:00,"	24","	3273"
8/21/01,11:45:00,"	26","	12654"
8/21/01,11:45:00,"	28","	30795"
8/21/01,12:00:00,"	24","	3308"
8/21/01,12:00:00,"	26","	12801"
8/21/01,12:00:00,"	28","	31110"
8/21/01,12:15:00,"	24","	3327"
8/21/01,12:15:00,"	26","	13025"
8/21/01,12:15:00,"	28","	31929"
8/21/01,12:30:00,"	24","	3360"
8/21/01,12:30:00,"	26","	13166"
8/21/01,12:30:00,"	28","	32254"
8/21/01,12:45:00,"	24","	3396"
8/21/01,12:45:00,"	26","	13313"
8/21/01,12:45:00,"	28","	32568"
8/21/01,13:00:00,"	24","	3441"
8/21/01,13:00:00,"	26","	13480"
8/21/01,13:00:00,"	28","	32875"
8/21/01,13:15:00,"	24","	3956"
8/21/01,13:15:00,"	26","	13270"
8/21/01,13:15:00,"	28","	33623"
8/21/01,13:30:00,"	24","	4076"
8/21/01,13:30:00,"	26","	13343"
8/21/01,13:30:00,"	28","	33892"
8/21/01,13:45:00,"	24","	4160"
8/21/01,13:45:00,"	26","	13436"
8/21/01,13:45:00,"	28","	34152"
8/21/01,14:00:00,"	24","	4208"
8/21/01,14:00:00,"	26","	13542"
8/21/01,14:00:00,"	28","	34396"
8/21/01,14:15:00,"	24","	4252"
8/21/01,14:15:00,"	26","	13705"
8/21/01,14:15:00,"	28","	34678"
8/21/01,14:30:00,"	24","	4294"
8/21/01,14:30:00,"	26","	13815"
8/21/01,14:30:00,"	28","	34863"
8/21/01,14:45:00,"	24","	4325"
8/21/01,14:45:00,"	26","	13935"
8/21/01,14:45:00,"	28","	35040"
8/21/01,15:00:00,"	24","	4350"
8/21/01,15:00:00,"	26","	14056"
8/21/01,15:00:00,"	28","	35223"
8/21/01,15:15:00,"	24","	4331"
8/21/01,15:15:00,"	26","	14293"
8/21/01,15:15:00,"	28","	35375"
8/21/01,15:30:00,"	24","	4350"
8/21/01,15:30:00,"	26","	14402"
8/21/01,15:30:00,"	28","	35521"
8/21/01,15:45:00,"	24","	4366"
8/21/01,15:45:00,"	26","	14495"
8/21/01,15:45:00,"	28","	35655"
8/21/01,16:00:00,"	24","	4381"
8/21/01,16:00:00,"	26","	14568"
8/21/01,16:00:00,"	28","	35776"
8/21/01,16:15:00,"	24","	4429"
8/21/01,16:15:00,"	26","	14604"
8/21/01,16:15:00,"	28","	36050"
8/21/01,16:30:00,"	24","	4443"
8/21/01,16:30:00,"	26","	14668"
8/21/01,16:30:00,"	28","	36114"
8/21/01,16:45:00,"	24","	4447"
8/21/01,16:45:00,"	26","	14718"
8/21/01,16:45:00,"	28","	36144"
8/21/01,17:00:00,"	24","	4452"
8/21/01,17:00:00,"	26","	14759"
8/21/01,17:00:00,"	28","	36142"
8/21/01,17:15:00,"	24","	4695"
8/21/01,17:15:00,"	26","	14613"
8/21/01,17:15:00,"	28","	36074"
8/21/01,17:30:00,"	24","	4695"
8/21/01,17:30:00,"	26","	14636"
8/21/01,17:30:00,"	28","	36004"
8/21/01,17:45:00,"	24","	4687"
8/21/01,17:45:00,"	26","	14635"
8/21/01,17:45:00,"	28","	35864"
8/21/01,18:00:00,"	24","	4680"
8/21/01,18:00:00,"	26","	14615"
8/21/01,18:00:00,"	28","	35699"
8/21/01,18:15:00,"	24","	4428"
8/21/01,18:15:00,"	26","	14743"
8/21/01,18:15:00,"	28","	35428"
8/21/01,18:30:00,"	24","	4413"
8/21/01,18:30:00,"	26","	14693"
8/21/01,18:30:00,"	28","	35229"
8/21/01,18:45:00,"	24","	4404"
8/21/01,18:45:00,"	26","	14611"
8/21/01,18:45:00,"	28","	35054"
8/21/01,19:00:00,"	24","	4394"
8/21/01,19:00:00,"	26","	14489"
8/21/01,19:00:00,"	28","	34896"
8/21/01,19:15:00,"	24","	4530"
8/21/01,19:15:00,"	26","	14238"
8/21/01,19:15:00,"	28","	34404"
8/21/01,19:30:00,"	24","	4495"
8/21/01,19:30:00,"	26","	14148"
8/21/01,19:30:00,"	28","	34283"
8/21/01,19:45:00,"	24","	4471"
8/21/01,19:45:00,"	26","	14052"
8/21/01,19:45:00,"	28","	34139"
8/21/01,20:00:00,"	24","	4456"
8/21/01,20:00:00,"	26","	13951"
8/21/01,20:00:00,"	28","	34018"
8/21/01,20:15:00,"	24","	4722"
8/21/01,20:15:00,"	26","	13371"
8/21/01,20:15:00,"	28","	33849"
8/21/01,20:30:00,"	24","	4694"
8/21/01,20:30:00,"	26","	13298"
8/21/01,20:30:00,"	28","	33691"
8/21/01,20:45:00,"	24","	4595"
8/21/01,20:45:00,"	26","	13247"
8/21/01,20:45:00,"	28","	33549"
8/21/01,21:00:00,"	24","	4427"
8/21/01,21:00:00,"	26","	13204"
8/21/01,21:00:00,"	28","	33384"
8/21/01,21:15:00,"	24","	4015"
8/21/01,21:15:00,"	26","	13098"
8/21/01,21:15:00,"	28","	32764"
8/21/01,21:30:00,"	24","	3845"
8/21/01,21:30:00,"	26","	13067"
8/21/01,21:30:00,"	28","	32447"
8/21/01,21:45:00,"	24","	3762"
8/21/01,21:45:00,"	26","	13085"
8/21/01,21:45:00,"	28","	32076"
8/21/01,22:00:00,"	24","	3742"
8/21/01,22:00:00,"	26","	13150"
8/21/01,22:00:00,"	28","	31665"
8/21/01,22:15:00,"	24","	3779"
8/21/01,22:15:00,"	26","	12875"
8/21/01,22:15:00,"	28","	29198"
8/21/01,22:30:00,"	24","	3792"
8/21/01,22:30:00,"	26","	12860"
8/21/01,22:30:00,"	28","	28771"
8/21/01,22:45:00,"	24","	3756"
8/21/01,22:45:00,"	26","	12670"
8/21/01,22:45:00,"	28","	28341"
8/21/01,23:00:00,"	24","	3715"
8/21/01,23:00:00,"	26","	12298"
8/21/01,23:00:00,"	28","	27919"
8/21/01,23:15:00,"	24","	3701"
8/21/01,23:15:00,"	26","	11639"
8/21/01,23:15:00,"	28","	27022"
8/21/01,23:30:00,"	24","	3641"
8/21/01,23:30:00,"	26","	11187"
8/21/01,23:30:00,"	28","	26596"
8/21/01,23:45:00,"	24","	3542"
8/21/01,23:45:00,"	26","	10772"
8/21/01,23:45:00,"	28","	26100"
8/22/01,0:00:00,"	24","	3403"
8/22/01,0:00:00,"	26","	10389"
8/22/01,0:00:00,"	28","	25598"
8/22/01,0:15:00,"	24","	3070"
8/22/01,0:15:00,"	26","	10104"
8/22/01,0:15:00,"	28","	24611"
8/22/01,0:30:00,"	24","	2935"
8/22/01,0:30:00,"	26","	9736"
8/22/01,0:30:00,"	28","	24200"
8/22/01,0:45:00,"	24","	2863"
8/22/01,0:45:00,"	26","	9430"
8/22/01,0:45:00,"	28","	23915"
8/22/01,1:00:00,"	24","	2854"
8/22/01,1:00:00,"	26","	9185"
8/22/01,1:00:00,"	28","	23683"
8/22/01,1:15:00,"	24","	2793"
8/22/01,1:15:00,"	26","	8880"
8/22/01,1:15:00,"	28","	23743"
8/22/01,1:30:00,"	24","	2801"
8/22/01,1:30:00,"	26","	8673"
8/22/01,1:30:00,"	28","	23577"
8/22/01,1:45:00,"	24","	2798"
8/22/01,1:45:00,"	26","	8515"
8/22/01,1:45:00,"	28","	23439"
8/22/01,2:00:00,"	24","	2787"
8/22/01,2:00:00,"	26","	8401"
8/22/01,2:00:00,"	28","	23312"
8/22/01,2:15:00,"	24","	2772"
8/22/01,2:15:00,"	26","	8287"
8/22/01,2:15:00,"	28","	22743"
8/22/01,2:30:00,"	24","	2751"
8/22/01,2:30:00,"	26","	8188"
8/22/01,2:30:00,"	28","	22600"
8/22/01,2:45:00,"	24","	2723"
8/22/01,2:45:00,"	26","	8116"
8/22/01,2:45:00,"	28","	22476"
8/22/01,3:00:00,"	24","	2679"
8/22/01,3:00:00,"	26","	8074"
8/22/01,3:00:00,"	28","	22373"
8/22/01,3:15:00,"	24","	2627"
8/22/01,3:15:00,"	26","	8076"
8/22/01,3:15:00,"	28","	22292"
8/22/01,3:30:00,"	24","	2582"
8/22/01,3:30:00,"	26","	8043"
8/22/01,3:30:00,"	28","	22278"
8/22/01,3:45:00,"	24","	2558"
8/22/01,3:45:00,"	26","	8017"
8/22/01,3:45:00,"	28","	22259"
8/22/01,4:00:00,"	24","	2549"
8/22/01,4:00:00,"	26","	7999"
8/22/01,4:00:00,"	28","	22229"
8/22/01,4:15:00,"	24","	2601"
8/22/01,4:15:00,"	26","	7971"
8/22/01,4:15:00,"	28","	21965"
8/22/01,4:30:00,"	24","	2603"
8/22/01,4:30:00,"	26","	7967"
8/22/01,4:30:00,"	28","	21929"
8/22/01,4:45:00,"	24","	2623"
8/22/01,4:45:00,"	26","	7986"
8/22/01,4:45:00,"	28","	21934"
8/22/01,5:00:00,"	24","	2656"
8/22/01,5:00:00,"	26","	8035"
8/22/01,5:00:00,"	28","	21961"
8/22/01,5:15:00,"	24","	2764"
8/22/01,5:15:00,"	26","	8161"
8/22/01,5:15:00,"	28","	22101"
8/22/01,5:30:00,"	24","	2793"
8/22/01,5:30:00,"	26","	8202"
8/22/01,5:30:00,"	28","	22198"
8/22/01,5:45:00,"	24","	2794"
8/22/01,5:45:00,"	26","	8199"
8/22/01,5:45:00,"	28","	22345"
8/22/01,6:00:00,"	24","	2761"
8/22/01,6:00:00,"	26","	8150"
8/22/01,6:00:00,"	28","	22504"
8/22/01,6:15:00,"	24","	2657"
8/22/01,6:15:00,"	26","	8305"
8/22/01,6:15:00,"	28","	24505"
8/22/01,6:30:00,"	24","	2626"
8/22/01,6:30:00,"	26","	8278"
8/22/01,6:30:00,"	28","	24621"
8/22/01,6:45:00,"	24","	2628"
8/22/01,6:45:00,"	26","	8325"
8/22/01,6:45:00,"	28","	24737"
8/22/01,7:00:00,"	24","	2666"
8/22/01,7:00:00,"	26","	8446"
8/22/01,7:00:00,"	28","	24848"
8/22/01,7:15:00,"	24","	2782"
8/22/01,7:15:00,"	26","	8815"
8/22/01,7:15:00,"	28","	25516"
8/22/01,7:30:00,"	24","	2825"
8/22/01,7:30:00,"	26","	8948"
8/22/01,7:30:00,"	28","	25761"
8/22/01,7:45:00,"	24","	2852"
8/22/01,7:45:00,"	26","	9082"
8/22/01,7:45:00,"	28","	25959"
8/22/01,8:00:00,"	24","	2862"
8/22/01,8:00:00,"	26","	9219"
8/22/01,8:00:00,"	28","	26142"
8/22/01,8:15:00,"	24","	2820"
8/22/01,8:15:00,"	26","	9440"
8/22/01,8:15:00,"	28","	26512"
8/22/01,8:30:00,"	24","	2826"
8/22/01,8:30:00,"	26","	9601"
8/22/01,8:30:00,"	28","	26728"
8/22/01,8:45:00,"	24","	2848"
8/22/01,8:45:00,"	26","	9774"
8/22/01,8:45:00,"	28","	27005"
8/22/01,9:00:00,"	24","	2879"
8/22/01,9:00:00,"	26","	9962"
8/22/01,9:00:00,"	28","	27311"
8/22/01,9:15:00,"	24","	2854"
8/22/01,9:15:00,"	26","	10163"
8/22/01,9:15:00,"	28","	27887"
8/22/01,9:30:00,"	24","	2889"
8/22/01,9:30:00,"	26","	10356"
8/22/01,9:30:00,"	28","	28172"
8/22/01,9:45:00,"	24","	2929"
8/22/01,9:45:00,"	26","	10562"
8/22/01,9:45:00,"	28","	28493"
8/22/01,10:00:00,"	24","	2975"
8/22/01,10:00:00,"	26","	10776"
8/22/01,10:00:00,"	28","	28815"
8/22/01,10:15:00,"	24","	3267"
8/22/01,10:15:00,"	26","	10611"
8/22/01,10:15:00,"	28","	29581"
8/22/01,10:30:00,"	24","	3332"
8/22/01,10:30:00,"	26","	10850"
8/22/01,10:30:00,"	28","	29912"
8/22/01,10:45:00,"	24","	3376"
8/22/01,10:45:00,"	26","	11026"
8/22/01,10:45:00,"	28","	30218"
8/22/01,11:00:00,"	24","	2974"
8/22/01,11:00:00,"	26","	10730"
8/22/01,11:00:00,"	28","	29854"
8/22/01,11:15:00,"	24","	3385"
8/22/01,11:15:00,"	26","	11567"
8/22/01,11:15:00,"	28","	31268"
8/22/01,11:30:00,"	24","	3408"
8/22/01,11:30:00,"	26","	11762"
8/22/01,11:30:00,"	28","	31540"
8/22/01,11:45:00,"	24","	3445"
8/22/01,11:45:00,"	26","	11935"
8/22/01,11:45:00,"	28","	31806"
8/22/01,12:00:00,"	24","	3483"
