CPT,"ENDING	",ZONEID,MW
7/31/01,11:15:00,"	24","	3440"
7/31/01,11:15:00,"	26","	13059"
7/31/01,11:15:00,"	28","	29926"
7/31/01,11:30:00,"	24","	3485"
7/31/01,11:30:00,"	26","	13238"
7/31/01,11:30:00,"	28","	30047"
7/31/01,11:45:00,"	24","	3530"
7/31/01,11:45:00,"	26","	13390"
7/31/01,11:45:00,"	28","	30223"
7/31/01,12:00:00,"	24","	3582"
7/31/01,12:00:00,"	26","	13594"
7/31/01,12:00:00,"	28","	30514"
7/31/01,12:15:00,"	24","	3603"
7/31/01,12:15:00,"	26","	13634"
7/31/01,12:15:00,"	28","	31011"
7/31/01,12:30:00,"	24","	3639"
7/31/01,12:30:00,"	26","	13777"
7/31/01,12:30:00,"	28","	31259"
7/31/01,12:45:00,"	24","	3650"
7/31/01,12:45:00,"	26","	13947"
7/31/01,12:45:00,"	28","	31466"
7/31/01,13:00:00,"	24","	3695"
7/31/01,13:00:00,"	26","	14058"
7/31/01,13:00:00,"	28","	31636"
7/31/01,13:15:00,"	24","	3642"
7/31/01,13:15:00,"	26","	14626"
7/31/01,13:15:00,"	28","	32113"
7/31/01,13:30:00,"	24","	3641"
7/31/01,13:30:00,"	26","	14847"
7/31/01,13:30:00,"	28","	32280"
7/31/01,13:45:00,"	24","	3660"
7/31/01,13:45:00,"	26","	15027"
7/31/01,13:45:00,"	28","	32443"
7/31/01,14:00:00,"	24","	3649"
7/31/01,14:00:00,"	26","	15284"
7/31/01,14:00:00,"	28","	32624"
7/31/01,14:15:00,"	24","	3740"
7/31/01,14:15:00,"	26","	15305"
7/31/01,14:15:00,"	28","	32853"
7/31/01,14:30:00,"	24","	3774"
7/31/01,14:30:00,"	26","	15457"
7/31/01,14:30:00,"	28","	33052"
7/31/01,14:45:00,"	24","	3803"
7/31/01,14:45:00,"	26","	15583"
7/31/01,14:45:00,"	28","	33231"
7/31/01,15:00:00,"	24","	3843"
7/31/01,15:00:00,"	26","	15759"
7/31/01,15:00:00,"	28","	33403"
7/31/01,15:15:00,"	24","	3851"
7/31/01,15:15:00,"	26","	15879"
7/31/01,15:15:00,"	28","	33937"
7/31/01,15:30:00,"	24","	3871"
7/31/01,15:30:00,"	26","	15982"
7/31/01,15:30:00,"	28","	34019"
7/31/01,15:45:00,"	24","	3883"
7/31/01,15:45:00,"	26","	16053"
7/31/01,15:45:00,"	28","	34112"
7/31/01,16:00:00,"	24","	3915"
7/31/01,16:00:00,"	26","	16186"
7/31/01,16:00:00,"	28","	34179"
7/31/01,16:15:00,"	24","	4237"
7/31/01,16:15:00,"	26","	15908"
7/31/01,16:15:00,"	28","	34419"
7/31/01,16:30:00,"	24","	4249"
7/31/01,16:30:00,"	26","	15689"
7/31/01,16:30:00,"	28","	34399"
7/31/01,16:45:00,"	24","	4253"
7/31/01,16:45:00,"	26","	15517"
7/31/01,16:45:00,"	28","	34403"
7/31/01,17:00:00,"	24","	4254"
7/31/01,17:00:00,"	26","	15111"
7/31/01,17:00:00,"	28","	34380"
7/31/01,17:15:00,"	24","	4270"
7/31/01,17:15:00,"	26","	15438"
7/31/01,17:15:00,"	28","	34445"
7/31/01,17:30:00,"	24","	4272"
7/31/01,17:30:00,"	26","	15386"
7/31/01,17:30:00,"	28","	34363"
7/31/01,17:45:00,"	24","	4262"
7/31/01,17:45:00,"	26","	15273"
7/31/01,17:45:00,"	28","	34277"
7/31/01,18:00:00,"	24","	4269"
7/31/01,18:00:00,"	26","	15288"
7/31/01,18:00:00,"	28","	34072"
7/31/01,18:15:00,"	24","	4236"
7/31/01,18:15:00,"	26","	15123"
7/31/01,18:15:00,"	28","	33719"
7/31/01,18:30:00,"	24","	4216"
7/31/01,18:30:00,"	26","	15032"
7/31/01,18:30:00,"	28","	33510"
7/31/01,18:45:00,"	24","	4189"
7/31/01,18:45:00,"	26","	14904"
7/31/01,18:45:00,"	28","	33265"
7/31/01,19:00:00,"	24","	4174"
7/31/01,19:00:00,"	26","	14833"
7/31/01,19:00:00,"	28","	33046"
7/31/01,19:15:00,"	24","	4125"
7/31/01,19:15:00,"	26","	14594"
7/31/01,19:15:00,"	28","	32420"
7/31/01,19:30:00,"	24","	4088"
7/31/01,19:30:00,"	26","	14428"
7/31/01,19:30:00,"	28","	32252"
7/31/01,19:45:00,"	24","	4045"
7/31/01,19:45:00,"	26","	14262"
7/31/01,19:45:00,"	28","	32144"
7/31/01,20:00:00,"	24","	4020"
7/31/01,20:00:00,"	26","	14112"
7/31/01,20:00:00,"	28","	32062"
7/31/01,20:15:00,"	24","	3934"
7/31/01,20:15:00,"	26","	13805"
7/31/01,20:15:00,"	28","	32111"
7/31/01,20:30:00,"	24","	3886"
7/31/01,20:30:00,"	26","	13641"
7/31/01,20:30:00,"	28","	32022"
7/31/01,20:45:00,"	24","	3850"
7/31/01,20:45:00,"	26","	13509"
7/31/01,20:45:00,"	28","	31907"
7/31/01,21:00:00,"	24","	3790"
7/31/01,21:00:00,"	26","	13340"
7/31/01,21:00:00,"	28","	31791"
7/31/01,21:15:00,"	24","	3763"
7/31/01,21:15:00,"	26","	12987"
7/31/01,21:15:00,"	28","	31433"
7/31/01,21:30:00,"	24","	3739"
7/31/01,21:30:00,"	26","	12895"
7/31/01,21:30:00,"	28","	31265"
7/31/01,21:45:00,"	24","	3765"
7/31/01,21:45:00,"	26","	12937"
7/31/01,21:45:00,"	28","	31069"
7/31/01,22:00:00,"	24","	3729"
7/31/01,22:00:00,"	26","	12590"
7/31/01,22:00:00,"	28","	30833"
7/31/01,22:15:00,"	24","	3936"
7/31/01,22:15:00,"	26","	12741"
7/31/01,22:15:00,"	28","	28267"
7/31/01,22:30:00,"	24","	3989"
7/31/01,22:30:00,"	26","	12912"
7/31/01,22:30:00,"	28","	27989"
7/31/01,22:45:00,"	24","	3965"
7/31/01,22:45:00,"	26","	12846"
7/31/01,22:45:00,"	28","	27642"
7/31/01,23:00:00,"	24","	4013"
7/31/01,23:00:00,"	26","	13340"
7/31/01,23:00:00,"	28","	27292"
7/31/01,23:15:00,"	24","	3820"
7/31/01,23:15:00,"	26","	12144"
7/31/01,23:15:00,"	28","	25856"
7/31/01,23:30:00,"	24","	3755"
7/31/01,23:30:00,"	26","	11786"
7/31/01,23:30:00,"	28","	25506"
7/31/01,23:45:00,"	24","	3684"
7/31/01,23:45:00,"	26","	11481"
7/31/01,23:45:00,"	28","	25243"
8/1/01,0:00:00,"	24","	3631"
8/1/01,0:00:00,"	26","	11048"
8/1/01,0:00:00,"	28","	25045"
8/1/01,0:15:00,"	24","	3617"
8/1/01,0:15:00,"	26","	10558"
8/1/01,0:15:00,"	28","	24154"
8/1/01,0:30:00,"	24","	3536"
8/1/01,0:30:00,"	26","	10351"
8/1/01,0:30:00,"	28","	23947"
8/1/01,0:45:00,"	24","	3470"
8/1/01,0:45:00,"	26","	10167"
8/1/01,0:45:00,"	28","	23740"
8/1/01,1:00:00,"	24","	3369"
8/1/01,1:00:00,"	26","	9908"
8/1/01,1:00:00,"	28","	23511"
8/1/01,1:15:00,"	24","	3361"
8/1/01,1:15:00,"	26","	9847"
8/1/01,1:15:00,"	28","	22889"
8/1/01,1:30:00,"	24","	3315"
8/1/01,1:30:00,"	26","	9705"
8/1/01,1:30:00,"	28","	22669"
8/1/01,1:45:00,"	24","	3296"
8/1/01,1:45:00,"	26","	9592"
8/1/01,1:45:00,"	28","	22479"
8/1/01,2:00:00,"	24","	3265"
8/1/01,2:00:00,"	26","	9421"
8/1/01,2:00:00,"	28","	22276"
8/1/01,2:15:00,"	24","	3278"
8/1/01,2:15:00,"	26","	9543"
8/1/01,2:15:00,"	28","	21512"
8/1/01,2:30:00,"	24","	3264"
8/1/01,2:30:00,"	26","	9475"
8/1/01,2:30:00,"	28","	21394"
8/1/01,2:45:00,"	24","	3250"
8/1/01,2:45:00,"	26","	9405"
8/1/01,2:45:00,"	28","	21288"
8/1/01,3:00:00,"	24","	3245"
8/1/01,3:00:00,"	26","	9329"
8/1/01,3:00:00,"	28","	21197"
8/1/01,3:15:00,"	24","	3205"
8/1/01,3:15:00,"	26","	9257"
8/1/01,3:15:00,"	28","	20873"
8/1/01,3:30:00,"	24","	3187"
8/1/01,3:30:00,"	26","	9203"
8/1/01,3:30:00,"	28","	20781"
8/1/01,3:45:00,"	24","	3175"
8/1/01,3:45:00,"	26","	9153"
8/1/01,3:45:00,"	28","	20707"
8/1/01,4:00:00,"	24","	3146"
8/1/01,4:00:00,"	26","	9086"
8/1/01,4:00:00,"	28","	20655"
8/1/01,4:15:00,"	24","	3169"
8/1/01,4:15:00,"	26","	9208"
8/1/01,4:15:00,"	28","	20264"
8/1/01,4:30:00,"	24","	3168"
8/1/01,4:30:00,"	26","	9192"
8/1/01,4:30:00,"	28","	20290"
8/1/01,4:45:00,"	24","	3171"
8/1/01,4:45:00,"	26","	9211"
8/1/01,4:45:00,"	28","	20393"
8/1/01,5:00:00,"	24","	3157"
8/1/01,5:00:00,"	26","	9145"
8/1/01,5:00:00,"	28","	20538"
8/1/01,5:15:00,"	24","	3217"
