Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2021,01:00,N,1.05,0.01,4.63,0.49
01/01/2021,02:00,N,0.91,4,4.21,0.49
01/01/2021,03:00,N,0.47,4,4.01,0.71
01/01/2021,04:00,N,0.17,4,4.1,0.74
01/01/2021,05:00,N,1.34,4.49,4.5,0.91
01/01/2021,06:00,N,3.5,6.62,6.72,0.93
01/01/2021,07:00,N,2.33,11.39,11.19,8.67
01/01/2021,08:00,N,5.43,8.9,9.85,8
01/01/2021,09:00,N,15,7.65,11.35,7.35
01/01/2021,10:00,N,25.14,5.45,8.63,5
01/01/2021,11:00,N,15,3,6.72,1.35
01/01/2021,12:00,N,20.61,4.41,5,1.15
01/01/2021,13:00,N,15,4.01,4.86,1
01/01/2021,14:00,N,15,3.5,4.01,1.01
01/01/2021,15:00,N,15,3.8,4.01,0.99
01/01/2021,16:00,N,3.42,3.05,3,1
01/01/2021,17:00,N,1.17,5.81,5.61,1.2
01/01/2021,18:00,N,2.23,31.56,31.16,6.15
01/01/2021,19:00,N,15,25.17,26.08,13.78
01/01/2021,20:00,N,6.13,8.35,13.83,8.94
01/01/2021,21:00,N,4.53,8.35,13.14,12.67
01/01/2021,22:00,N,5.95,8.35,10.24,9.84
01/01/2021,23:00,N,6,3.8,6.35,0.75
01/01/2021,24:00,N,6,3.35,7.26,0.75
01/02/2021,01:00,N,3.5,2.57,7.06,0.48
01/02/2021,02:00,N,1.1,4,4.71,0.57
01/02/2021,03:00,N,0.27,4.07,4.7,0.7
01/02/2021,04:00,N,0.19,4.02,4.89,0.73
01/02/2021,05:00,N,2.26,4.85,5.63,0.74
01/02/2021,06:00,N,7.7,8.8,8.7,0.92
01/02/2021,07:00,N,1.09,25.72,25.12,4.46
01/02/2021,08:00,N,5.04,20,21.43,5.33
01/02/2021,09:00,N,16.07,10.85,19.84,6.6
01/02/2021,10:00,N,24.8,5.45,11.35,5
01/02/2021,11:00,N,21.08,10.97,12.08,1.02
01/02/2021,12:00,N,15.61,8.11,9.02,1.1
01/02/2021,13:00,N,17.29,8.6,9.52,1
01/02/2021,14:00,N,15.74,6.15,9.85,1
01/02/2021,15:00,N,55,6.79,6.85,0.99
01/02/2021,16:00,N,15,8.45,8.31,1
01/02/2021,17:00,N,3.5,10.87,10.56,1.02
01/02/2021,18:00,N,3.5,23.8,23.6,1.2
01/02/2021,19:00,N,13.91,12.89,13.37,10
01/02/2021,20:00,N,8.19,5.96,11.15,5.25
01/02/2021,21:00,N,6,9.73,10.05,9.16
01/02/2021,22:00,N,6,9.04,10.11,8.47
01/02/2021,23:00,N,6.27,4.02,7.35,0.74
01/02/2021,24:00,N,6,3.8,7.35,0.74
01/03/2021,01:00,N,3.5,3.77,4.36,0.47
01/03/2021,02:00,N,2,4,4.21,0.56
01/03/2021,03:00,N,2,4,4.01,0.69
01/03/2021,04:00,N,2,4,4.11,0.72
01/03/2021,05:00,N,2.98,4.98,4.98,0.73
01/03/2021,06:00,N,6.26,12.3,11.7,0.91
01/03/2021,07:00,N,15,21.02,17.13,4.78
01/03/2021,08:00,N,15,13.82,14.09,3.6
01/03/2021,09:00,N,40,6.85,11.28,4.42
01/03/2021,10:00,N,40,8.15,8.37,2.6
01/03/2021,11:00,N,18.51,8.61,9.51,1
01/03/2021,12:00,N,16.1,6.54,7.1,0.99
01/03/2021,13:00,N,15,7.12,7.63,0.99
01/03/2021,14:00,N,15,6.19,6.85,0.99
01/03/2021,15:00,N,15,6.74,6.85,1
01/03/2021,16:00,N,5,7.1,7.02,1
01/03/2021,17:00,N,3.2,8.57,8.39,0.99
01/03/2021,18:00,N,5.19,26.52,25.06,0.99
01/03/2021,19:00,N,11.04,14.04,14.85,10
01/03/2021,20:00,N,5.11,6.85,10.44,6.45
01/03/2021,21:00,N,6,10.78,11.57,8.15
01/03/2021,22:00,N,6,7.85,10.95,7.28
01/03/2021,23:00,N,6,3.8,6.35,0.73
01/03/2021,24:00,N,6,3.8,6.31,0.74
01/04/2021,01:00,N,3.5,3.59,5.85,0.5
01/04/2021,02:00,N,2,4,5.85,0.55
01/04/2021,03:00,N,2,4,5.85,0.68
01/04/2021,04:00,N,2,4,5.85,0.71
01/04/2021,05:00,N,2,4.5,4.68,0.5
01/04/2021,06:00,N,3.63,10.25,9.85,0.9
01/04/2021,07:00,N,3.5,19.52,17.37,6.15
01/04/2021,08:00,N,12.11,12.83,15.6,3.52
01/04/2021,09:00,N,22.39,4.7,10.39,4.25
01/04/2021,10:00,N,21.95,6.62,7.9,2.6
01/04/2021,11:00,N,20.81,4.76,5.26,0.99
01/04/2021,12:00,N,18.45,6.71,6.85,0.99
01/04/2021,13:00,N,15,5,5,0.99
01/04/2021,14:00,N,15,5.02,5,0.99
01/04/2021,15:00,N,15,5.2,5,0.99
01/04/2021,16:00,N,3.5,4.15,3.95,0.99
01/04/2021,17:00,N,3.5,6.78,6.59,0.99
01/04/2021,18:00,N,3.5,26.04,25.84,0.99
01/04/2021,19:00,N,14.04,17.04,17.74,11.32
01/04/2021,20:00,N,10.72,6.85,8.57,6.45
01/04/2021,21:00,N,6,7.67,8.35,7.7
01/04/2021,22:00,N,5.11,6.67,7.13,6.1
01/04/2021,23:00,N,5,3.8,4.94,0.72
01/04/2021,24:00,N,6,3.65,5.85,0.73
01/05/2021,01:00,N,2,3.25,3.15,0.5
01/05/2021,02:00,N,2,3.37,3.17,0.72
01/05/2021,03:00,N,2,3.7,3.5,0.67
01/05/2021,04:00,N,1.85,3.43,3.23,0.7
01/05/2021,05:00,N,2,4,3.8,0.5
01/05/2021,06:00,N,2.89,9.67,8.67,0.74
01/05/2021,07:00,N,3.5,28.45,22.12,6.08
01/05/2021,08:00,N,10,13.72,16.55,3.85
01/05/2021,09:00,N,10,8.21,8.9,3.55
01/05/2021,10:00,N,10,7.86,8.35,2.15
01/05/2021,11:00,N,17.96,8.23,8.96,0.95
01/05/2021,12:00,N,10,5.91,6.44,0.95
01/05/2021,13:00,N,10,4.58,6.85,0.95
01/05/2021,14:00,N,10,5.37,6.85,0.95
01/05/2021,15:00,N,10,6.74,6.85,0.95
01/05/2021,16:00,N,10,10,9.85,0.95
01/05/2021,17:00,N,5.04,10.15,9.95,0.95
01/05/2021,18:00,N,12.35,27.27,24.27,0.97
01/05/2021,19:00,N,10.35,11.48,13.85,5
01/05/2021,20:00,N,6,8,12,4.55
01/05/2021,21:00,N,6,6.37,11.96,3.55
01/05/2021,22:00,N,10.14,5.73,13.85,4.31
01/05/2021,23:00,N,45,3.35,15,0.71
01/05/2021,24:00,N,45,3,15,0.72
01/06/2021,01:00,N,11.97,4,15,0.48
01/06/2021,02:00,N,10.37,4,15,0.48
01/06/2021,03:00,N,8,4,15,0.48
01/06/2021,04:00,N,8,4.23,15,0.48
01/06/2021,05:00,N,9.36,9.35,15,0.48
01/06/2021,06:00,N,23.93,120,17,0.48
01/06/2021,07:00,N,8,22.85,11.35,1.01
01/06/2021,08:00,N,8,8,8.35,1.99
01/06/2021,09:00,N,23.25,5.44,5.69,1.01
01/06/2021,10:00,N,21.33,6.85,8.66,1.23
01/06/2021,11:00,N,59,8.27,20,0.9
01/06/2021,12:00,N,15,6.1,6,0.85
01/06/2021,13:00,N,9.46,10,12,0.85
01/06/2021,14:00,N,8.46,10,12,0.85
01/06/2021,15:00,N,15,10,12,0.75
01/06/2021,16:00,N,8,10.15,12,0.75
01/06/2021,17:00,N,3.5,12.66,12.61,0.75
01/06/2021,18:00,N,6.15,24.95,22.26,0.75
01/06/2021,19:00,N,13.81,16.81,17.3,1.99
01/06/2021,20:00,N,6.11,10.85,15,1.99
01/06/2021,21:00,N,7.31,10.11,13.85,1.99
01/06/2021,22:00,N,6,6.14,13.44,1.55
01/06/2021,23:00,N,8,3.7,9.85,0.5
01/06/2021,24:00,N,8.32,3,12.61,0.5
01/07/2021,01:00,N,8,2.3,5.35,0.49
01/07/2021,02:00,N,7.65,3.51,5.35,0.5
01/07/2021,03:00,N,6,4,5.35,0.49
01/07/2021,04:00,N,6,4,5.35,0.49
01/07/2021,05:00,N,4.7,4.84,5.35,0.49
01/07/2021,06:00,N,5.82,25,9.13,0.61
01/07/2021,07:00,N,8,17.95,17.35,1
01/07/2021,08:00,N,8,13.7,14.79,1.55
01/07/2021,09:00,N,11.8,6.85,10.23,1.02
01/07/2021,10:00,N,22.76,6.85,8.31,1.2
01/07/2021,11:00,N,21.41,4.73,5.48,0.95
01/07/2021,12:00,N,10.71,4.44,5.03,0.94
01/07/2021,13:00,N,8,3.51,4.01,0.92
01/07/2021,14:00,N,6,3.48,3.85,0.94
01/07/2021,15:00,N,8,3.57,3.85,0.75
01/07/2021,16:00,N,5.61,3.85,3.85,0.75
01/07/2021,17:00,N,3.5,6.96,6.85,0.9
01/07/2021,18:00,N,3.5,35.6,34.8,0.97
01/07/2021,19:00,N,8,29.66,30.21,8
01/07/2021,20:00,N,6,5.71,12.21,5
01/07/2021,21:00,N,6,3.8,9.73,3.23
01/07/2021,22:00,N,8,3.8,6.37,1.99
01/07/2021,23:00,N,6.54,3.32,5.32,0.67
01/07/2021,24:00,N,8,3.35,5.35,0.72
01/08/2021,01:00,N,3.5,0.01,3.35,0.48
01/08/2021,02:00,N,2,3.43,3.35,0.5
01/08/2021,03:00,N,2,3.6,3.51,0.48
01/08/2021,04:00,N,2,3.51,3.51,0.48
01/08/2021,05:00,N,2.04,4,3.98,0.48
01/08/2021,06:00,N,4.96,8.36,7.54,0.6
01/08/2021,07:00,N,3.5,44.94,44.94,8
01/08/2021,08:00,N,5,25.33,31.9,8
01/08/2021,09:00,N,13.16,17.83,24.35,6.44
01/08/2021,10:00,N,9.22,9.22,11.14,2.15
01/08/2021,11:00,N,7.58,6.23,7.14,1
01/08/2021,12:00,N,6,5.37,5.06,0.96
01/08/2021,13:00,N,5.01,3.86,3.66,0.95
01/08/2021,14:00,N,4.2,3.3,3.11,0.93
01/08/2021,15:00,N,5.21,3.43,3.11,0.75
01/08/2021,16:00,N,3.29,4.01,3.72,0.75
01/08/2021,17:00,N,0.03,5.84,5.49,0.89
01/08/2021,18:00,N,1.09,26.12,26.28,0.96
01/08/2021,19:00,N,6.15,18.67,19.29,2.99
01/08/2021,20:00,N,4.62,3.11,7.94,2.15
01/08/2021,21:00,N,3.5,3.11,6.53,2.32
01/08/2021,22:00,N,6,3.8,5.76,1.94
01/08/2021,23:00,N,6,3.35,4.78,0.66
01/08/2021,24:00,N,6,3,5.13,0.71
01/09/2021,01:00,N,2.62,0.01,3.51,0.47
01/09/2021,02:00,N,2,2.83,3,0.49
01/09/2021,03:00,N,2.11,3.18,3.11,0.47
01/09/2021,04:00,N,1.97,3.35,3.24,0.47
01/09/2021,05:00,N,2.56,4,3.56,0.47
01/09/2021,06:00,N,5.01,10.06,8.85,0.59
01/09/2021,07:00,N,5,19.96,19.67,4.38
01/09/2021,08:00,N,7.12,17.18,19.48,5
01/09/2021,09:00,N,14.86,12.85,21.2,4.5
01/09/2021,10:00,N,11.17,9.31,10.86,1.86
01/09/2021,11:00,N,8,5.13,5.32,0.99
01/09/2021,12:00,N,6,5.23,5.06,0.97
01/09/2021,13:00,N,8,4.46,4.75,0.97
01/09/2021,14:00,N,6,3.65,3.51,0.97
01/09/2021,15:00,N,8,3.25,3,0.75
01/09/2021,16:00,N,5.47,3.58,3.16,0.75
01/09/2021,17:00,N,3.11,9.15,8.35,0.88
01/09/2021,18:00,N,5,19.19,14.35,0.97
01/09/2021,19:00,N,8,9.18,9.48,5.33
01/09/2021,20:00,N,5,5.47,6,2
01/09/2021,21:00,N,6,4.01,4.25,1.63
01/09/2021,22:00,N,8,5.25,5.48,1.32
01/09/2021,23:00,N,15,3.8,4.23,0.65
01/09/2021,24:00,N,8,3.8,4,0.7
01/10/2021,01:00,N,3.02,4,4.33,0.5
01/10/2021,02:00,N,2,4,4.01,0.5
01/10/2021,03:00,N,2,4,3.64,0.5
01/10/2021,04:00,N,2,4,3.39,0.5
01/10/2021,05:00,N,2,4,3.48,0.5
01/10/2021,06:00,N,3.5,6.85,4.25,0.58
01/10/2021,07:00,N,3.5,9.81,7.02,5.02
01/10/2021,08:00,N,3.5,8,7.47,6
01/10/2021,09:00,N,10.54,6.88,7.69,6.43
01/10/2021,10:00,N,8.87,8.87,8.87,8
