Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2015,01:00,N,2.11,2.11,3,1
01/01/2015,02:00,N,1.5,1.01,3,1
01/01/2015,03:00,N,1.5,1.01,3,1
01/01/2015,04:00,N,1.5,1.01,3,1
01/01/2015,05:00,N,2.87,2.5,3,1
01/01/2015,06:00,N,8.52,4.06,4.1,1.72
01/01/2015,07:00,N,14.33,9.32,9.32,1
01/01/2015,08:00,N,5.92,6,9.04,1
01/01/2015,09:00,N,3.01,5.9,9,1
01/01/2015,10:00,N,3.46,6.43,9.52,1
01/01/2015,11:00,N,3.9,5.55,8.1,1
01/01/2015,12:00,N,3,4.79,7.57,1
01/01/2015,13:00,N,3.01,3,5,1
01/01/2015,14:00,N,3.45,3,4.24,1
01/01/2015,15:00,N,2.99,2.5,4.1,1
01/01/2015,16:00,N,2.69,2.61,4,1
01/01/2015,17:00,N,2.98,4,4.85,1
01/01/2015,18:00,N,3,23.42,23.42,4.62
01/01/2015,19:00,N,3,24.56,25.56,6.34
01/01/2015,20:00,N,2.98,9.21,12.3,6.34
01/01/2015,21:00,N,3,5.86,8.17,3.86
01/01/2015,22:00,N,3.29,4,6,1
01/01/2015,23:00,N,2.64,3.81,4.1,1
01/01/2015,24:00,N,3.36,3,4.1,1
01/02/2015,01:00,N,2.61,2.04,2.25,1
01/02/2015,02:00,N,1.75,2.11,2.11,1
01/02/2015,03:00,N,1,2.11,2.11,1
01/02/2015,04:00,N,1.5,2.11,2.11,1
01/02/2015,05:00,N,4.72,2.34,2.34,1
01/02/2015,06:00,N,6.42,4,4,1.58
01/02/2015,07:00,N,5.71,20.39,20.39,4.22
01/02/2015,08:00,N,3.11,11.63,12.63,4.22
01/02/2015,09:00,N,3.11,6.74,8.64,1.35
01/02/2015,10:00,N,3.11,7.3,8.31,1.33
01/02/2015,11:00,N,5.29,5.97,8.28,1
01/02/2015,12:00,N,3.32,3.82,6,1
01/02/2015,13:00,N,3.32,3,5.13,1
01/02/2015,14:00,N,3.87,3,4.32,1
01/02/2015,15:00,N,4.4,2.5,4,1
01/02/2015,16:00,N,3.21,2.22,3.69,1
01/02/2015,17:00,N,4.44,3.5,4.1,1
01/02/2015,18:00,N,3,16.01,16.01,2.61
01/02/2015,19:00,N,3,16.69,17.69,2.61
01/02/2015,20:00,N,3,5.26,8.96,1.17
01/02/2015,21:00,N,3,4,7.09,1.26
01/02/2015,22:00,N,9.11,3,5.08,1
01/02/2015,23:00,N,2.99,3.98,4.1,1
01/02/2015,24:00,N,3.01,3.05,5.48,1
01/03/2015,01:00,N,1,2.94,3,1
01/03/2015,02:00,N,0.5,1.45,3,1
01/03/2015,03:00,N,1,1.7,2.16,1
01/03/2015,04:00,N,1,1.24,3,1
01/03/2015,05:00,N,3.68,2.5,3,1
01/03/2015,06:00,N,10.82,3,3,1
01/03/2015,07:00,N,16.68,5.21,5.21,1
01/03/2015,08:00,N,7.75,4.62,4.62,1
01/03/2015,09:00,N,3.98,5.33,7,1
01/03/2015,10:00,N,5.65,5.02,8.01,1
01/03/2015,11:00,N,11.41,5,7.99,1
01/03/2015,12:00,N,3.81,3.64,5,1
01/03/2015,13:00,N,5.38,3,4,1
01/03/2015,14:00,N,5.21,3,4,1
01/03/2015,15:00,N,5.65,1.27,4,1
01/03/2015,16:00,N,5.39,1.31,4,1
01/03/2015,17:00,N,4.52,2.5,3,1
01/03/2015,18:00,N,7.75,10,5.02,1
01/03/2015,19:00,N,7.75,6,4.88,1
01/03/2015,20:00,N,5.65,3.7,4,1
01/03/2015,21:00,N,3.46,3.62,4,1
01/03/2015,22:00,N,9.03,3.06,4,1
01/03/2015,23:00,N,2.61,3,3,1
01/03/2015,24:00,N,3.87,2,3,1
01/04/2015,01:00,N,2.16,1.61,1.61,1
01/04/2015,02:00,N,1,1.46,2,1
01/04/2015,03:00,N,1,1.7,2,1
01/04/2015,04:00,N,1,1.25,2,1
01/04/2015,05:00,N,4.33,2.33,2.33,1
01/04/2015,06:00,N,15.09,3,3,1
01/04/2015,07:00,N,14.49,5,4,1
01/04/2015,08:00,N,8.11,3.45,3.45,1
01/04/2015,09:00,N,3.27,4.3,4.54,1
01/04/2015,10:00,N,3.98,4.44,5.2,1
01/04/2015,11:00,N,10,3.73,5.8,1
01/04/2015,12:00,N,3.01,3.22,5.1,1
01/04/2015,13:00,N,2.61,3,4.49,1.02
01/04/2015,14:00,N,2.61,3,4.21,1
01/04/2015,15:00,N,2.61,2.11,3.88,1
01/04/2015,16:00,N,2.11,2.5,3.5,1
01/04/2015,17:00,N,2.11,3,3.64,1
01/04/2015,18:00,N,3,16.04,16.83,4.22
01/04/2015,19:00,N,3,11.86,14.85,2.61
01/04/2015,20:00,N,2.98,5.26,9.02,2.61
01/04/2015,21:00,N,3,5,8.32,2.59
01/04/2015,22:00,N,4.52,5.23,8,2
01/04/2015,23:00,N,3,4.32,6.29,1
01/04/2015,24:00,N,3,3.68,5.17,1
01/05/2015,01:00,N,3.01,2.11,3,2
01/05/2015,02:00,N,2.11,1.8,3,2
01/05/2015,03:00,N,2.16,1.71,3,2
01/05/2015,04:00,N,2,2,3,2
01/05/2015,05:00,N,3.67,3.11,4.61,2.11
01/05/2015,06:00,N,5.05,8.91,8.91,6.2
01/05/2015,07:00,N,3,77.48,75,35
01/05/2015,08:00,N,3,45.66,45.66,35
01/05/2015,09:00,N,3,17.54,20.7,15
01/05/2015,10:00,N,3,8.52,10.46,7.02
01/05/2015,11:00,N,3.98,4.84,6.24,2.91
01/05/2015,12:00,N,3.96,3.11,4,1
01/05/2015,13:00,N,4.15,3.02,3.66,1.25
01/05/2015,14:00,N,4.45,2.87,2.87,1
01/05/2015,15:00,N,5.65,2.11,3,1
01/05/2015,16:00,N,2.78,2.11,3,1
01/05/2015,17:00,N,3.11,2.72,3.97,1
01/05/2015,18:00,N,4.18,8.92,7.81,4.02
01/05/2015,19:00,N,5.64,14.03,14.03,9.23
01/05/2015,20:00,N,3,5.42,7.79,2.92
01/05/2015,21:00,N,3,5.51,6.92,3.51
01/05/2015,22:00,N,8.11,4.14,4.82,1.96
01/05/2015,23:00,N,3.01,3.03,4,1
01/05/2015,24:00,N,2.99,2.65,4,1
01/06/2015,01:00,N,3.01,1.15,1.89,1
01/06/2015,02:00,N,2.61,1.12,1.89,1
01/06/2015,03:00,N,1.75,1.27,1.61,1
01/06/2015,04:00,N,2.61,1.21,1.89,1
01/06/2015,05:00,N,3.01,1.89,1.89,1
01/06/2015,06:00,N,5.01,2.79,2.79,1
01/06/2015,07:00,N,3,35.79,35.79,15
01/06/2015,08:00,N,3,9.62,9.62,7.12
01/06/2015,09:00,N,3,4.24,4.24,2.59
01/06/2015,10:00,N,3.38,2.76,2.76,1.2
01/06/2015,11:00,N,4.86,2.5,2.5,1.2
01/06/2015,12:00,N,2.61,2.25,2.25,1
01/06/2015,13:00,N,3.11,1.61,1.61,1
01/06/2015,14:00,N,3.78,2,2,1
01/06/2015,15:00,N,3.44,1.61,1.61,1
01/06/2015,16:00,N,2.51,1.61,1.61,1
01/06/2015,17:00,N,2.61,2.26,2.26,1
01/06/2015,18:00,N,5.65,4.1,4.1,2.16
01/06/2015,19:00,N,5.65,6,6,3
01/06/2015,20:00,N,3,3.8,4.1,2
01/06/2015,21:00,N,3.08,4,4,1.12
01/06/2015,22:00,N,11.33,2.89,3,1
01/06/2015,23:00,N,3.11,3,3,1
01/06/2015,24:00,N,2.89,2,2,1
01/07/2015,01:00,N,1.67,1.55,1.61,1
01/07/2015,02:00,N,1,1.74,1.74,1
