Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2012,01:00,N,7.11,5,2.49,1
01/01/2012,02:00,N,7,2.5,2.49,1
01/01/2012,03:00,N,5.89,2,2,1
01/01/2012,04:00,N,5,2.5,2.49,1
01/01/2012,05:00,N,7.11,3,2.49,1
01/01/2012,06:00,N,13.11,6.5,4,1
01/01/2012,07:00,N,5,7.92,5.5,1
01/01/2012,08:00,N,7,5.5,5.26,2.01
01/01/2012,09:00,N,6,6.09,5.68,2
01/01/2012,10:00,N,4.98,5.84,5.68,2
01/01/2012,11:00,N,4.98,4.49,4.16,1.9
01/01/2012,12:00,N,4.98,4.41,4,1
01/01/2012,13:00,N,4.24,3.75,4,2
01/01/2012,14:00,N,4.98,4.4,4.4,2
01/01/2012,15:00,N,4.98,3.5,4.25,2
01/01/2012,16:00,N,4.98,2,2.49,2
01/01/2012,17:00,N,4.98,2.8,2.8,2
01/01/2012,18:00,N,6.08,7.66,6.25,2.01
01/01/2012,19:00,N,7.11,11.95,11.95,2.01
01/01/2012,20:00,N,5.29,6.25,6.25,2.01
01/01/2012,21:00,N,4.98,6.11,5.25,2.01
01/01/2012,22:00,N,6.5,5.21,4.81,2.01
01/01/2012,23:00,N,7,6.39,5,1.88
01/01/2012,24:00,N,6.04,4.21,4,1
01/02/2012,01:00,N,7,4.41,2.5,1
01/02/2012,02:00,N,7,2.5,2,1
01/02/2012,03:00,N,6,1.59,2,1
01/02/2012,04:00,N,5,2,2,0.5
01/02/2012,05:00,N,7.09,3,2.49,0.5
01/02/2012,06:00,N,13.56,5.46,2.74,1.21
01/02/2012,07:00,N,5,7.92,5,1.81
01/02/2012,08:00,N,7,6.66,6.66,2
01/02/2012,09:00,N,6.08,7.1,7.1,0.5
01/02/2012,10:00,N,4.6,6.9,6.9,1.8
01/02/2012,11:00,N,4.98,4.09,4,1.87
01/02/2012,12:00,N,4.98,3.75,3.65,1.67
01/02/2012,13:00,N,4.98,2.78,2.78,2
01/02/2012,14:00,N,4.98,2.16,2.24,2
01/02/2012,15:00,N,5,1.22,2.24,1.88
01/02/2012,16:00,N,4.98,1,2.24,1.88
01/02/2012,17:00,N,4.98,1.91,2.49,1.91
01/02/2012,18:00,N,6.5,8.56,7.26,2.01
01/02/2012,19:00,N,7,14.64,14.16,2.01
01/02/2012,20:00,N,5.1,10.59,10.59,2.01
01/02/2012,21:00,N,4.98,6.92,6.92,2.01
01/02/2012,22:00,N,4.98,5.25,4.91,2.01
01/02/2012,23:00,N,6.67,6.5,4.46,2
01/02/2012,24:00,N,4.98,3.78,3.29,1
01/03/2012,01:00,N,7,4.67,2.15,0.5
01/03/2012,02:00,N,7.11,3,2.49,0.5
01/03/2012,03:00,N,7,1.61,2,0.5
01/03/2012,04:00,N,5,2.12,2.12,0.5
01/03/2012,05:00,N,7,3.57,2,0.5
01/03/2012,06:00,N,8.56,6.06,5.76,2.25
01/03/2012,07:00,N,4.98,17.07,16.15,2.27
01/03/2012,08:00,N,7,21.53,21.53,2.27
01/03/2012,09:00,N,6,11.24,11.24,2.27
01/03/2012,10:00,N,4.6,7.88,7.88,2.27
01/03/2012,11:00,N,4.98,6.53,6.53,2.27
01/03/2012,12:00,N,4.98,5.02,4.74,1.88
01/03/2012,13:00,N,4.98,4.14,4.14,2.25
01/03/2012,14:00,N,4.98,4,4,2.11
