Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2013,01:00,N,3.52,3.01,3,1
01/01/2013,02:00,N,6.01,2,3,1
01/01/2013,03:00,N,5.61,2,3,1
01/01/2013,04:00,N,5.52,3,3,1
01/01/2013,05:00,N,5.35,3.01,3,1
01/01/2013,06:00,N,21.25,4.81,3,1
01/01/2013,07:00,N,10.1,5.75,3,1
01/01/2013,08:00,N,8.11,3.01,3.01,1
01/01/2013,09:00,N,3.45,3.01,3,1
01/01/2013,10:00,N,3.06,3.58,3,1
01/01/2013,11:00,N,3.45,4.47,3.07,1
01/01/2013,12:00,N,3.36,3,3,1
01/01/2013,13:00,N,3.25,2.74,2.28,1
01/01/2013,14:00,N,3.25,2,1.95,1
01/01/2013,15:00,N,3.25,0.01,1.92,1
01/01/2013,16:00,N,3.45,0.01,1.95,1
01/01/2013,17:00,N,3.45,1.79,1.98,1
01/01/2013,18:00,N,1.92,11.46,10,1
01/01/2013,19:00,N,3.45,11.71,13.28,1
01/01/2013,20:00,N,2.15,2.24,7.74,1
01/01/2013,21:00,N,2,2,6.65,1
01/01/2013,22:00,N,3.39,2,3.15,1
01/01/2013,23:00,N,3.45,8.89,6.83,1
01/01/2013,24:00,N,3.45,2.23,3,1
01/02/2013,01:00,N,3.45,3,3,1
01/02/2013,02:00,N,4,2.3,2.98,1
01/02/2013,03:00,N,4,2.02,2.02,1
01/02/2013,04:00,N,4,3,3,1
01/02/2013,05:00,N,4,3,3,1
01/02/2013,06:00,N,5.71,4.9,4.28,1
01/02/2013,07:00,N,3.45,13.26,10.37,1
01/02/2013,08:00,N,2.43,10.44,11.75,1
01/02/2013,09:00,N,1.32,6.25,7.78,1
01/02/2013,10:00,N,1,5.28,7.62,1
01/02/2013,11:00,N,1,4.3,5.97,1
01/02/2013,12:00,N,2.01,2,3,1
01/02/2013,13:00,N,3,1.78,1.95,1
01/02/2013,14:00,N,2.75,1.71,1.8,1
01/02/2013,15:00,N,3,1,1.35,1
01/02/2013,16:00,N,3,1,1.26,1
01/02/2013,17:00,N,2.91,1.87,1.87,1
01/02/2013,18:00,N,1.13,10.09,9.14,1
01/02/2013,19:00,N,2.11,10.54,10.54,1.15
01/02/2013,20:00,N,2,7.45,8,1
01/02/2013,21:00,N,1.51,2.98,4.37,1
01/02/2013,22:00,N,2,2.98,4.5,1
01/02/2013,23:00,N,3,4.63,3,1
01/02/2013,24:00,N,3,3,3,1
01/03/2013,01:00,N,3.12,3,3,1
01/03/2013,02:00,N,3.45,2,3,1
01/03/2013,03:00,N,3.45,2,3,1
01/03/2013,04:00,N,3.06,2.11,3,1
01/03/2013,05:00,N,3,2.91,3,1
01/03/2013,06:00,N,5.5,7,4,1
01/03/2013,07:00,N,3.35,19.55,16.55,1
01/03/2013,08:00,N,3.1,11.78,12.78,1
01/03/2013,09:00,N,1.41,6.79,8,1
01/03/2013,10:00,N,1,6.82,6.82,1
01/03/2013,11:00,N,1,5,5,1
01/03/2013,12:00,N,2.42,2,2,1
01/03/2013,13:00,N,3,1,1.64,1
01/03/2013,14:00,N,3,1.6,1.26,1
01/03/2013,15:00,N,3.43,0.01,1,1
01/03/2013,16:00,N,3.06,0.01,1,1
01/03/2013,17:00,N,2.84,1.36,1.47,1
01/03/2013,18:00,N,1.35,10.29,8.76,1
01/03/2013,19:00,N,2.15,12.02,12.02,1.5
01/03/2013,20:00,N,2,4.23,8.94,1
01/03/2013,21:00,N,1.57,2.98,8,1
01/03/2013,22:00,N,2,2.98,4.01,1
01/03/2013,23:00,N,3.45,5.7,3.79,1
01/03/2013,24:00,N,2.95,3,3,1
01/04/2013,01:00,N,3,2,3,1
01/04/2013,02:00,N,3.21,1.5,2.99,1
01/04/2013,03:00,N,3,1.9,2.11,1
01/04/2013,04:00,N,3,2,2.6,1
01/04/2013,05:00,N,3,1.9,2.91,1
01/04/2013,06:00,N,3.45,8.7,7.6,1
01/04/2013,07:00,N,3.45,14.31,13.16,1
01/04/2013,08:00,N,3.05,10.65,12.85,1
01/04/2013,09:00,N,1.47,7.23,8.36,1
01/04/2013,10:00,N,1,7.5,8.52,1
01/04/2013,11:00,N,1,5.91,7,1
01/04/2013,12:00,N,1.5,2.47,4,1
01/04/2013,13:00,N,1.9,2,2.1,1
01/04/2013,14:00,N,2.11,1.9,2,1
01/04/2013,15:00,N,2.11,0.01,1.9,1
01/04/2013,16:00,N,2.11,0.01,1.9,1
01/04/2013,17:00,N,1.9,1.9,2,1
01/04/2013,18:00,N,1.19,12.23,11,1
01/04/2013,19:00,N,2.11,10.77,10.77,1.81
01/04/2013,20:00,N,2,4.47,7.45,1
01/04/2013,21:00,N,1.31,2,4.55,1
01/04/2013,22:00,N,2.25,2.08,3.2,1
01/04/2013,23:00,N,3.41,4.16,4.47,1
01/04/2013,24:00,N,2.01,3.16,3.16,1
01/05/2013,01:00,N,2.9,2,2.99,1
01/05/2013,02:00,N,3.45,1,2.99,1
01/05/2013,03:00,N,3.06,1.7,2.11,1
01/05/2013,04:00,N,3,1.91,2.11,1
01/05/2013,05:00,N,3.38,2,2.11,1
01/05/2013,06:00,N,6,3.1,3,1
01/05/2013,07:00,N,3.53,8.59,4.6,1
01/05/2013,08:00,N,3.17,3,4.42,1
01/05/2013,09:00,N,0.68,5.35,7.35,1
01/05/2013,10:00,N,0.33,6.65,8.44,1
01/05/2013,11:00,N,0.48,6.86,7.86,1
01/05/2013,12:00,N,2.17,2.09,3.38,1
01/05/2013,13:00,N,3.45,1.95,1.95,1
01/05/2013,14:00,N,3.45,1.71,1.71,1
01/05/2013,15:00,N,3.45,1,1.42,1
01/05/2013,16:00,N,3.75,1,1.35,1
01/05/2013,17:00,N,3.45,1.7,1.7,1
01/05/2013,18:00,N,0.74,9.47,8.32,1
01/05/2013,19:00,N,1.74,9.58,9.62,1
01/05/2013,20:00,N,1.18,2,4.51,1
01/05/2013,21:00,N,1.41,1.45,4.31,1
01/05/2013,22:00,N,2.14,2,4.25,1
01/05/2013,23:00,N,3.52,4.6,4.6,1
01/05/2013,24:00,N,3.53,2.49,3,1
01/06/2013,01:00,N,3.05,2,2.01,1
01/06/2013,02:00,N,3.59,1.8,1.8,1
01/06/2013,03:00,N,3.52,1.8,1.8,1
01/06/2013,04:00,N,3.45,2,2,1
01/06/2013,05:00,N,3.45,2,2,1
01/06/2013,06:00,N,8.09,5.33,4.6,1
01/06/2013,07:00,N,4.56,12.33,11.18,1
01/06/2013,08:00,N,3.45,3.05,7.78,1
01/06/2013,09:00,N,0.6,5.01,8.84,1
01/06/2013,10:00,N,0.43,6.09,8.09,1
01/06/2013,11:00,N,0.69,4.78,5.77,1
01/06/2013,12:00,N,3.3,2,2.5,1
01/06/2013,13:00,N,3.45,1.8,1.8,1
01/06/2013,14:00,N,3.45,1.67,1.67,1
01/06/2013,15:00,N,3.52,0.17,1.62,1
01/06/2013,16:00,N,4,0.46,1.62,1
01/06/2013,17:00,N,3.45,1.8,1.8,1
01/06/2013,18:00,N,0.82,10.43,10.43,1
01/06/2013,19:00,N,1.84,9.96,11.54,1
01/06/2013,20:00,N,0.76,2,7.31,1
01/06/2013,21:00,N,0.52,1.27,5.92,1
01/06/2013,22:00,N,2.11,2,4.26,1
01/06/2013,23:00,N,3.45,4.04,4.22,1
01/06/2013,24:00,N,3.45,2.92,3,1
01/07/2013,01:00,N,3,2,2,1
01/07/2013,02:00,N,3.45,1.1,1.92,1
01/07/2013,03:00,N,3.45,1.71,1.71,1
01/07/2013,04:00,N,3.16,2,2,1
