Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2019,01:00,N,5.26,5,6.04,1.08
01/01/2019,02:00,N,3.98,4.37,5.9,1.05
01/01/2019,03:00,N,3.5,4.44,5.01,0.93
01/01/2019,04:00,N,3.47,5,5.63,0.93
01/01/2019,05:00,N,8,7,7.02,0.94
01/01/2019,06:00,N,8,15,7.61,0.97
01/01/2019,07:00,N,4.01,26.55,11.01,5.53
01/01/2019,08:00,N,2.61,8.04,8.24,6.04
01/01/2019,09:00,N,3.46,7.76,7.98,5
01/01/2019,10:00,N,3.46,6.32,7.48,5.36
01/01/2019,11:00,N,5.26,4,7.28,0.99
01/01/2019,12:00,N,3.5,4,5.44,0.99
01/01/2019,13:00,N,3.5,4,4.45,0.99
01/01/2019,14:00,N,3.01,4,4.2,0.98
01/01/2019,15:00,N,2.61,3.8,4,0.99
01/01/2019,16:00,N,0.01,3.8,4,0.99
01/01/2019,17:00,N,0.01,5,5.45,0.95
01/01/2019,18:00,N,2.21,15,15,0.96
01/01/2019,19:00,N,3.5,13.56,13.76,0.97
01/01/2019,20:00,N,3.5,6.55,8.94,0.97
01/01/2019,21:00,N,3.5,5.46,7.21,1.34
01/01/2019,22:00,N,3.98,3.36,4.54,0.97
01/01/2019,23:00,N,6,4,4.8,1.09
01/01/2019,24:00,N,4.01,3.72,4,1.11
01/02/2019,01:00,N,3.01,1.02,1.87,1
01/02/2019,02:00,N,0.38,1,1.5,1
01/02/2019,03:00,N,0.28,1,1.5,0.97
01/02/2019,04:00,N,0.01,1,1.26,0.97
01/02/2019,05:00,N,2.11,2.38,2.9,0.97
01/02/2019,06:00,N,4.92,6.44,5.94,0.97
01/02/2019,07:00,N,4,15.51,15.51,8.33
01/02/2019,08:00,N,1.76,11.27,12.27,6.37
01/02/2019,09:00,N,3,8.14,9.84,5.38
01/02/2019,10:00,N,2.61,10.22,12.37,5.08
01/02/2019,11:00,N,3.5,8.33,13.36,0.98
01/02/2019,12:00,N,3.11,4.81,10.26,0.98
01/02/2019,13:00,N,3.01,4.59,8,0.98
01/02/2019,14:00,N,2.29,4.25,8.23,0.97
01/02/2019,15:00,N,1.74,4,7.63,0.98
01/02/2019,16:00,N,0.84,4,7.47,0.98
01/02/2019,17:00,N,0.61,5,9.27,0.94
01/02/2019,18:00,N,3.02,36.9,36.61,0.95
01/02/2019,19:00,N,3.37,36.92,38.29,0.96
01/02/2019,20:00,N,2.11,5.04,12.97,0.96
01/02/2019,21:00,N,2.88,11.96,16.13,1.29
01/02/2019,22:00,N,3.01,4,7.83,0.96
01/02/2019,23:00,N,5.1,4,5,0.99
01/02/2019,24:00,N,3.5,2.11,2.31,0.99
01/03/2019,01:00,N,2.61,2,2.21,0.97
01/03/2019,02:00,N,0.37,1,1.5,0.97
01/03/2019,03:00,N,0.01,1,1.58,0.96
01/03/2019,04:00,N,0.07,1.31,1.5,0.96
01/03/2019,05:00,N,0.72,2.01,1.5,0.96
01/03/2019,06:00,N,3.02,7,6,0.96
01/03/2019,07:00,N,2.15,31.5,30.5,7
01/03/2019,08:00,N,1.47,12.44,15.65,6.07
01/03/2019,09:00,N,2.31,6.82,11.43,4.83
01/03/2019,10:00,N,2.31,5.71,10.4,4.75
01/03/2019,11:00,N,3.5,4,8.46,0.97
