Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2020,01:00,N,4.24,2.01,10,0.74
01/01/2020,02:00,N,4,3,10,0.74
01/01/2020,03:00,N,4,3,10,0.75
01/01/2020,04:00,N,4,3,10,0.75
01/01/2020,05:00,N,5.12,8.8,10,0.75
01/01/2020,06:00,N,5.87,11,10,0.75
01/01/2020,07:00,N,12.41,23.21,22.41,7.78
01/01/2020,08:00,N,13.14,8.22,13.94,7.22
01/01/2020,09:00,N,14.39,6.09,14.04,6.09
01/01/2020,10:00,N,10.53,4.07,7.12,4.82
01/01/2020,11:00,N,12.53,3,8.62,1.22
01/01/2020,12:00,N,10.83,3,9,1.01
01/01/2020,13:00,N,10.06,2.01,9,1
01/01/2020,14:00,N,10,2.01,8.43,1
01/01/2020,15:00,N,10,0,8.34,0.96
01/01/2020,16:00,N,10,2.61,7.61,0.96
01/01/2020,17:00,N,8.52,5,8.82,0.96
01/01/2020,18:00,N,9.02,20.38,22.64,0.97
01/01/2020,19:00,N,13.3,8.22,17,7.22
01/01/2020,20:00,N,10.51,3,11.11,5
01/01/2020,21:00,N,8.8,2.01,7.14,4
01/01/2020,22:00,N,10,2.01,7.68,3.2
01/01/2020,23:00,N,16.01,2.01,11.61,0.74
01/01/2020,24:00,N,12,2.61,10,0.74
01/02/2020,01:00,N,8.64,5,12,0.74
01/02/2020,02:00,N,9.42,5,12.55,0.74
01/02/2020,03:00,N,9.56,9,12,0.5
01/02/2020,04:00,N,9.14,9,13.09,0.5
01/02/2020,05:00,N,12.01,17,17,0.74
01/02/2020,06:00,N,13,70,17,0.74
01/02/2020,07:00,N,13.68,42.01,23.68,1.95
01/02/2020,08:00,N,12.89,12.89,14.28,1.76
01/02/2020,09:00,N,12.08,7,15,1.95
01/02/2020,10:00,N,11.58,4.6,6.92,0.99
01/02/2020,11:00,N,21.02,3,7.46,0.75
01/02/2020,12:00,N,10.51,3,7.92,0.75
01/02/2020,13:00,N,10.07,3,7.62,0.75
01/02/2020,14:00,N,10.13,3,6.02,0.75
01/02/2020,15:00,N,10,3,6.66,0.75
01/02/2020,16:00,N,9.01,3,5.38,0.75
01/02/2020,17:00,N,9.01,5,7.29,0.75
01/02/2020,18:00,N,19.03,20.71,20.41,0.75
01/02/2020,19:00,N,19.22,17.54,18.07,0.99
01/02/2020,20:00,N,12.01,3.48,11.06,0.99
01/02/2020,21:00,N,7.81,3,8.57,0.99
01/02/2020,22:00,N,10.75,3,7.33,0.99
01/02/2020,23:00,N,12.07,3.51,10,0.73
01/02/2020,24:00,N,12,3.51,10,0.73
01/03/2020,01:00,N,3.46,3,4.11,0.5
01/03/2020,02:00,N,3,4.11,4.11,0.5
01/03/2020,03:00,N,3.01,3.36,4,0.49
01/03/2020,04:00,N,3.01,4.11,4.11,0.49
01/03/2020,05:00,N,3.1,5,5,0.5
01/03/2020,06:00,N,6,10.53,6,0.5
01/03/2020,07:00,N,4.99,17.93,11.26,0.99
01/03/2020,08:00,N,6,8.16,8.54,1.01
01/03/2020,09:00,N,6.94,6,8,1.95
01/03/2020,10:00,N,6.59,4.24,5.67,3.37
01/03/2020,11:00,N,11,3,4,0.96
01/03/2020,12:00,N,11,3,3.47,0.92
01/03/2020,13:00,N,6,3,3.39,0.92
01/03/2020,14:00,N,4.35,3,3.33,0.92
01/03/2020,15:00,N,4.27,3,3.21,0.74
01/03/2020,16:00,N,3.5,3.28,3.52,0.74
01/03/2020,17:00,N,3.5,5,5.66,0.74
01/03/2020,18:00,N,6,15.97,15.17,0.74
01/03/2020,19:00,N,7.18,12.31,12.44,1.21
01/03/2020,20:00,N,6,3.51,10,1.14
01/03/2020,21:00,N,4.16,4,9.48,1.18
01/03/2020,22:00,N,5.08,3.94,8,1.01
01/03/2020,23:00,N,7.4,3,7.09,0.72
01/03/2020,24:00,N,6,3,7.38,0.72
01/04/2020,01:00,N,3.5,3.51,7.25,0.74
01/04/2020,02:00,N,2.51,5,6.45,0.74
01/04/2020,03:00,N,3.46,4.41,4.41,0.74
01/04/2020,04:00,N,3.01,4,4.06,0.74
01/04/2020,05:00,N,4,5,4.25,0.74
01/04/2020,06:00,N,6.77,13,5.75,0.74
01/04/2020,07:00,N,6,16,8,5
01/04/2020,08:00,N,7.17,7.58,8.58,6.58
01/04/2020,09:00,N,10,9.02,11.38,8.02
01/04/2020,10:00,N,9.15,9,10.93,8.02
01/04/2020,11:00,N,14.11,4,8.03,1.25
01/04/2020,12:00,N,10,3.68,6.5,1.02
01/04/2020,13:00,N,6.91,3,5.36,1.01
01/04/2020,14:00,N,6,3,5,1.02
01/04/2020,15:00,N,4.96,3,5.33,0.96
01/04/2020,16:00,N,3.5,4,5,0.75
01/04/2020,17:00,N,4.01,5,5.24,0.75
01/04/2020,18:00,N,6,13,12.7,0.75
01/04/2020,19:00,N,9.34,9.31,9.5,2.25
01/04/2020,20:00,N,6,3.51,6,2.25
01/04/2020,21:00,N,6,3.51,5.53,2.25
01/04/2020,22:00,N,7.7,3,8,2.25
01/04/2020,23:00,N,10,3.51,12,0.74
01/04/2020,24:00,N,10,3,9.48,0.74
01/05/2020,01:00,N,10,2.01,7.11,0.74
01/05/2020,02:00,N,10,5,7.25,0.74
01/05/2020,03:00,N,6.44,5,7.25,0.74
01/05/2020,04:00,N,4.34,5,5.75,0.74
01/05/2020,05:00,N,6,5,5.75,0.74
01/05/2020,06:00,N,10,24,5.75,0.74
01/05/2020,07:00,N,10.22,25,7.11,4.11
01/05/2020,08:00,N,10,7,8.5,5
01/05/2020,09:00,N,10.72,5.87,7,4.85
01/05/2020,10:00,N,10,4.97,7,4
01/05/2020,11:00,N,13.39,3.51,5.87,0.96
01/05/2020,12:00,N,12.41,3.69,5.19,0.96
01/05/2020,13:00,N,6,3,4.33,0.96
01/05/2020,14:00,N,6,3,4.64,0.96
