Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN
1/1/2011,1:00,N,6,3.21,3.21,2
1/1/2011,2:00,N,6,3,3,1.95
1/1/2011,3:00,N,5,4.26,4.26,1.91
1/1/2011,4:00,N,5,4.19,4.19,1.89
1/1/2011,5:00,N,7,5.51,5.51,2
1/1/2011,6:00,N,7,6.91,6.91,2.49
1/1/2011,7:00,N,4,28.56,19.31,3.08
1/1/2011,8:00,N,6.92,12.47,12.47,3.08
1/1/2011,9:00,N,4,15.88,15.88,2.88
1/1/2011,10:00,N,7.27,12.09,12.09,2.88
1/1/2011,11:00,N,4,5.53,6.5,2.23
1/1/2011,12:00,N,4.4,5.98,6.5,2.27
1/1/2011,13:00,N,3,5.43,5.65,2.3
1/1/2011,14:00,N,3.01,3.85,4.34,2.34
1/1/2011,15:00,N,3.2,3.91,4.36,2.36
1/1/2011,16:00,N,3.17,4.43,4.43,2.37
1/1/2011,17:00,N,3.7,4.5,4.5,2.44
1/1/2011,18:00,N,4.5,12.82,9.78,2.73
1/1/2011,19:00,N,7.91,28.25,22.53,2.24
1/1/2011,20:00,N,3.97,14.61,14.61,2.21
1/1/2011,21:00,N,2.5,10,10,2.2
1/1/2011,22:00,N,3.75,6.22,6.47,2.18
1/1/2011,23:00,N,4.87,6.6,6.6,2.11
1/1/2011,24:00:00,N,4.53,7.91,7.91,2
1/2/2011,1:00,N,4.66,3,3,1.97
1/2/2011,2:00,N,4.02,3,3,1.89
1/2/2011,3:00,N,2.5,3,3,1.85
1/2/2011,4:00,N,2.5,3,3,1.83
1/2/2011,5:00,N,5,3.91,3.91,2.8
1/2/2011,6:00,N,7,8.06,5.23,2.8
1/2/2011,7:00,N,3.91,22.3,5.91,3.08
1/2/2011,8:00,N,7.11,14.39,10.91,3.08
1/2/2011,9:00,N,4.2,16.5,10.98,2.88
1/2/2011,10:00,N,7.91,10,7.29,2.88
1/2/2011,11:00,N,4.5,4.99,4.99,2.18
1/2/2011,12:00,N,4.44,4.7,4.99,2.28
1/2/2011,13:00,N,3.26,4.34,4.34,2.34
1/2/2011,14:00,N,4.1,3.91,4.3,2.39
1/2/2011,15:00,N,4.4,3.91,4.27,2.41
1/2/2011,16:00,N,4.77,4.42,4.42,2.42
1/2/2011,17:00,N,3.94,4.7,4.7,2.7
1/2/2011,18:00,N,6.75,15.14,7.6,2.93
1/2/2011,19:00,N,12.91,30,18.77,3.17
1/2/2011,20:00,N,4,15.26,12.17,2.57
1/2/2011,21:00,N,2.5,12.63,8.5,2.42
1/2/2011,22:00,N,3.03,8.5,8.5,2.23
1/2/2011,23:00,N,7.91,9.3,8.5,2.3
1/2/2011,24:00:00,N,4.53,7.55,7.55,2.05
1/3/2011,1:00,N,6,3.21,3.21,1.97
1/3/2011,2:00,N,6,3,3,1.93
1/3/2011,3:00,N,4.46,3.83,4,1.87
1/3/2011,4:00,N,4,4,4,1.84
1/3/2011,5:00,N,7,5.5,5.5,2.73
1/3/2011,6:00,N,7,8.06,8.06,2.8
1/3/2011,7:00,N,4,26.84,20.93,4.03
1/3/2011,8:00,N,7.91,21.47,23.95,4.03
1/3/2011,9:00,N,4.2,13.5,13.5,3.48
1/3/2011,10:00,N,7.91,8.29,10.37,3.08
1/3/2011,11:00,N,4.53,3.5,6.34,2.93
1/3/2011,12:00,N,4.5,4.24,5.64,2.93
1/3/2011,13:00,N,3.07,5.43,5.43,2.93
1/3/2011,14:00,N,4,3.6,4,2.92
1/3/2011,15:00,N,3.61,3.84,4,2.5
1/3/2011,16:00,N,4,3.91,4,2.5
1/3/2011,17:00,N,4.25,4.5,4.5,2.5
1/3/2011,18:00,N,7.65,14.21,6.91,5
1/3/2011,19:00,N,10.91,30.7,19.8,5.21
1/3/2011,20:00,N,6.06,12.42,11.67,3.23
1/3/2011,21:00,N,2.5,9.68,7.91,2.31
1/3/2011,22:00,N,4.3,5.04,4.99,2.25
1/3/2011,23:00,N,8.12,8.28,8.28,2.13
1/3/2011,24:00:00,N,7.11,8.5,8.5,2.07
1/4/2011,1:00,N,6,5,5,2.12
1/4/2011,2:00,N,5.43,5,5,2.05
1/4/2011,3:00,N,5,3.43,4,2
1/4/2011,4:00,N,4.75,3.91,4,2
1/4/2011,5:00,N,7,4.65,4.66,2.03
1/4/2011,6:00,N,7,8.06,8.06,2.65
1/4/2011,7:00,N,4.43,25,10,2.88
1/4/2011,8:00,N,7.47,10,10,2.88
1/4/2011,9:00,N,4,10.43,10.43,2.88
1/4/2011,10:00,N,7.56,6,5.5,2.88
1/4/2011,11:00,N,4.5,4.14,4.48,2.76
1/4/2011,12:00,N,4,4,4,2.73
1/4/2011,13:00,N,3.77,4,4,2.7
1/4/2011,14:00,N,4.1,3.44,4,2.54
1/4/2011,15:00,N,3.43,3.43,4,2.56
1/4/2011,16:00,N,3.77,4,4,2.57
1/4/2011,17:00,N,5.43,4.5,4.5,2.53
1/4/2011,18:00,N,4.53,14.21,5.9,3.08
1/4/2011,19:00,N,12.5,26.55,15.4,4.25
1/4/2011,20:00,N,3.43,10.43,8.96,3.03
1/4/2011,21:00,N,3,7.55,5.77,2.47
1/4/2011,22:00,N,4.12,4.99,4.99,2.33
1/4/2011,23:00,N,7.37,7.43,7.43,2.31
1/4/2011,24:00:00,N,8.43,9.1,9.75,2.24
1/5/2011,1:00,N,12.42,5,5,2.27
1/5/2011,2:00,N,7.11,5,5,2.2
1/5/2011,3:00,N,5,5,5,2.17
1/5/2011,4:00,N,5,5,5,2.18
1/5/2011,5:00,N,12.74,6,6,2.5
1/5/2011,6:00,N,10,10,10,2.48
1/5/2011,7:00,N,4,26.92,16,2.55
1/5/2011,8:00,N,7.72,14,15.22,3
1/5/2011,9:00,N,4,15,15,3
1/5/2011,10:00,N,8.43,10,10.26,3
1/5/2011,11:00,N,6.43,5,6.34,3
1/5/2011,12:00,N,4.5,4.7,5.47,2.55
1/5/2011,13:00,N,3.46,5.41,5.41,2.55
1/5/2011,14:00,N,3.43,3.91,4.43,2.47
1/5/2011,15:00,N,4.2,4.61,4.67,2.55
1/5/2011,16:00,N,4.05,5,5,2.55
1/5/2011,17:00,N,5.43,4.5,4.5,2.5
1/5/2011,18:00,N,7.11,14.21,10.21,3.04
1/5/2011,19:00,N,13.43,29.82,28.82,2.27
1/5/2011,20:00,N,4,13.15,13.15,2.56
1/5/2011,21:00,N,3.43,10,10,2.74
1/5/2011,22:00,N,6.74,4.59,4.57,2.48
1/5/2011,23:00,N,15,7.24,7.24,2.5
1/5/2011,24:00:00,N,10,8,8.21,2.44
1/6/2011,1:00,N,10,6,6,2.23
1/6/2011,2:00,N,8,6,6,2.2
1/6/2011,3:00,N,6,5,5,2.21
1/6/2011,4:00,N,6,5.43,5.43,2.24
1/6/2011,5:00,N,7.19,5.67,5.97,2.62
1/6/2011,6:00,N,7,8.06,8.06,2.66
1/6/2011,7:00,N,4,26.02,24.16,2.56
1/6/2011,8:00,N,7.95,15.6,15.6,3
1/6/2011,9:00,N,4,11.12,11.12,3
1/6/2011,10:00,N,8.77,6.91,6.91,3
1/6/2011,11:00,N,4.53,4.44,4.45,3
1/6/2011,12:00,N,4.53,3.77,3.77,2.41
1/6/2011,13:00,N,3.7,3.76,3.76,2.36
1/6/2011,14:00,N,5,3.76,3.76,2.33
1/6/2011,15:00,N,3.43,3.76,3.76,2.33
