area-code,day,hour,% difference
0,5,20,0.39736069
0,5,20,0.18329157
0,5,21,0.40948548
0,5,21,0.22771818
0,5,22,0.37893199
0,5,22,0.3677841
0,5,23,0.27331584
0,5,23,0.20371165
0,6,0,0.26995213
0,6,0,0.2033417
0,6,1,0.26481888
0,6,1,0.19600532
0,6,2,0.1960365
0,6,2,0.15561825
0,6,3,0.2079421
0,6,3,0.19882741
0,6,4,0.33416935
0,6,4,0.08248152
0,6,5,0.37016769
0,6,5,0.135469
0,6,6,0.1206453
0,6,6,0.06838508
0,6,7,0.23469515
0,6,7,0.11760309
0,6,8,0.13675769
0,6,8,0.10388943
0,6,9,0.18528542
0,6,9,0.06537795
0,6,10,0.20407447
0,6,10,0.05148414
0,6,11,0.19180782
0,6,11,0.04323804
0,6,12,0.13849171
0,6,12,0.00783796
0,6,13,0.11933885
0,6,13,0.00304946
0,6,14,0.15256795
0,6,14,0.01270629
0,6,15,0.15049635
0,6,15,0.00525779
0,6,16,0.19178655
0,6,16,0.02087577
0,6,17,0.30792685
0,6,17,0.0219156
0,6,18,0.30242003
0,6,18,0.01142853
0,6,19,0.36506776
0,6,19,0.04435388
0,6,20,0.38184153
0,6,20,0.06416276
0,6,21,0.42703978
0,6,21,0.05171971
0,6,22,0.42614865
0,6,22,0.10696734
0,6,23,0.35160793
0,6,23,0.08325347
0,7,0,0.33386453
0,7,0,0.06764776
0,7,1,0.30685583
0,7,1,0.13559043
0,7,2,0.26935461
0,7,2,0.08163367
0,7,3,0.30118835
0,7,3,0.01456671
0,7,4,0.33170516
0,7,4,0.02869798
0,7,5,0.3265864
0,7,5,0.03095938
0,7,6,0.05288783
0,7,6,0.02405733
0,7,7,0.17915137
0,7,7,0.0858715
0,7,8,0.1121775
0,7,8,0.01300924
0,7,9,0.14359191
0,7,9,0.02062526
0,7,10,0.21412677
0,7,10,0.02436565
0,7,11,0.19559743
0,7,11,0.01045175
0,7,12,0.19699986
0,7,12,0.04173084
0,7,13,0.16011598
0,7,13,0.03443774
0,7,14,0.18388151
0,7,14,0.00827582
0,7,15,0.09944819
0,7,15,0.00905671
0,7,16,0.10087815
0,7,16,0.02693356
0,7,17,0.13916551
0,7,17,0.04816929
0,7,18,0.18458412
0,7,18,0.05718384
0,7,19,0.19825822
0,7,19,0.03240524
0,7,20,0.12040516
0,7,20,0.03108087
0,7,21,0.22942239
0,7,21,0.0450669
0,7,22,0.16161858
0,7,22,0.07446827
0,7,23,0.20575358
0,7,23,0.04600379
0,8,0,0.22118659
0,8,0,0.00340128
0,8,1,0.20708434
0,8,1,0.04480045
0,8,2,0.27734909
0,8,2,0.04628382
0,8,3,0.27976446
0,8,3,0.09547099
0,8,4,0.36241896
0,8,4,0.05635702
0,8,5,0.27327507
0,8,5,0.09400387
0,8,6,0.08699438
0,8,6,0.01149168
0,8,7,0.2566098
0,8,7,0.02655854
0,8,8,0.23598473
0,8,8,0.02845045
0,8,9,0.05598053
0,8,9,0.05091719
0,8,10,0.09291588
0,8,10,0.0796439
0,8,11,0.02373873
0,8,11,0.14323634
0,8,12,0.05073066
0,8,12,0.12634815
0,8,13,0.0510436
0,8,13,0.08974488
0,8,14,0.02557028
0,8,14,0.0344335
0,8,15,0.00811032
0,8,15,0.03821305
0,8,16,0.01380142
0,8,16,0.02658314
0,8,17,0.03518966
0,8,17,0.02174752
0,8,18,0.04862624
0,8,18,0.00603325
0,8,19,0.06661901
0,8,19,0.0435037
0,8,20,0.0458087
0,8,20,0.0459714
0,8,21,0.06759462
0,8,21,0.04117359
0,8,22,0.06045675
0,8,22,0.09836031
0,8,23,0.03822206
0,8,23,0.07958274
0,9,0,0.01684173
0,9,0,0.19604395
0,9,1,0.00847973
0,9,1,0.16181523
0,9,2,0.03068218
0,9,2,0.16616294
0,9,3,0.03855523
0,9,3,0.23013183
0,9,4,0.0800242
0,9,4,0.18954444
0,9,5,0.09645161
0,9,5,0.23552981
0,9,6,0.24491714
0,9,6,0.07292911
0,9,7,0.18184747
0,9,7,0.06360208
0,9,8,0.25985046
0,9,8,0.07123189
0,9,9,0.16130112
0,9,9,0.0107151
0,9,10,0.16629728
0,9,10,0.03785056
0,9,11,0.17506166
0,9,11,0.06349297
0,9,12,0.17746517
0,9,12,0.07759268
0,9,13,0.19143454
0,9,13,0.06049431
0,9,14,0.10817114
0,9,14,0.08336003
0,9,15,0.1839823
0,9,15,0.09436212
0,9,16,0.15611845
0,9,16,0.14155597
0,9,17,0.21116002
0,9,17,0.16459486
0,9,18,0.20640298
0,9,18,0.15281187
0,9,19,0.2185301
0,9,19,0.20408616
0,9,20,0.14800911
0,9,20,0.15219385
0,9,21,0.17096531
0,9,21,0.18826254
0,9,22,0.1356232
0,9,22,0.13636214
0,9,23,0.16760483
0,9,23,0.15829834
0,10,0,0.17644067
0,10,0,0.17188926
0,10,1,0.1493729
0,10,1,0.14100097
0,10,2,0.21918739
0,10,2,0.06586155
0,10,3,0.18726876
0,10,3,0.15736426
0,10,4,0.19134011
0,10,4,0.08750644
0,10,5,0.2034385
0,10,5,0.08520724
0,10,6,0.10914782
0,10,6,0.05029247
0,10,7,0.05096312
0,10,7,0.01421675
0,10,8,0.06451462
0,10,8,0.01921152
0,10,9,0.00357568
0,10,9,0.03416108
0,10,10,0.04311794
0,10,10,0.0018576
0,10,11,0.05211409
0,10,11,0.06557355
0,10,12,0.03866138
0,10,12,0.0398426
0,10,13,0.00328978
0,10,13,0.00485193
0,10,14,0.05221982
0,10,14,0.01100147
0,10,15,0.08565062
0,10,15,0.00756008
0,10,16,0.06185192
0,10,16,0.00878799
0,10,17,0.12429939
0,10,17,0.02062975
0,10,18,0.14179376
0,10,18,0.05072374
0,10,19,0.15375957
0,10,19,0.08477126
0,10,20,0.0970166
0,10,20,0.08350834
0,10,21,0.07157975
0,10,21,0.11329926
0,10,22,0.06007505
0,10,22,0.06786103
0,10,23,0.07204366
0,10,23,0.10931704
0,11,0,0.03690594
0,11,0,0.05416902
0,11,1,0.02109039
0,11,1,0.03480276
0,11,2,0.06626013
0,11,2,0.07630496
0,11,3,0.04021209
0,11,3,0.08556254
0,11,4,0.06125715
0,11,4,0.02233754
0,11,5,0.04982103
0,11,5,0.08776115
0,11,6,0.08798511
0,11,6,0.07184358
0,11,7,0.0749225
0,11,7,0.0859432
0,11,8,0.0783894
0,11,8,0.10833979
0,11,9,0.08962429
0,11,9,0.11390418
0,11,10,0.06859336
0,11,10,0.01285444
0,11,11,0.03571329
0,11,11,0.07224234
0,11,12,0.02016108
0,11,12,0.06279676
0,11,13,0.0013146
0,11,13,0.04312301
0,11,14,0.01873375
0,11,14,0.01383326
0,11,15,0.02715931
0,11,15,0.00051036
0,11,16,0.02894595
0,11,16,0.0472166
0,11,17,0.03265348
0,11,17,0.03110888
0,11,18,0.04314834
0,11,18,0.01742767
0,11,19,0.07623323
0,11,19,0.01972616
0,11,20,0.10737373
0,11,20,0.0534364
0,11,21,0.13140711
0,11,21,0.11882997
0,11,22,0.1266494
0,11,22,0.08608867
0,11,23,0.17835694
0,11,23,0.12178752
0,12,0,0.20545707
0,12,0,0.15340548
0,12,1,0.22117042
0,12,1,0.13683193
0,12,2,0.26467969
0,12,2,0.14530033
0,12,3,0.25592878
0,12,3,0.22500183
0,12,4,0.28490696
0,12,4,0.28284863
0,12,5,0.33164823
0,12,5,0.30548625
0,12,6,0.34391791
0,12,6,0.11615432
0,12,7,0.39178507
0,12,7,0.13663096
0,12,8,0.38330472
0,12,8,0.1451397
0,12,9,0.38333584
0,12,9,0.10725418
0,12,10,0.38903985
0,12,10,0.12609123
0,12,11,0.4195269
0,12,11,0.14436803
0,12,12,0.38811711
0,12,12,0.13490166
0,12,13,0.35904483
0,12,13,0.1357172
0,12,14,0.35493116
0,12,14,0.10524578
0,12,15,0.34601683
0,12,15,0.09461296
0,12,16,0.28907494
0,12,16,0.10734852
0,12,17,0.26182754
0,12,17,0.1038482
0,12,18,0.23353601
0,12,18,0.10596542
0,12,19,0.19419562
0,12,19,0.05537229
0,12,20,0.14459168
0,12,20,0.01267068
0,12,21,0.12145884
0,12,21,0.03140937
0,12,22,0.12963551
0,12,22,0.02903557
0,12,23,0.16870768
0,12,23,0.09137873
0,13,0,0.18004409
0,13,0,0.04881771
0,13,1,0.23619197
0,13,1,0.05849797
0,13,2,0.16753599
0,13,2,0.0782499
0,13,3,0.17068953
0,13,3,0.05088176
0,13,4,0.2579036
0,13,4,0.02122471
0,13,5,0.28653171
0,13,5,0.04142057
0,13,6,0.04150464
0,13,6,0.04523096
0,13,7,0.01412027
0,13,7,0.07426239
0,13,8,0.00838538
0,13,8,0.04212024
0,13,9,0.01048864
0,13,9,0.0640337
0,13,10,0.0026766
0,13,10,0.11049444
0,13,11,0.03319051
0,13,11,0.08779453
0,13,12,0.0245886
0,13,12,0.02168479
0,13,13,0.16564848
0,13,13,0.02123072
0,13,14,0.10997813
0,13,14,0.00126984
0,13,15,0.02822026
0,13,15,0.01595466
0,13,16,0.0547892
0,13,16,0.01428746
0,13,17,0.0702124
0,13,17,0.00855989
0,13,18,0.01175359
0,13,18,0.03273505
0,13,19,0.03147886
0,13,19,0.04853124
0,13,20,0.00980461
0,13,20,0.10764715
0,13,21,0.01733353
0,13,21,0.17720586
0,13,22,0.05531916
0,13,22,0.23056503
0,13,23,0.10444835
0,13,23,0.1102291
0,14,0,0.07844179
0,14,0,0.13132263
0,14,1,0.0331551
0,14,1,0.17243578
0,14,2,0.08551796
0,14,2,0.07949556
0,14,3,0.03134406
0,14,3,0.13984431
0,14,4,0.01428422
0,14,4,0.09252854
0,14,5,0.01911936
0,14,5,0.06994698
0,14,6,0.00070963
0,14,6,0.08549685
0,14,7,0.03343439
0,14,7,0.01685935
0,14,8,0.00907399
0,14,8,0.04876967
0,14,9,0.00344729
0,14,9,0.02258517
0,14,10,0.02278191
0,14,10,0.03118226
0,14,11,0.01190742
0,14,11,0.01349048
0,14,12,0.03230342
0,14,12,0.00082604
0,14,13,0.02987595
0,14,13,0.01597553
0,14,14,0.0762456
0,14,14,0.02393202
0,14,15,0.04565039
0,14,15,0.0165419
0,14,16,0.0440996
0,14,16,0.00545059
0,14,17,0.0168849
0,14,17,0.04732935
0,14,18,0.08286754
0,14,18,0.0684623
0,14,19,0.08777916
0,14,19,0.0658147
0,14,20,0.10897026
0,14,20,0.03325769
0,14,21,0.08565708
0,14,21,0.00524129
0,14,22,0.08593169
0,14,22,0.12044493
0,14,23,0.00212073
0,14,23,0.03999737
0,15,0,0.00247883
0,15,0,0.09383377
0,15,1,0.02400108
0,15,1,0.12993331
0,15,2,0.00711421
0,15,2,0.04841418
0,15,3,0.01098578
0,15,3,0.08826077
0,15,4,0.02762894
0,15,4,0.133383
0,15,5,0.00106167
0,15,5,0.07823348
0,15,6,0.03907356
0,15,6,0.09972093
0,15,7,0.02241761
0,15,7,0.03886119
0,15,8,0.04362504
0,15,8,0.06817534
0,15,9,0.14000133
0,15,9,0.03916374
0,15,10,0.01621265
0,15,10,0.03294535
0,15,11,0.02020902
0,15,11,0.04694044
0,15,12,0.05764242
0,15,12,0.10505457
0,15,13,0.01788002
0,15,13,0.07192701
0,15,14,0.01665586
0,15,14,0.04551279
0,15,15,0.02472519
0,15,15,0.02123867
0,15,16,0.00666163
0,15,16,0.02838284
0,15,17,0.04021811
0,15,17,0.02077751
