day,hour,% difference
6,19,0.085254949
6,20,0.211972005
6,20,0.121605074
6,21,0.278924202
6,21,0.132600467
6,22,0.249342775
6,22,0.129573693
6,23,0.216636653
6,23,0.09631827
7,0,0.186202656
7,0,0.056629517
7,1,0.226837846
7,1,0.063927787
7,2,0.148971995
7,2,0.096375144
7,3,0.143804048
7,3,0.07609453
7,4,0.203646901
7,4,0.04773568
7,5,0.168276569
7,5,0.091251856
7,6,0.025836417
7,6,0.000810942
7,7,0.044092238
7,7,0.00198501
7,8,0.141294873
7,8,0.019407839
7,9,0.127046528
7,9,0.005843715
7,10,0.158112037
7,10,0.031380995
7,11,0.146907807
7,11,0.038654078
7,12,0.141863342
7,12,0.049755114
7,13,0.153708915
7,13,0.059118538
7,14,0.132820427
7,14,0.0251616
7,15,0.117235728
7,15,0.027641724
7,16,0.116386544
7,16,0.025282773
7,17,0.12730089
7,17,0.069401289
7,18,0.111729772
7,18,0.075486174
7,19,0.118164543
7,19,0.067779551
7,20,0.107895119
7,20,0.057689911
7,21,0.13251489
7,21,0.046068503
7,22,0.119147001
7,22,0.076468817
7,23,0.091168412
7,23,0.040870065
8,0,0.09372327
8,0,0.045051275
8,1,0.0932767
8,1,0.028910591
8,2,0.088721959
8,2,0.035101692
8,3,0.031145047
8,3,0.053507622
8,4,0.112950301
8,4,0.036261367
8,5,0.12116243
8,5,0.0698126
8,6,0.072801482
8,6,0.017687032
8,7,0.096735721
8,7,0.021771573
8,8,0.150695524
8,8,0.029701264
8,9,0.141004125
8,9,0.025856475
8,10,0.114689181
8,10,0.0424185
8,11,0.062187043
8,11,0.013421064
8,12,0.003811797
8,12,0.067779219
8,13,0.002971829
8,13,0.052590703
8,14,0.004907248
8,14,0.046275841
8,15,0.015258077
8,15,0.047192318
8,16,0.011289523
8,16,0.084887105
8,17,0.089486503
8,17,0.069092913
8,18,0.039323803
8,18,0.054290152
8,19,0.046606598
8,19,0.061544396
8,20,0.072984859
8,20,0.030772586
8,21,0.086022265
8,21,0.027774017
8,22,0.065766867
8,22,0.006873185
8,23,0.040684078
8,23,0.024028875
9,0,0.012773653
9,0,0.057899435
9,1,0.004680121
9,1,0.032777148
9,2,0.003678264
9,2,0.041959528
9,3,0.067175478
9,3,0.041853058
9,4,0.008421409
9,4,0.052717529
9,5,0.008050117
9,5,0.03432171
9,6,0.011280848
9,6,0.001167269
9,7,0.009323613
9,7,0.015598511
9,8,0.003268912
9,8,0.014417293
9,9,0.016281616
9,9,0.010362861
9,10,0.003643147
9,10,0.080703665
9,11,0.081635926
9,11,0.0169119
9,12,0.130966085
9,12,0.061232454
9,13,0.151985697
9,13,0.036569494
9,14,0.12286419
9,14,0.06953043
9,15,0.12881851
9,15,0.071318294
9,16,0.130322036
9,16,0.106833053
9,17,0.110183682
9,17,0.09739995
9,18,0.106085304
9,18,0.082699426
9,19,0.074830814
9,19,0.086401912
9,20,0.052624483
9,20,0.078504953
9,21,0.031013142
9,21,0.084267956
9,22,0.026742624
9,22,0.067684495
9,23,0.066680669
9,23,0.080074798
10,0,0.080493083
10,0,0.052020959
10,1,0.067741329
10,1,0.053852092
10,2,0.077738836
10,2,0.008583998
10,3,0.098458436
10,3,0.011361132
10,4,0.040112623
10,4,0.000974938
10,5,0.015535775
10,5,0.040070144
10,6,0.026418977
10,6,0.011494694
10,7,0.030717562
10,7,0.0518277
10,8,0.089983956
10,8,0.021198607
10,9,0.057221759
10,9,0.053344474
10,10,0.068708406
10,10,0.107106303
10,11,0.043302919
10,11,0.088004444
10,12,0.023018204
10,12,0.02618697
10,13,0.008451906
10,13,0.024213566
10,14,0.031614533
10,14,0.018791441
10,15,0.007073833
10,15,0.000189232
10,16,0.000391915
10,16,0.015941986
10,17,0.00685375
10,17,0.016035056
10,18,0.016839189
10,18,0.008526346
10,19,0.018818526
10,19,0.02391995
10,20,0.00055084
10,20,0.014590454
10,21,0.032400575
10,21,0.00602876
10,22,0.041436778
10,22,0.031798765
10,23,0.022363852
10,23,0.007019823
11,0,0.011728276
11,0,0.008343414
11,1,0.030812964
11,1,0.003591291
11,2,0.009687573
11,2,0.010231149
11,3,0.035314
11,3,0.022666253
11,4,0.070174638
11,4,0.007254158
11,5,0.136804425
11,5,0.069035036
11,6,0.099452832
11,6,0.049402933
11,7,0.091672272
11,7,0.07929845
11,8,0.14622489
11,8,0.103882444
11,9,0.131470981
11,9,0.176341771
11,10,0.194395675
11,10,0.137504762
11,11,0.125707773
11,11,0.099115037
11,12,0.055399173
11,12,0.039502876
11,13,0.074450299
11,13,0.022274446
11,14,0.042484271
11,14,0.002038619
11,15,0.013060486
11,15,0.004705127
11,16,0.012863353
11,16,0.019263409
11,17,0.013752777
11,17,0.001796174
11,18,0.008012381
11,18,0.014220204
11,19,0.000348678
11,19,0.001086109
11,20,0.024889443
