date,plant_id,eia,epa,valid
2010Q1,58005,-1.0,-1.0,False
2010Q1,58378,-1.0,-1.0,False
2010Q1,58471,-1.0,-1.0,False
2010Q1,58562,-1.0,-1.0,False
2010Q1,59812,-1.0,-1.0,False
2010Q1,60122,-1.0,-1.0,False
2010Q1,60264,-1.0,-1.0,False
2010Q1,60459,-1.0,-1.0,False
2010Q1,60460,-1.0,-1.0,False
2010Q1,60468,-1.0,-1.0,False
2010Q2,9,3763.069,3010.99,True
2010Q2,127,543019.0,584244.99,True
2010Q2,298,3316302.0,3518729.15,True
2010Q2,3439,21978.0,20374.59,True
2010Q2,3441,500872.0,616593.46,True
2010Q2,3443,390923.0,399130.14999999997,True
2010Q2,3452,31416.0,32746.300000000003,True
2010Q2,3453,204216.0,212415.29,True
2010Q2,3456,576261.0,502228.15,True
2010Q2,3457,555692.0,546836.36,True
2010Q2,3459,1149847.0,1229713.55,True
2010Q2,3460,417397.0,440964.0,True
2010Q2,3464,83734.0,90154.87,True
2010Q2,3468,14664.0,18459.48,True
2010Q2,3469,267869.0,181573.93,True
2010Q2,3470,4577339.0,4886869.17,True
2010Q2,3476,61366.0,66899.59,True
2010Q2,3477,13222.0,13541.05,True
2010Q2,3478,419230.0,446582.36,True
2010Q2,3482,348713.0,363746.46,True
2010Q2,3483,19460.0,20390.760000000002,True
2010Q2,3484,221311.0,241658.07,True
2010Q2,3485,292090.0,315623.67000000004,True
2010Q2,3489,-1.0,-1.0,False
2010Q2,3490,148658.0,157507.02,True
2010Q2,3491,73560.0,79325.27,True
2010Q2,3492,18553.0,18640.15,True
2010Q2,3494,69947.0,79185.48000000001,True
2010Q2,3497,2379503.0,2528616.67,True
2010Q2,3502,0.0,0.0,True
2010Q2,3504,126472.0,133632.00000000003,True
2010Q2,3507,0.0,0.0,True
2010Q2,3548,287347.0,305350.01,True
2010Q2,3559,19777.373,15262.43,True
2010Q2,3561,20.0,0.0,True
2010Q2,3574,0.0,0.0,True
2010Q2,3576,17649.0,19821.25,True
2010Q2,3601,200311.0,211745.6,True
2010Q2,3602,54428.371,50046.020000000004,True
2010Q2,3604,97196.883,89696.13,True
2010Q2,3609,874.0,13273.5,True
2010Q2,3611,166853.0,181478.75,True
2010Q2,3612,170832.0,256776.25,True
2010Q2,7512,40264.0,256776.25,True
2010Q2,3613,-1.0,-1.0,False
2010Q2,3628,100046.0,109790.75,True
2010Q2,3631,72460.0,61224.37,True
2010Q2,4195,12906.0,15998.0,True
2010Q2,4266,11089.0,13026.25,True
2010Q2,4937,125518.0,130024.68999999999,True
2010Q2,4939,603838.0,628668.89,True
2010Q2,6136,933805.0,982505.04,True
2010Q2,6139,2663082.0,2788031.4000000004,True
2010Q2,6146,3772920.0,4087637.9699999997,True
2010Q2,6147,2814638.0,3027485.2199999997,True
2010Q2,6178,999923.0,1047460.02,True
2010Q2,6179,2709199.0,2848406.0,True
2010Q2,6180,1122913.0,1759882.29,True
2010Q2,6181,1440530.0,1507749.0,True
2010Q2,6183,565584.0,627981.5,True
2010Q2,6193,1663358.0,1770191.84,True
2010Q2,6194,1923848.0,2024482.99,True
2010Q2,6243,25973.409,25413.24,True
2010Q2,6648,933374.0,1028095.45,True
2010Q2,7030,590780.0,668661.0,True
2010Q2,7097,1827871.0,2036617.5,True
2010Q2,7325,193351.564,194664.1,True
2010Q2,55545,555270.0,567446.2500000001,True
2010Q2,7900,462615.0,473334.25000000006,True
2010Q2,7902,1359249.0,1458197.0,True
2010Q2,8063,3942.0,4016.6400000000003,True
2010Q2,10298,445624.0,690965.0,True
2010Q2,50109,127075.0,130386.98000000001,True
2010Q2,50137,1798.873,1157.7,True
2010Q2,50615,-1.0,-1.0,False
2010Q2,50625,971818.0,1323594.1,True
