"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD (MWh)","SLOAD (1000 lbs)","SO2_MASS (tons)","SO2_RATE (lbs/mmBtu)","NOX_RATE (lbs/mmBtu)","NOX_MASS (tons)","CO2_MASS (tons)","CO2_RATE (tons/mmBtu)","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"TX","Copper Station","9","CTG-1","01-01-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-02-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-03-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-04-2012","15.28","16","84","",".001",".001",".2286",".541","","","4601.224","8237","90211"
"TX","Copper Station","9","CTG-1","01-05-2012","24","24","427","",".003",".001",".2427","1.274","","","10157.3","8237","90211"
"TX","Copper Station","9","CTG-1","01-06-2012","24","24","723","",".004",".001",".256","1.662","","","12720.9","8237","90211"
"TX","Copper Station","9","CTG-1","01-07-2012","24","24","328","",".003",".001",".2353","1.042","","","8863.9","8237","90211"
"TX","Copper Station","9","CTG-1","01-08-2012","24","24","200","",".002",".001",".2257",".856","","","7650","8237","90211"
"TX","Copper Station","9","CTG-1","01-09-2012",".07","1","0","","0",".001",".176",".002","","","17.115","8237","90211"
"TX","Copper Station","9","CTG-1","01-10-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-11-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-12-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-13-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-14-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-15-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-16-2012","13.87","14","248.74","",".002",".001",".199",".577","","","5663.579","8237","90211"
"TX","Copper Station","9","CTG-1","01-17-2012","24","24","373","",".003",".001",".2081",".992","","","9232.1","8237","90211"
"TX","Copper Station","9","CTG-1","01-18-2012","22.35","23","775.5","",".004",".001",".2277","1.478","","","12687.71","8237","90211"
"TX","Copper Station","9","CTG-1","01-19-2012","14.72","16","693.2","",".003",".001",".2581","1.331","","","10222.67","8237","90211"
"TX","Copper Station","9","CTG-1","01-20-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-21-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-22-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-23-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-24-2012",".25","1","0","","0",".001",".169",".005","","","54.675","8237","90211"
"TX","Copper Station","9","CTG-1","01-25-2012","12.04","13","243.62","",".002",".001",".2558",".672","","","5184.766","8237","90211"
"TX","Copper Station","9","CTG-1","01-26-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-27-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-28-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-29-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-30-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-31-2012","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-01-2012","0","0","","","","","","","","","","8237","90211"
