"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD (MWh)","SLOAD (1000 lbs)","SO2_MASS (tons)","SO2_RATE (lbs/mmBtu)","NOX_RATE (lbs/mmBtu)","NOX_MASS (tons)","CO2_MASS (tons)","CO2_RATE (tons/mmBtu)","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"TX","Copper Station","9","CTG-1","01-01-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-02-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-03-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-04-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-05-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-06-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-07-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-08-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-09-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-10-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-11-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-12-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-13-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-14-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-15-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-16-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-17-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-18-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-19-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-20-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-21-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-22-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-23-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-24-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-25-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-26-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-27-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-28-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-29-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-30-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-31-2011","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-01-2011",".83","1","11.62","","0",".001",".15",".024","","","324.696","8237","90211"
"TX","Copper Station","9","CTG-1","02-02-2011","24","24","1305","",".005",".001",".4842","4.279","","","17454.1","8237","90211"
"TX","Copper Station","9","CTG-1","02-03-2011","24","24","1365","",".005",".001",".533","4.775","","","17916.6","8237","90211"
"TX","Copper Station","9","CTG-1","02-04-2011","24","24","1367","",".005",".001",".533","4.789","","","17970.3","8237","90211"
