"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD (MWh)","SLOAD (1000 lbs)","SO2_MASS (tons)","SO2_RATE (lbs/mmBtu)","NOX_RATE (lbs/mmBtu)","NOX_MASS (tons)","CO2_MASS (tons)","CO2_RATE (tons/mmBtu)","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"TX","Copper Station","9","CTG-1","01-01-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-02-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-03-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-04-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-05-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-06-2010","9.48","10","441.44","",".001",".001",".1981",".481","","","4705.388","8237","90211"
"TX","Copper Station","9","CTG-1","01-07-2010","12.99","14","648.67","",".002",".001",".2264",".804","","","6807.08","8237","90211"
"TX","Copper Station","9","CTG-1","01-08-2010","10.53","11","350.01","",".001",".001",".218",".459","","","4239.075","8237","90211"
"TX","Copper Station","9","CTG-1","01-09-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-10-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-11-2010","4.3","6","216.14","",".001",".001",".2043",".252","","","2258.506","8237","90211"
"TX","Copper Station","9","CTG-1","01-12-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-13-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-14-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-15-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-16-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-17-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-18-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-19-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-20-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-21-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-22-2010","19.87","22","461","",".002",".001",".1692",".596","","","6566.212","8237","90211"
"TX","Copper Station","9","CTG-1","01-23-2010","24","24","564","",".002",".001",".167",".696","","","8037.9","8237","90211"
"TX","Copper Station","9","CTG-1","01-24-2010","24","24","625","",".003",".001",".1977",".834","","","8464.3","8237","90211"
"TX","Copper Station","9","CTG-1","01-25-2010","11.87","12","230.14","",".001",".001",".1873",".353","","","3655.82","8237","90211"
"TX","Copper Station","9","CTG-1","01-26-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-27-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-28-2010","3.6","5","119.74","","0",".001",".152",".111","","","1455.26","8237","90211"
"TX","Copper Station","9","CTG-1","01-29-2010","6.61","7","192.12","",".001",".001",".1581",".213","","","2472.212","8237","90211"
"TX","Copper Station","9","CTG-1","01-30-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","01-31-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-01-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-02-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-03-2010","9.57","10","303.37","",".001",".001",".1917",".391","","","3767.654","8237","90211"
"TX","Copper Station","9","CTG-1","02-04-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-05-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-06-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-07-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-08-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-09-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-10-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-11-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-12-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-13-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-14-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-15-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-16-2010","2.86","4","0","","0",".001",".1273",".043","","","671.169","8237","90211"
"TX","Copper Station","9","CTG-1","02-17-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-18-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-19-2010","2.85","4","74.7","","0",".001",".1885",".15","","","1353.021","8237","90211"
"TX","Copper Station","9","CTG-1","02-20-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-21-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-22-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-23-2010","3.35","4","147","",".001",".001",".198",".245","","","2154.29","8237","90211"
"TX","Copper Station","9","CTG-1","02-24-2010","20.21","22","632.52","",".003",".001",".1875","1.074","","","10508.169","8237","90211"
"TX","Copper Station","9","CTG-1","02-25-2010",".47","1","1.88","","0",".001",".145",".009","","","127.699","8237","90211"
"TX","Copper Station","9","CTG-1","02-26-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","02-27-2010","3.33","5","43.69","","0",".001",".17",".123","","","1178.047","8237","90211"
"TX","Copper Station","9","CTG-1","02-28-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-01-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-02-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-03-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-04-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-05-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-06-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-07-2010","12.73","13","416.65","",".002",".001",".1788",".613","","","6759.471","8237","90211"
"TX","Copper Station","9","CTG-1","03-08-2010",".38","1","6.46","","0",".001",".162",".013","","","162.146","8237","90211"
"TX","Copper Station","9","CTG-1","03-09-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-10-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-11-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-12-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-13-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-14-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-15-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-16-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-17-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-18-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-19-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-20-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-21-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-22-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-23-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-24-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-25-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-26-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-27-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-28-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-29-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-30-2010","0","0","","","","","","","","","","8237","90211"
"TX","Copper Station","9","CTG-1","03-31-2010","10.28","11","0","",".001",".001",".0374",".046","","","2295.552","8237","90211"
"TX","Oklaunion Power Station","127","1","01-01-2010","24","24","15374","","15.018",".1913",".3542","28.243","16424.6",".105","156603.8","23","81"
"TX","Oklaunion Power Station","127","1","01-02-2010","24","24","16254","","14.419",".1758",".3819","31.346","17177.9",".105","163784.7","23","81"
"TX","Oklaunion Power Station","127","1","01-03-2010","24","24","16544","","17.022",".2026",".3984","33.458","17617.7",".105","167981.3","23","81"
"TX","Oklaunion Power Station","127","1","01-04-2010","24","24","16557","","17.348",".2038",".3991","33.982","17862.8",".105","170315.3","23","81"
"TX","Oklaunion Power Station","127","1","01-05-2010","24","24","14053","","14.202",".1949",".3544","26.388","15093.6",".105","143913.8","23","81"
"TX","Oklaunion Power Station","127","1","01-06-2010","24","24","14263","","13.978",".1912",".3545","26.072","14998.1",".105","143004.1","23","81"
"TX","Oklaunion Power Station","127","1","01-07-2010","24","24","14461","","10.669",".1427",".3776","29.008","15591.6",".105","148662","23","81"
"TX","Oklaunion Power Station","127","1","01-08-2010","24","24","14394","","14.209",".1978",".3785","28.311","15289.4",".105","145779.2","23","81"
"TX","Oklaunion Power Station","127","1","01-09-2010","24","24","16317","","18.202",".219",".3843","32.017","17433.7",".105","166227","23","81"
"TX","Oklaunion Power Station","127","1","01-10-2010","24","24","13662","","13.967",".2016",".3488","24.976","14574.2",".105","138960.3","23","81"
"TX","Oklaunion Power Station","127","1","01-11-2010","24","24","16000","","15.618",".1937",".3623","29.299","16915.1",".105","161279.6","23","81"
"TX","Oklaunion Power Station","127","1","01-12-2010","24","24","16278","","15.907",".1933",".3767","31.041","17258.7",".105","164556.1","23","81"
"TX","Oklaunion Power Station","127","1","01-13-2010","24","24","13522","","14.867",".2195",".3735","25.844","14199",".105","135384.2","23","81"
"TX","Oklaunion Power Station","127","1","01-14-2010","24","24","13500","","11.728",".1778",".375","25.97","14217.6",".105","135558.1","23","81"
"TX","Oklaunion Power Station","127","1","01-15-2010","24","24","16340","","12.554",".1558",".4025","32.621","16917.4",".105","161301.3","23","81"
"TX","Oklaunion Power Station","127","1","01-16-2010","1.13","2","178.6","",".214",".2295",".166",".202","174.582",".105","1664.785","23","81"
"TX","Oklaunion Power Station","127","1","01-17-2010","0","0","","","","","","","","","","23","81"
"TX","Oklaunion Power Station","127","1","01-18-2010","0","0","","","","","","","","","","23","81"
"TX","Oklaunion Power Station","127","1","01-19-2010","14.3","15","14.3","",".41",".1357",".1037",".286","498.09",".1049","4750.47","23","81"
"TX","Oklaunion Power Station","127","1","01-20-2010","24","24","6610","","5.1",".1564",".2565","8.174","6672.9",".105","63622.9","23","81"
"TX","Oklaunion Power Station","127","1","01-21-2010","2.3","4","4.34","",".005",".0493",".0495",".006","45.512",".1053","433.198","23","81"
"TX","Oklaunion Power Station","127","1","01-22-2010","23.33","24","5420.33","","4.002",".1276",".1978","7.103","5708.573",".105","54429.106","23","81"
"TX","Oklaunion Power Station","127","1","01-23-2010","24","24","6496","","5.124",".1583",".3552","10.928","6727.1",".105","64140.3","23","81"
"TX","Oklaunion Power Station","127","1","01-24-2010","24","24","11195","","8.207",".1515",".3536","19.121","11463",".105","109298.8","23","81"
"TX","Oklaunion Power Station","127","1","01-25-2010","24","24","14437","","10.934",".1548",".3506","25.058","14834.8",".105","141446.9","23","81"
"TX","Oklaunion Power Station","127","1","01-26-2010","24","24","14450","","12.569",".1775",".3669","26.432","14974.3",".105","142777.2","23","81"
"TX","Oklaunion Power Station","127","1","01-27-2010","24","24","12002","","9.15",".1588",".343","20.536","12470.7",".105","118905.2","23","81"
"TX","Oklaunion Power Station","127","1","01-28-2010","24","24","11158","","11.453",".2146",".2981","16.017","11119.6",".105","106023.4","23","81"
"TX","Oklaunion Power Station","127","1","01-29-2010","24","24","15725","","14.375",".193",".356","26.833","15689.1",".105","149589.9","23","81"
"TX","Oklaunion Power Station","127","1","01-30-2010","24","24","16511","","12.41",".1518",".3975","32.503","17149.1",".105","163513.5","23","81"
"TX","Oklaunion Power Station","127","1","01-31-2010","24","24","15754","","11.663",".1506",".3628","28.244","16246.1",".105","154900.8","23","81"
"TX","Oklaunion Power Station","127","1","02-01-2010","24","24","15187","","14.225",".1939",".3499","25.792","15376",".105","146606.7","23","81"
"TX","Oklaunion Power Station","127","1","02-02-2010","24","24","16037","","12.47",".161",".373","28.886","16205.6",".105","154515.8","23","81"
"TX","Oklaunion Power Station","127","1","02-03-2010","24","24","13524","","10.861",".1656",".3069","20.539","13733.2",".105","130939","23","81"
"TX","Oklaunion Power Station","127","1","02-04-2010","24","24","15875","","13.953",".1829",".3673","28.122","16013.9",".105","152688.4","23","81"
"TX","Oklaunion Power Station","127","1","02-05-2010","24","24","16496","","14.243",".178",".3922","31.356","16775.9",".105","159953.6","23","81"
"TX","Oklaunion Power Station","127","1","02-06-2010","24","24","15640","","10.912",".1427",".3364","25.781","16018.3",".105","152728.8","23","81"
"TX","Oklaunion Power Station","127","1","02-07-2010","24","24","15098","","10.483",".144",".3419","24.839","15245.8",".105","145367.2","23","81"
"TX","Oklaunion Power Station","127","1","02-08-2010","24","24","15298","","10.042",".1357",".346","25.632","15528.5",".105","148062.2","23","81"
"TX","Oklaunion Power Station","127","1","02-09-2010","24","24","14959","","11.695",".1582",".3292","24.417","15500.3",".105","147789.4","23","81"
"TX","Oklaunion Power Station","127","1","02-10-2010","24","24","16525","","14.189",".1714",".3675","30.407","17355.5",".105","165479.7","23","81"
"TX","Oklaunion Power Station","127","1","02-11-2010","24","24","16389","","15.672",".1915",".3685","30.167","17156.3",".105","163577.1","23","81"
"TX","Oklaunion Power Station","127","1","02-12-2010","24","24","16536","","13.16",".1625",".3948","31.983","16990.2",".105","161996.1","23","81"
"TX","Oklaunion Power Station","127","1","02-13-2010","24","24","16096","","13.725",".175",".3846","30.214","16451.8",".105","156862.4","23","81"
"TX","Oklaunion Power Station","127","1","02-14-2010","24","24","11437","","8.536",".1506",".3253","18.803","11835.2",".105","112844.7","23","81"
"TX","Oklaunion Power Station","127","1","02-15-2010","24","24","16503","","12.41",".1497",".384","31.813","17382.3",".105","165735.1","23","81"
"TX","Oklaunion Power Station","127","1","02-16-2010","24","24","15813","","12.476",".1565",".3604","28.728","16689.4",".105","159129.6","23","81"
"TX","Oklaunion Power Station","127","1","02-17-2010","24","24","13549","","10.691",".1606",".3302","22.416","14026.5",".105","133737.3","23","81"
"TX","Oklaunion Power Station","127","1","02-18-2010","24","24","11432","","9.336",".1663",".2995","17.481","11737.4",".105","111912","23","81"
"TX","Oklaunion Power Station","127","1","02-19-2010","24","24","12528","","11.261",".179",".3472","21.671","12907.7",".105","123072.1","23","81"
"TX","Oklaunion Power Station","127","1","02-20-2010","24","24","11510","","8.4",".1464",".3017","17.238","12001.1",".105","114427","23","81"
"TX","Oklaunion Power Station","127","1","02-21-2010","24","24","10399","","7.103",".1408",".3136","16.089","10879.8",".105","103735.7","23","81"
"TX","Oklaunion Power Station","127","1","02-22-2010","24","24","15524","","13.434",".1703",".3539","27.948","16320.3",".105","155608","23","81"
"TX","Oklaunion Power Station","127","1","02-23-2010","24","24","14089","","15.828",".2231",".3513","25.095","14748.8",".105","140624.7","23","81"
"TX","Oklaunion Power Station","127","1","02-24-2010","24","24","13294","","14.196",".2107",".3372","23.394","13810.2",".105","131676.6","23","81"
"TX","Oklaunion Power Station","127","1","02-25-2010","24","24","11345","","8.083",".1467",".3289","18.026","11540",".105","110028.8","23","81"
"TX","Oklaunion Power Station","127","1","02-26-2010","24","24","13758","","11.662",".1703",".3198","21.696","14023.8",".105","133712.7","23","81"
"TX","Oklaunion Power Station","127","1","02-27-2010","24","24","15030","","14.021",".1864",".3482","26.264","15673.2",".105","149438.5","23","81"
"TX","Oklaunion Power Station","127","1","02-28-2010","24","24","8151","","6.33",".1544",".3315","13.231","8540.4",".105","81430.3","23","81"
"TX","Oklaunion Power Station","127","1","03-01-2010","24","24","10884","","9.237",".1698",".3107","16.828","11326.3",".105","107991.9","23","81"
"TX","Oklaunion Power Station","127","1","03-02-2010","24","24","16189","","15.97",".199",".3696","29.759","16851.9",".105","160678.4","23","81"
"TX","Oklaunion Power Station","127","1","03-03-2010","24","24","15584","","10.458",".1365",".3652","28.173","16062.6",".105","153153.5","23","81"
"TX","Oklaunion Power Station","127","1","03-04-2010","24","24","6950","","5.904",".1672",".3135","10.587","7385.5",".105","70418.5","23","81"
"TX","Oklaunion Power Station","127","1","03-05-2010","24","24","6132","","5.257",".1699",".3189","9.744","6567.5",".105","62622.5","23","81"
"TX","Oklaunion Power Station","127","1","03-06-2010","24","24","13964","","14.148",".2006",".3349","23.766","14746.3",".105","140600.8","23","81"
"TX","Oklaunion Power Station","127","1","03-07-2010","24","24","12438","","12.484",".2022",".3318","21.068","13000.3",".105","123955.7","23","81"
"TX","Oklaunion Power Station","127","1","03-08-2010","24","24","5259","","5.675",".2095",".3514","9.519","5683.1",".105","54187.7","23","81"
"TX","Oklaunion Power Station","127","1","03-09-2010","24","24","9116","","9.097",".2073",".3059","13.503","9299.1",".105","88665.1","23","81"
"TX","Oklaunion Power Station","127","1","03-10-2010","24","24","8339","","8.167",".2011",".3369","13.634","8641.5",".105","82395.8","23","81"
"TX","Oklaunion Power Station","127","1","03-11-2010","24","24","14295","","12.356",".1751",".3171","22.485","14809.5",".105","141201.5","23","81"
"TX","Oklaunion Power Station","127","1","03-12-2010","24","24","12131","","10.806",".1764",".2692","15.869","12756.5",".105","121630","23","81"
"TX","Oklaunion Power Station","127","1","03-13-2010","24","24","14564","","12.569",".1717",".2898","21.395","15415",".105","146978.7","23","81"
"TX","Oklaunion Power Station","127","1","03-14-2010","24","24","11055","","10.962",".1934",".2944","16.023","11788.9",".105","112403.9","23","81"
"TX","Oklaunion Power Station","127","1","03-15-2010","24","24","10131","","8.796",".1771",".2768","12.772","10518.9",".105","100295.5","23","81"
"TX","Oklaunion Power Station","127","1","03-16-2010","24","24","14207","","13.016",".1805",".2726","19.565","14950.1",".105","142543.9","23","81"
"TX","Oklaunion Power Station","127","1","03-17-2010","24","24","15269","","13.357",".174",".3098","23.958","16053.7",".105","153069.8","23","81"
"TX","Oklaunion Power Station","127","1","03-18-2010","24","24","13837","","9.047",".1435",".3234","20.887","13470.8",".105","128441.7","23","81"
"TX","Oklaunion Power Station","127","1","03-19-2010","24","24","5707","","5.18",".1795",".3207","8.838","6062.7",".105","57805.9","23","81"
"TX","Oklaunion Power Station","127","1","03-20-2010","24","24","10671","","9.413",".1743",".3453","19","11336.9",".105","108093.7","23","81"
"TX","Oklaunion Power Station","127","1","03-21-2010","24","24","15827","","14.831",".1878",".4148","32.806","16539.6",".105","157700.1","23","81"
"TX","Oklaunion Power Station","127","1","03-22-2010","24","24","12527","","13.628",".1911",".4089","29.075","14742",".105","140559.2","23","81"
"TX","Oklaunion Power Station","127","1","03-23-2010","24","24","5022","","6.4",".159",".3854","14.835","8387.4",".105","79970.2","23","81"
"TX","Oklaunion Power Station","127","1","03-24-2010","24","24","12861","","14.451",".1998",".3472","25.181","15016.5",".105","143179.8","23","81"
"TX","Oklaunion Power Station","127","1","03-25-2010","24","24","13596","","13.629",".1857",".3704","27.485","15310.3",".105","145982.1","23","81"
"TX","Oklaunion Power Station","127","1","03-26-2010","24","24","7254","","5.844",".2044",".3607","10.005","5981.7",".105","57032.4","23","81"
"TX","Oklaunion Power Station","127","1","03-27-2010","24","24","7500","","5.897",".158",".3419","12.496","8016.3",".105","76435","23","81"
"TX","Oklaunion Power Station","127","1","03-28-2010","24","24","11865","","11.959",".2101",".3512","19.638","11509.4",".105","109740.1","23","81"
"TX","Oklaunion Power Station","127","1","03-29-2010","24","24","12384","","11.848",".2108",".3452","19.597","11942.5",".105","113865.8","23","81"
"TX","Oklaunion Power Station","127","1","03-30-2010","24","24","9254","","9.89",".2204",".3365","14.63","9408.6",".105","89711","23","81"
"TX","Oklaunion Power Station","127","1","03-31-2010","24","24","8584","","9.557",".2214",".3306","14.492","9048.3",".105","86274.1","23","81"
"TX","Limestone","298","LIM1","01-01-2010","24","24","21085","","32.633",".335",".1893","18.442","21202.9",".109","194753.8","51","176"
"TX","Limestone","298","LIM1","01-02-2010","24","24","21275","","17.46",".1775",".1882","18.509","21419.7",".109","196744.2","51","176"
"TX","Limestone","298","LIM1","01-03-2010","24","24","21342","","18.732",".1897",".1867","18.451","21521.2",".109","197675.2","51","176"
"TX","Limestone","298","LIM1","01-04-2010","24","24","21348","","24.421",".2492",".1863","18.266","21350.1",".109","196104.7","51","176"
"TX","Limestone","298","LIM1","01-05-2010","24","24","21067","","33.799",".3475",".1866","18.164","21178.6",".109","194532","51","176"
"TX","Limestone","298","LIM1","01-06-2010","24","24","21042","","37.334",".386",".1914","18.547","21090.4",".109","193719.3","51","176"
"TX","Limestone","298","LIM1","01-07-2010","24","24","20707","","19.384",".2047",".1933","18.373","20658.8",".109","189757.2","51","176"
"TX","Limestone","298","LIM1","01-08-2010","24","24","21224","","31.603",".3212",".1984","19.511","21406.1",".109","196620.8","51","176"
"TX","Limestone","298","LIM1","01-09-2010","24","24","21025","","39.924",".4078",".2018","19.785","21329.6",".109","195918.1","51","176"
